DateTime,AddedIPs,RemovedIPs
1468660135,0,1
1468663699,4,2
1468667321,2,2
1468670932,2,1
1468674525,3,0
1468678129,0,2
1468681709,1,3
1468685303,1,2
1468688929,1,1
1468692511,4,1
1468696106,2,1
1468699775,1,0
1468703313,0,3
1468706989,0,2
1468710565,1,0
1468714152,3,1
1468717753,2,3
1468721349,3,1
1468724916,1,2
1468728521,3,1
1468732126,1,1
1468735728,1,0
1468739384,2,0
1468742915,0,2
1468746523,0,3
1468750098,1,1
1468753714,3,3
1468757364,4,0
1468760925,1,0
1468764574,0,1
1468768128,1,3
1468771734,3,3
1468775280,3,2
1468778919,0,1
1468782495,1,0
1468786134,0,1
1468793381,1,2
1468796918,2,4
1468800586,1,6
1468804120,3,0
1468807773,3,1
1468811315,1,6
1468814943,3,0
1468818516,4,0
1468822139,0,2
1468825702,3,1
1468829338,1,1
1468832924,0,3
1468836505,1,2
1468840136,4,0
1468843758,1,3
1468847373,1,2
1468850910,3,0
1468854510,1,0
1468858140,0,2
1468861711,3,0
1468865337,1,3
1468868927,0,1
1468872524,0,1
1468876115,2,3
1468879746,1,5
1468883363,5,1
1468886939,1,2
1468890556,6,0
1468897796,1,3
1468901348,1,0
1468904924,0,1
1468908547,2,0
1468912115,0,1
1468915696,1,4
1468919321,2,1
1468922954,1,2
1468926521,3,0
1468930107,1,2
1468933703,0,2
1468937320,2,0
1468940959,0,4
1468944519,0,2
1468948134,3,0
1468951696,2,0
1468955324,2,3
1468962509,2,0
1468966099,0,4
1468969732,1,2
1468973313,5,0
1468980574,2,1
1468984126,1,2
1468987715,1,2
1468991421,0,2
1468994902,0,4
1469002134,2,4
1469005714,4,0
1469009326,4,2
1469012932,2,0
1469016509,1,0
1469020128,2,1
1469027342,2,1
1469030974,1,1
1469034514,1,2
1469038140,1,2
1469041701,0,2
1469045332,1,2
1469048921,1,1
1469052528,3,5
1469056130,2,0
1469059815,2,1
1469063597,3,2
1469067172,3,0
1469070549,3,5
1469074141,1,0
1469081313,1,3
1469084929,3,2
1469088500,1,2
1469092112,3,0
1469095734,1,0
1469099324,3,2
1469102984,1,2
1469110144,0,1
1469113737,1,3
1469117308,1,3
1469120933,4,2
1469125080,0,1
1469128117,2,0
1469131824,1,2
1469135312,0,1
1469138978,2,0
1469146289,1,2
1469149758,3,4
1469153384,3,3
1469157032,1,4
1469160556,3,4
1469164104,1,2
1469167761,2,0
1469171299,2,3
1469174952,6,3
1469178526,4,1
1469182184,2,0
1469185703,0,2
1469189335,0,3
1469192937,2,1
1469196527,2,4
1469200153,2,2
1469203732,2,0
1469207358,2,1
1469210930,2,4
1469214526,2,0
1469218115,2,0
1469225398,0,2
1469228981,1,2
1469232560,2,0
1469236130,0,1
1469239885,0,1
1469243317,1,1
1469246973,2,0
1469250568,0,3
1469254123,3,1
1469257745,2,1
1469261309,2,2
1469264906,1,0
1469268530,2,1
1469272109,1,0
1469275817,1,0
1469282885,1,2
1469286537,0,1
1469290173,1,2
1469293726,2,6
1469297285,3,1
1469300910,2,1
1469304538,0,1
1469308114,1,1
1469311806,1,2
1469315330,1,2
1469319027,2,1
1469322526,2,1
1469326105,2,1
1469329724,0,2
1469333295,2,0
1469337015,3,1
1469340505,0,2
1469344126,0,2
1469347701,3,1
1469351309,1,1
1469354981,2,0
1469362120,0,2
1469365749,2,1
1469369307,1,3
1469372935,0,4
1469376531,2,3
1469380115,5,2
1469383743,2,1
1469387327,2,0
1469390960,1,3
1469394549,0,2
1469398221,1,3
1469401744,1,0
1469405339,4,1
1469408920,2,0
1469412627,2,0
1469416129,0,1
1469419730,1,1
1469423446,1,1
1469426957,1,6
1469430508,2,3
1469434131,4,1
1469437755,2,0
1469441346,2,0
1469444921,0,2
1469448515,1,0
1469452121,0,1
1469455707,3,1
1469459319,1,0
1469462926,0,2
1469466569,1,5
1469470101,3,2
1469473708,4,0
1469484615,1,1
1469488108,0,2
1469491737,3,3
1469495347,1,3
1469499045,4,1
1469502515,3,1
1469506188,0,2
1469509741,0,1
1469513338,0,4
1469516926,2,3
1469520583,0,2
1469524103,3,0
1469527769,5,2
1469531316,3,1
1469538496,1,1
1469542102,2,2
1469545713,1,0
1469549341,0,1
1469552923,1,3
1469556563,1,2
1469560110,3,2
1469563777,0,2
1469567284,3,3
1469570948,2,0
1469574523,1,2
1469578137,3,0
1469581764,0,4
1469585404,5,0
1469588911,2,2
1469592574,0,1
1469599715,1,1
1469603285,2,1
1469610523,0,1
1469617685,1,0
1469621447,0,3
1469624944,3,1
1469632094,1,4
1469635799,4,1
1469639294,1,2
1469642969,0,1
1469646503,3,0
1469650121,0,1
1469657309,2,0
1469660914,0,2
1469664532,3,0
1469668138,0,1
1469671883,1,2
1469675365,0,2
1469678927,1,0
1469682597,0,1
1469686089,0,3
1469689712,1,1
1469693298,1,4
1469696910,3,0
1469700508,1,2
1469704163,2,2
1469707731,3,2
1469711274,5,1
1469718512,0,1
1469722151,1,1
1469725673,1,7
1469729325,0,1
1469732908,4,0
1469736550,1,0
1469740112,0,1
1469743794,0,2
1469747335,3,3
1469750999,5,1
1469754696,0,1
1469758215,1,0
1469761709,1,1
1469772532,0,3
1469776103,2,0
1469779732,0,1
1469786936,0,2
1469790537,3,1
1469794136,1,1
1469797708,1,0
1469801360,2,0
1469804997,1,1
1469808514,2,7
1469812141,3,0
1469815763,1,0
1469819312,2,2
1469822913,2,2
1469826534,0,1
1469830238,4,1
1469833719,1,2
1469837472,1,2
1469841016,1,0
1469844671,2,0
1469848167,0,2
1469855449,0,4
1469858925,1,4
1469862523,4,0
1469866107,1,1
1469869691,2,3
1469873306,3,2
1469876901,2,2
1469880488,1,0
1469884102,2,1
1469887744,1,4
1469891341,1,0
1469894923,2,6
1469898554,5,2
1469902097,2,1
1469905715,3,4
1469909350,1,0
1469912972,2,1
1469920167,0,5
1469923743,4,3
1469927289,4,3
1469930921,1,0
1469934546,3,1
1469938262,0,1
1469941808,2,1
1469945301,1,1
1469948875,1,2
1469952589,5,0
1469956099,0,2
1469959708,1,1
1469963337,2,0
1469966948,0,3
1469970563,1,1
1469974140,2,0
1469977714,0,1
1469981363,1,0
1469988555,0,1
1469992120,3,0
1469995804,0,3
1469999303,0,2
1470002966,2,0
1470006512,0,4
1470010102,6,2
1470013740,2,1
1470017411,1,1
1470020922,1,1
1470024643,1,3
1470028221,2,1
1470031719,2,0
1470038921,1,0
1470042520,0,2
1470046088,0,2
1470049727,2,3
1470056964,2,0
1470060515,0,1
1470064126,0,2
1470067683,1,1
1470071316,0,3
1470074944,2,1
1470078512,1,2
1470082146,3,3
1470085718,1,0
1470089345,1,1
1470092882,0,1
1470096507,1,1
1470100230,3,0
