DateTime,AddedIPs,RemovedIPs
1468756911,1,2
1468760502,5,5
1468764138,3,1
1468767686,2,0
1468771291,1,1
1468774874,2,3
1468778501,0,4
1468782076,3,3
1468785707,3,0
1468789277,2,0
1468796504,1,1
1468800141,0,3
1468803695,1,0
1468807339,0,1
1468810882,0,1
1468814507,2,1
1468818084,2,1
1468825281,1,2
1468828886,3,0
1468832495,1,2
1468836081,2,1
1468839685,1,1
1468843311,1,2
1468846944,0,2
1468850480,0,1
1468857692,1,1
1468864909,0,3
1468868507,1,0
1468872108,2,1
1468875693,0,1
1468879298,3,0
1468882941,2,0
1468886480,0,1
1468890113,2,1
1468893682,0,1
1468897310,2,1
1468900882,0,1
1468904484,2,2
1468908139,3,1
1468911695,3,2
1468915287,3,0
1468918908,0,3
1468922539,2,2
1468926108,3,4
1468929694,2,2
1468933283,1,2
1468936880,1,2
1468940542,1,1
1468944084,2,1
1468947682,1,2
1468951289,1,1
1468954908,3,1
1468958494,0,2
1468962079,0,2
1468965678,2,2
1468969311,1,1
1468972892,1,2
1468976540,1,0
1468980142,2,2
1468983709,2,2
1468987293,1,0
1468991005,2,0
1468994491,2,3
1469001684,2,1
1469005279,1,2
1469008892,1,2
1469012480,4,1
1469016093,3,0
1469019686,1,1
1469023289,2,1
1469026893,1,3
1469030540,1,4
1469034103,1,2
1469037708,1,0
1469041280,0,1
1469044886,0,1
1469048486,0,1
1469052107,1,1
1469055689,1,3
1469066604,1,3
1469070138,2,1
1469073688,2,0
1469077293,1,0
1469080894,2,1
1469084508,1,2
1469088079,2,2
1469091691,4,0
1469095293,2,2
1469098888,1,0
1469102508,0,2
1469106111,1,1
1469109711,2,1
1469113293,0,2
1469116889,2,0
1469120494,1,2
1469124205,1,1
1469127694,0,2
1469134878,3,2
1469138495,1,2
1469142139,1,0
1469145742,1,1
1469149289,3,3
1469156610,1,2
1469160080,1,0
1469163686,1,2
1469167312,3,2
1469170887,0,1
1469174538,0,1
1469178108,4,2
1469181739,2,3
1469185290,0,2
1469188910,5,0
1469192486,0,2
1469196079,4,1
1469199739,1,2
1469203294,0,2
1469206910,1,2
1469210491,3,1
1469214109,2,0
1469217707,1,1
1469221337,0,3
1469224885,0,3
1469228539,3,1
1469232116,0,2
1469235680,2,0
1469239402,1,0
1469242886,1,1
1469246482,1,1
1469250086,0,3
1469253680,1,0
1469257303,1,1
1469260904,4,0
1469264492,1,1
1469268101,2,1
1469271702,1,2
1469275401,2,2
1469278886,0,3
1469282476,3,1
1469286094,3,2
1469289734,0,1
1469293288,1,3
1469300497,2,1
1469304085,1,0
1469307687,1,2
1469311403,1,2
1469314904,0,2
1469318598,1,1
1469322102,3,0
1469325689,0,1
1469332886,3,0
1469336597,1,0
1469340079,0,2
1469343683,2,2
1469347280,1,3
1469350890,1,1
1469354534,1,2
1469358076,1,1
1469361702,3,3
1469365281,0,1
1469368895,2,0
1469372502,1,1
1469376090,2,0
1469379687,1,1
1469383303,0,2
1469386907,2,0
1469390533,0,1
1469394103,0,2
1469401303,1,1
1469404917,2,2
1469408494,2,0
1469412144,1,2
1469415708,5,2
1469419295,2,1
1469423035,1,1
1469426478,0,2
1469430092,2,3
1469433692,1,1
1469437308,3,1
1469440908,0,1
1469444476,0,3
1469448108,1,1
1469451683,2,0
1469455278,4,1
1469458908,1,3
1469462505,1,3
1469466140,2,1
1469469685,4,3
1469476885,2,1
1469480493,0,1
1469484141,1,5
1469487709,3,1
1469491300,1,1
1469494940,4,1
1469502092,3,1
1469505686,1,0
1469509292,1,1
1469512907,1,2
1469516485,2,4
1469520139,1,2
1469523688,1,1
1469527340,0,2
1469530907,2,4
1469534507,2,0
1469538082,2,0
1469541681,3,1
1469545308,2,1
1469548940,1,3
1469552492,0,1
1469556140,2,3
1469559705,0,2
1469563339,1,1
1469566882,3,1
1469570541,1,0
1469577707,0,1
1469581338,2,2
1469584879,2,0
1469588498,0,1
1469592111,1,1
1469595711,0,2
1469599308,0,3
1469602885,1,1
1469606510,2,1
1469610099,4,2
1469613694,2,0
1469617278,2,2
1469620911,1,1
1469624501,2,1
1469628139,1,0
1469631692,1,3
1469635320,1,2
1469638897,1,0
1469642539,1,0
1469646078,1,1
1469649686,2,2
1469653309,1,3
1469656906,1,1
1469660485,0,1
1469664081,1,3
1469667738,3,1
1469671287,2,1
1469674911,1,0
1469678517,2,0
1469682142,2,3
1469685684,2,3
1469689280,3,3
1469692891,4,3
1469696509,3,0
1469703712,1,3
1469707278,0,1
1469710885,2,1
1469714486,2,3
1469718109,0,3
1469721740,2,3
1469725282,4,1
1469728917,1,1
1469732508,1,1
1469736080,0,1
1469739690,1,1
1469746914,1,0
1469750489,1,5
1469754239,3,1
1469757691,3,0
1469761298,1,0
1469764904,0,1
1469768576,0,3
1469772099,2,2
1469775690,3,2
1469779299,1,0
1469782910,1,0
1469786499,1,1
1469790144,1,3
1469793714,2,3
1469797284,2,2
1469800943,3,0
1469804517,1,0
1469808090,0,3
1469811702,2,2
1469815349,0,1
1469818896,2,2
1469822512,1,1
1469826101,2,1
1469829808,2,2
1469833314,3,2
1469837019,2,1
1469840609,4,3
1469844267,2,2
1469851297,1,1
1469854915,2,3
1469858487,2,2
1469862085,1,2
1469865683,1,3
1469869287,4,2
1469872906,3,2
1469876506,1,2
1469880083,2,0
1469883680,1,3
1469887340,3,2
1469890908,1,1
1469894492,1,1
1469898084,1,2
1469901683,2,1
1469905288,3,3
1469916154,3,4
1469919739,0,3
1469923280,2,0
1469926885,2,3
1469930502,2,1
1469934084,1,0
1469937867,3,0
1469941406,1,4
1469948481,1,0
1469952123,3,3
1469955681,1,2
1469959308,2,1
1469962907,1,3
1469970140,2,1
1469973697,2,3
1469977308,3,3
1469980884,2,1
1469984489,3,2
1469988140,1,0
1469991707,1,1
1469995404,1,3
1469998887,1,1
1470002524,2,0
1470006109,1,0
1470009685,1,1
1470013308,4,5
1470016949,2,0
1470024202,0,1
1470027805,4,3
1470031282,0,2
1470034892,2,1
1470038485,4,1
1470042081,0,1
1470045683,1,3
1470049294,1,2
1470052908,1,5
1470056492,1,3
1470060108,4,0
1470063714,4,0
1470067284,3,1
1470070884,0,1
1470074489,3,1
1470078092,1,7
1470081711,3,3
1470085306,6,3
1470088879,2,1
1470092476,1,2
1470096085,0,3
1470099683,4,0
1470103404,1,3
1470106909,0,1
1470110541,2,1
1470114126,2,5
1470117697,5,2
1470121287,2,0
1470124889,2,0
1470128491,0,2
1470132107,2,3
1470135709,2,0
1470139296,2,4
1470142905,2,3
1470146485,4,3
1470150098,1,2
