DateTime,Entries,UniqueIPs
1469671710,1731,1731
1469673637,1776,1776
1469675548,2052,2052
1469677462,2055,2055
1469679376,2048,2048
1469681305,2078,2078
1469683218,2079,2079
1469685151,2081,2081
1469687056,2078,2078
1469689004,2081,2081
1469690932,2076,2076
1469692864,2074,2074
1469694771,2077,2077
1469696666,2079,2079
1469698614,2081,2081
1469700504,2084,2084
1469702442,2092,2092
1469704369,2099,2099
1469706265,2103,2103
1469708177,2099,2099
1469710108,2071,2071
1469712039,2069,2069
1469713968,2077,2077
1469715889,2074,2074
1469717795,2075,2075
1469719709,2079,2079
1469721669,2090,2090
1469723540,2089,2089
1469725454,2088,2088
1469727395,1766,1766
1469729310,1769,1769
1469731221,1822,1822
1469733142,1819,1819
1469735047,1834,1834
1469737024,1828,1828
1469738927,1840,1840
1469740857,1848,1848
1469742777,1844,1844
1469744669,1844,1844
1469746609,1845,1845
1469748524,1736,1736
1469750454,1742,1742
1469752362,1751,1751
1469754274,1749,1749
1469756214,1763,1763
1469758107,1767,1767
1469760055,1708,1708
1469761959,1402,1402
1469763861,1405,1405
1469765814,1403,1403
1469767705,1403,1403
1469769617,1398,1398
1469771574,1403,1403
1469773470,1407,1407
1469775405,1405,1405
1469777320,1405,1405
1469779237,1409,1409
1469781156,1326,1326
1469783081,1316,1316
1469785003,1327,1327
1469786920,1324,1324
1469788831,1328,1328
1469790757,1319,1319
1469792657,1321,1321
1469794589,1321,1321
1469796498,1355,1355
1469798432,1351,1351
1469800400,1365,1365
1469802253,1364,1364
1469804188,1364,1364
1469806133,1361,1361
1469808083,1360,1360
1469809949,1364,1364
1469811872,1365,1365
1469813784,1367,1367
1469815701,1313,1313
1469817645,1319,1319
1469819556,1313,1313
1469821473,1305,1305
1469823400,1311,1311
1469825304,1315,1315
1469827252,1308,1308
1469829159,1315,1315
1469831050,1307,1307
1469833002,1309,1309
1469834915,1305,1305
1469836852,1308,1308
1469838756,1301,1301
1469840694,1297,1297
1469842597,1297,1297
1469844532,1287,1287
1469846428,1287,1287
1469848351,1277,1277
1469850250,1291,1291
1469852190,1287,1287
1469854103,1292,1292
1469856023,1285,1285
1469857963,1293,1293
1469859861,1295,1295
1469861794,1292,1292
1469863713,1286,1286
1469865650,1277,1277
1469867558,1254,1254
1469869464,1250,1250
1469871411,1248,1248
1469873338,1245,1245
1469875231,1247,1247
1469877149,1239,1239
1469879110,1249,1249
1469881030,1244,1244
1469882922,1209,1209
1469884832,1198,1198
1469886746,1195,1195
1469888658,1187,1187
1469890613,1197,1197
1469892513,1190,1190
1469894457,1188,1188
1469896360,1154,1154
1469898272,1158,1158
1469900214,1158,1158
1469902113,1156,1156
1469904029,1166,1166
1469905957,1165,1165
1469907873,1167,1167
1469909801,1167,1167
1469911702,1164,1164
1469913632,1164,1164
1469915559,1169,1169
1469917472,1169,1169
1469919395,1177,1177
1469921324,1171,1171
1469923269,1178,1178
1469925171,1190,1190
1469927066,1182,1182
1469928991,1188,1188
1469930920,1187,1187
1469932829,1183,1183
1469934756,1182,1182
1469936660,1183,1183
1469938613,1176,1176
1469940528,1176,1176
1469942443,1181,1181
1469944352,1186,1186
1469946267,1181,1181
1469948203,1185,1185
1469950109,1181,1181
1469952059,1177,1177
1469953981,1163,1163
1469955866,1156,1156
1469957794,1156,1156
1469959711,1161,1161
1469961624,1161,1161
1469963558,1157,1157
1469965457,1154,1154
1469967394,1155,1155
1469969316,1163,1163
1469971222,1160,1160
1469973149,1165,1165
1469975068,1169,1169
1469976987,1171,1171
1469978914,1167,1167
1469980847,1175,1175
1469982750,1173,1173
1469984661,1179,1179
1469986607,1184,1184
1469988524,1181,1181
1469990449,1186,1186
1469992365,1181,1181
1469994272,1179,1179
1469996186,1177,1177
1469998126,1169,1169
1470000032,1164,1164
1470001962,1180,1180
1470003866,1184,1184
1470005798,1189,1189
1470007712,1186,1186
1470009647,1189,1189
1470011551,1181,1181
1470013468,1176,1176
1470015400,1175,1175
1470017319,1175,1175
1470019286,1172,1172
1470021152,1169,1169
1470023062,1164,1164
1470024988,1163,1163
1470026911,1151,1151
1470028898,1142,1142
1470030756,1151,1151
1470032690,1147,1147
1470034627,1153,1153
1470036506,1146,1146
1470038694,1123,1123
1470040599,1124,1124
1470042509,1120,1120
1470044421,1120,1120
1470046356,1118,1118
1470048263,1119,1119
1470050187,1124,1124
1470052105,1130,1130
1470054059,1127,1127
1470056051,1118,1118
1470057975,1112,1112
1470059779,1114,1114
1470061748,1111,1111
1470063646,1113,1113
1470065578,1113,1113
1470067467,1112,1112
1470069392,1117,1117
1470071318,1110,1110
1470073233,1110,1110
1470075199,1108,1108
1470077073,1110,1110
1470078998,1106,1106
1470080931,1120,1120
1470082837,1128,1128
1470084760,1171,1171
1470086676,1171,1171
1470088585,1172,1172
1470090515,1177,1177
1470092442,1188,1188
1470094466,1190,1190
1470096268,1196,1196
1470098476,1210,1210
1470100358,1216,1216
1470102269,1217,1217
1470104202,1218,1218
1470106114,1222,1222
1470108012,1222,1222
1470109944,1228,1228
1470111854,1210,1210
1470113786,1210,1210
1470115718,1201,1201
1470117653,1213,1213
1470119549,1217,1217
1470121470,1216,1216
1470123401,1216,1216
1470125298,1197,1197
1470127224,1200,1200
1470129421,1202,1202
1470131332,1208,1208
1470133253,1215,1215
1470135185,1213,1213
1470137064,1206,1206
1470139002,1211,1211
1470140927,1213,1213
1470142875,1210,1210
1470144763,1214,1214
1470146669,1209,1209
1470148608,1216,1216
1470150533,1212,1212
1470152441,1211,1211
1470154451,1257,1257
1470156280,1541,1541
1470158200,1543,1543
1470160124,1545,1545
1470162040,1541,1541
1470163960,1550,1550
1470165859,1548,1548
1470167810,1545,1545
1470169706,1543,1543
1470171658,1545,1545
1470173550,1558,1558
1470175475,1549,1549
1470177387,1549,1549
1470179339,1549,1549
1470181254,1549,1549
1470183160,1547,1547
1470185167,1547,1547
1470186992,1547,1547
1470188918,1552,1552
1470190835,1542,1542
1470192784,1545,1545
1470194656,1544,1544
1470196592,1548,1548
1470198515,1542,1542
1470200446,1554,1554
1470202373,1565,1565
1470204270,1569,1569
1470206192,1581,1581
1470208116,1568,1568
1470210026,1571,1571
1470212170,1545,1545
1470214117,1557,1557
1470216030,1561,1561
1470217858,1574,1574
1470219853,1563,1563
