DateTime,AddedIPs,RemovedIPs
1469560578,1,0
1469562021,1,0
1469564185,1,1
1469565627,1,0
1469572103,1,0
1469574980,1,0
1469575698,2,0
1469576418,1,0
1469577137,1,0
1469577859,0,1
1469579321,0,1
1469584340,0,1
1469591537,5,0
1469596127,0,1
1469596815,5,0
1469597546,4,0
1469598988,1,0
1469599702,1,1
1469601147,1,0
1469604754,2,0
1469605455,1,0
1469606916,3,0
1469609046,1,0
1469610505,2,0
1469616254,1,2
1469616992,0,1
1469617716,0,1
1469618418,1,0
1469623451,0,1
1469624180,1,0
1469624917,1,0
1469626340,0,1
1469627046,1,0
1469631381,0,1
1469632101,1,0
1469632819,3,0
1469633547,0,1
1469634245,0,1
1469635007,1,0
1469637149,1,0
1469637852,0,1
1469638572,1,0
1469640755,1,0
1469641454,1,0
1469645786,1,0
1469646501,0,1
1469650095,0,1
1469651541,2,1
1469655853,1,0
1469658024,0,1
1469659445,1,0
1469662335,0,1
1469663065,1,0
1469665954,1,0
1469673156,1,0
1469675303,1,0
1469676754,0,39
1469677454,1,0
1469680347,1,0
1469683209,0,1
1469683941,1,0
1469686831,0,1
1469687535,1,0
1469689702,1,0
1469691389,2,1
1469692096,1,0
1469692850,0,1
1469694255,1,0
1469696446,0,1
1469697848,2,0
1469698596,3,0
1469699301,1,0
1469700081,3,0
1469702896,2,0
1469703647,1,0
1469705052,1,0
1469705778,1,0
1469710847,0,1
1469712978,1,0
1469718035,0,1
1469718749,0,1
1469720909,1,1
1469723049,0,1
1469723790,1,0
1469726658,1,1
1469727386,0,1
1469729792,1,0
1469735539,1,0
1469736260,1,0
1469737706,1,0
1469739134,3,0
1469742015,0,1
1469749215,4,0
1469752096,0,1
1469754265,1,0
1469754987,1,0
1469758579,1,0
1469761456,0,1
1469762183,4,0
1469764354,2,0
1469765074,1,0
1469766490,1,1
1469767953,1,0
1469774424,1,0
1469783071,1,0
1469784520,0,1
1469788823,0,1
1469789534,0,1
1469790265,1,0
1469790986,0,1
1469797457,1,0
1469802506,2,0
1469806813,1,0
1469809707,0,1
1469811151,1,0
1469816177,0,1
1469816895,1,0
1469817635,3,0
1469818345,1,0
1469821215,1,0
1469821937,0,1
1469822658,0,1
1469823391,0,1
1469824832,1,0
1469829151,1,0
1469830573,1,0
1469835615,0,2
1469840685,1,1
1469847134,2,0
1469847888,0,2
1469854359,0,1
1469868985,1,0
1469875448,1,0
1469876905,1,0
1469878371,2,0
1469879062,2,0
1469883391,1,0
1469888412,1,1
1469894898,1,0
1469896349,1,0
1469899220,1,0
1469902823,1,1
1469903548,0,1
1469904249,1,0
1469904981,1,0
1469907144,0,1
1469910018,0,1
1469910758,1,0
1469912181,1,0
1469912901,1,0
1469916497,0,1
1469917209,1,0
1469920093,1,0
1469925159,1,0
1469926580,0,1
1469929461,1,0
1469934033,2,0
1469949140,2,0
1469950595,1,0
1469954904,0,1
1469956336,1,0
1469957781,1,0
1469958503,1,0
1469961387,1,1
1469963545,1,1
1469968584,1,0
1469969304,0,1
1469975056,0,2
1469975793,1,0
1469976497,1,0
1469977296,0,1
1469977950,1,0
1469980103,2,0
1469980835,1,1
1469982248,0,1
1469985154,0,1
1469987303,1,0
1469988037,1,0
1469988732,1,0
1469990903,2,0
1469993776,2,0
1469995944,3,0
1469996649,0,1
1469997397,1,1
1469998883,0,1
1469999540,1,0
1470000248,1,0
1470001699,2,0
1470005297,1,0
1470006044,0,1
1470006744,1,0
1470007451,1,0
1470008908,1,0
1470011048,0,1
1470015386,0,1
1470016101,1,0
1470018499,1,0
1470020672,0,1
1470021379,2,0
1470027382,1,0
1470030263,0,1
1470035294,0,1
1470036775,0,1
1470038177,1,0
1470038920,1,0
1470039610,1,0
1470042492,1,1
1470043943,0,1
1470044666,0,1
1470047550,0,1
1470049694,0,1
1470053296,1,0
1470056545,0,1
1470061552,1,1
1470062433,1,1
1470063140,1,0
1470063860,1,1
1470064623,1,0
1470066357,1,1
1470066981,0,1
1470068420,1,0
1470074172,0,1
1470078031,1,0
1470080914,1,1
1470082346,3,0
1470083060,1,0
1470083778,1,0
1470086660,0,2
1470088097,1,1
1470088855,0,1
1470091451,0,1
1470092188,1,0
1470092968,0,1
1470095312,0,1
1470096034,1,0
1470099137,1,0
1470099857,2,0
1470100585,1,0
1470101315,1,0
1470102015,0,1
1470102740,1,0
1470104902,0,1
1470107788,1,1
1470108503,2,0
1470112116,1,0
1470113539,0,1
1470117879,1,0
1470120024,1,0
1470121460,2,0
1470122905,1,0
1470125283,0,2
1470126033,0,1
1470126734,2,0
1470128183,0,1
1470128920,2,0
1470129611,2,0
1470130355,1,0
1470135381,1,0
1470136842,1,0
1470140435,1,0
1470141857,2,0
1470142569,1,0
1470148341,0,1
1470149053,0,1
1470149781,0,1
1470150511,0,1
1470152648,1,0
1470154841,2,1
1470156264,1,0
1470159147,1,0
1470162025,1,0
1470164189,1,1
1470166348,1,0
1470167058,30,0
1470167790,1,0
1470169222,0,1
1470169954,0,1
1470170649,0,1
1470171390,2,0
1470172822,1,0
1470174261,0,1
1470174983,0,1
1470177854,0,1
1470180009,2,1
1470182180,2,1
1470186508,2,1
1470187219,1,0
1470188646,0,1
1470192982,1,1
1470194420,0,2
1470198029,0,1
1470199457,1,0
1470200910,2,0
1470201617,1,0
1470203046,3,0
1470205943,0,1
1470207389,0,1
1470212433,2,0
1470213137,0,1
1470213855,0,1
1470216014,1,3
1470216872,8,0
1470217849,1,0
1470218450,1,0
1470220109,1,0
1470220826,1,0
1470221560,0,2
1470222981,0,1
1470226581,0,1
1470227313,0,1
1470228773,1,1
1470230194,1,0
1470231628,0,1
1470233781,0,1
1470234496,1,0
1470236665,1,0
1470237380,1,0
1470238819,0,1
1470240257,1,0
1470241001,0,1
1470242646,1,1
1470243379,2,0
1470246257,2,0
1470248446,1,0
1470249142,5,0
1470252021,1,0
1470252767,0,140
1470254907,1,0
1470263051,1,0
1470271728,1,0
1470272458,0,1
1470273850,1,0
1470275301,2,0
1470278897,0,1
1470282534,1,0
1470285387,0,1
1470286834,1,0
1470287536,1,0
1470288248,2,1
1470292103,1,0
1470292826,1,0
1470294975,1,0
1470298817,0,1
1470302418,0,4
1470303156,3,0
1470303848,0,1
1470306757,0,1
1470310346,1,0
1470311789,1,0
1470314650,2,0
1470315383,0,1
1470318256,1,0
1470318981,1,0
1470320428,0,1
1470321852,1,0
1470322578,1,1
1470324015,2,0
1470329793,0,1
1470331944,1,0
1470332647,0,1
1470334135,2,1
1470335553,1,3
1470336251,1,0
1470337730,0,1
1470339155,1,0
1470339868,3,0
1470342743,1,0
1470343450,1,0
1470347781,1,0
1470349229,0,1
1470349945,2,0
1470357161,1,0
1470360016,0,1
1470361445,0,1
1470366497,1,0
1470370603,1,1
1470372744,0,1
1470373467,1,1
1470377790,1,0
1470378498,0,1
1470380657,0,1
1470382107,2,0
1470382823,1,0
1470386419,1,0
1470389317,0,1
1470390013,6,0
1470390739,3,0
1470392954,2,0
1470394346,1,0
1470395786,1,0
1470397941,1,2
1470400099,0,1
1470401533,2,0
1470402982,2,0
1470404424,0,1
1470405154,0,1
1470408765,0,1
1470410219,0,1
1470410915,1,0
1470415231,1,0
1470415957,1,0
1470416651,0,1
1470417379,1,0
1470420257,2,0
1470421703,0,1
1470423861,2,0
1470426023,0,3
1470427458,1,0
1470429649,0,1
1470432504,1,0
1470434656,1,0
1470436124,1,1
1470437806,1,0
1470442843,0,1
1470450033,1,0
1470455052,2,0
1470463704,0,1
1470468027,0,2
1470468747,3,1
1470469448,1,0
1470475942,0,1
1470476652,2,1
1470478098,0,1
1470479565,2,1
1470480248,0,1
1470481709,0,1
1470482421,1,0
1470485308,1,0
1470487447,1,1
1470488199,1,0
1470488921,0,1
1470491784,1,0
1470494651,1,0
1470496813,0,1
