DateTime,Entries,UniqueIPs
1470185772,4390,4390
1470186510,4390,4390
1470187221,4395,4395
1470187952,4404,4404
1470188648,4394,4394
1470189399,4406,4406
1470190130,4393,4393
1470190828,4402,4402
1470191560,4389,4389
1470192250,4390,4390
1470192984,4402,4402
1470193707,4391,4391
1470194422,4379,4379
1470195139,4392,4392
1470195851,4384,4384
1470196587,4380,4380
1470197306,4381,4381
1470198031,4379,4379
1470198735,4383,4383
1470199459,4379,4379
1470200188,4384,4384
1470200913,4372,4372
1470201620,4364,4364
1470202367,4357,4357
1470203048,4355,4355
1470203794,4356,4356
1470204505,4365,4365
1470205221,4365,4365
1470205945,4365,4365
1470206652,4376,4376
1470207391,4391,4391
1470208110,4382,4382
1470208822,4398,4398
1470209539,4404,4404
1470210256,4399,4399
1470210987,4398,4398
1470211714,4388,4388
1470212435,4395,4395
1470213139,4399,4399
1470213857,4410,4410
1470214585,4410,4410
1470215309,4417,4417
1470216017,4420,4420
1470216874,4426,4426
1470217852,4423,4423
1470218453,4427,4427
1470219269,4416,4416
1470220111,4421,4421
1470220828,4426,4426
1470221562,4435,4435
1470222252,4424,4424
1470222984,4420,4420
1470223695,4431,4431
1470224446,4442,4442
1470225135,4441,4441
1470225867,4445,4445
1470226583,4443,4443
1470227315,4443,4443
1470228021,4439,4439
1470228776,4446,4446
1470229458,4439,4439
1470230197,4458,4458
1470230902,4453,4453
1470231630,4452,4452
1470232344,4460,4460
1470233065,4461,4461
1470233784,4477,4477
1470234498,4475,4475
1470235229,4475,4475
1470235979,4481,4481
1470236668,4464,4464
1470237383,4468,4468
1470238103,4472,4472
1470238821,4477,4477
1470239542,4484,4484
1470240260,4480,4480
1470241004,4491,4491
1470241949,4501,4501
1470242648,4510,4510
1470243382,4506,4506
1470244096,4501,4501
1470244835,4499,4499
1470245567,4509,4509
1470246259,4519,4519
1470246981,4522,4522
1470247703,4513,4513
1470248449,4499,4499
1470249144,4500,4500
1470249852,4511,4511
1470250584,4514,4514
1470251294,4516,4516
1470252023,4538,4538
1470252769,4535,4535
1470253458,4533,4533
1470254185,4534,4534
1470254910,4514,4514
1470255846,4512,4512
1470256613,4494,4494
1470257308,4503,4503
1470258051,4508,4508
1470258738,4494,4494
1470259448,4489,4489
1470260185,4492,4492
