DateTime,Entries,UniqueIPs
1470027800,9476,9476
1470028807,9482,9482
1470030126,9481,9481
1470030966,9482,9482
1470031815,9475,9475
1470033727,9472,9472
1470034566,9477,9477
1470035406,9474,9474
1470036486,9480,9480
1470037507,9478,9478
1470038588,9474,9474
1470039609,9480,9480
1470040474,9474,9474
1470041266,9473,9473
1470043208,9483,9483
1470044526,9479,9479
1470045365,9482,9482
1470046215,9479,9479
1470047106,9484,9484
1470048007,9476,9476
1470049506,9477,9477
1470050649,9480,9480
1470051606,9480,9480
1470052506,9481,9481
1470053416,9482,9482
1470054259,9486,9486
1470055207,9479,9479
1470056165,9484,9484
1470057005,9484,9484
1470058806,9471,9471
1470059705,9476,9476
1470060792,9476,9476
1470061808,9479,9479
1470062707,9487,9487
1470063365,9491,9491
1470064207,9494,9494
1470065059,9501,9501
1470066007,9498,9498
1470067388,9512,9512
1470068408,9518,9518
1470069306,9517,9517
1470070990,9514,9514
1470072005,9516,9516
1470073206,9514,9514
1470074166,9516,9516
1470075015,9517,9517
1470075983,9522,9522
1470076806,9517,9517
1470077765,9520,9520
1470078607,9518,9518
1470079807,9521,9521
1470080693,9519,9519
1470082216,9523,9523
1470083240,9528,9528
1470084965,9521,9521
1470085789,9522,9522
1470087823,9514,9514
1470088692,9515,9515
1470089707,9521,9521
1470090610,9521,9521
1470091326,9523,9523
1470092707,9523,9523
1470093606,9522,9522
1470094455,9519,9519
1470095406,9518,9518
1470096306,9518,9518
1470097208,9521,9521
1470098408,9518,9518
1470098525,9519,9519
1470100505,9521,9521
1470101405,9515,9515
1470102125,9515,9515
1470103506,9511,9511
1470104408,9514,9514
1470105305,9514,9514
1470106593,9516,9516
1470108417,9515,9515
1470109326,9507,9507
1470110706,9506,9506
1470112516,9504,9504
1470113706,9507,9507
1470114605,9504,9504
1470115806,9503,9503
1470116716,9504,9504
1470118807,9509,9509
1470119706,9507,9507
1470120606,9506,9506
1470121507,9505,9505
1470122320,9506,9506
1470123726,9498,9498
1470125106,9494,9494
1470126009,9496,9496
1470126907,9487,9487
1470128362,9483,9483
1470129266,9487,9487
1470130206,9481,9481
1470131108,9484,9484
1470132846,9463,9463
1470133808,9454,9454
1470135306,9457,9457
1470136505,9451,9451
1470137407,9454,9454
1470138307,9456,9456
1470138965,9460,9460
1470140886,9457,9457
1470141728,9445,9445
1470143106,9442,9442
1470144006,9447,9447
1470145326,9438,9438
1470146706,9434,9434
1470147579,9437,9437
1470148806,9436,9436
1470149767,9441,9441
1470150608,9439,9439
1470151718,9446,9446
1470152706,9438,9438
1470153516,9435,9435
1470154507,9439,9439
1470155409,9439,9439
1470156306,9437,9437
1470158281,9444,9444
1470159308,9443,9443
1470160170,9451,9451
1470161106,9467,9467
1470161650,9472,9472
1470162607,9469,9469
1470163506,9465,9465
1470164650,9457,9457
1470168002,9449,9449
1470168847,9455,9455
1470170446,9456,9456
1470172207,9456,9456
1470173299,9458,9458
1470174128,9452,9452
1470175121,9433,9433
1470176107,9434,9434
1470177006,9425,9425
1470177727,9424,9424
1470178775,9422,9422
1470179708,9424,9424
1470180486,9427,9427
1470181326,9423,9423
1470182706,9420,9420
1470183608,9422,9422
1470184927,9427,9427
1470186308,9425,9425
1470187207,9430,9430
1470188410,9429,9429
1470189309,9433,9433
1470190215,9432,9432
1470191286,9435,9435
1470192306,9431,9431
1470194409,9425,9425
1470195607,9422,9422
1470196506,9425,9425
1470197416,9422,9422
1470198324,9424,9424
1470199329,9419,9419
1470201006,9421,9421
1470201840,9422,9422
1470203116,9420,9420
1470204084,9413,9413
1470204887,9414,9414
1470205807,9410,9410
1470206706,9405,9405
1470208206,9402,9402
1470209099,9407,9407
1470209896,9407,9407
1470210126,9407,9407
1470212409,9417,9417
1470213728,9406,9406
1470215109,9405,9405
1470216008,9408,9408
1470217209,9401,9401
1470217327,9401,9401
1470218211,9407,9407
1470219016,9408,9408
1470220209,9397,9397
1470221109,9390,9390
1470222846,9392,9392
1470223808,9386,9386
1470225248,9384,9384
1470226082,9382,9382
1470227407,9385,9385
1470228307,9387,9387
1470229484,9384,9384
1470230845,9393,9393
1470231907,9379,9379
1470233707,9381,9381
1470234488,9382,9382
1470235507,9369,9369
1470237606,9346,9346
1470239106,9336,9336
1470240730,9340,9340
1470241757,9339,9339
1470242707,9339,9339
1470244808,9342,9342
1470245707,9338,9338
