DateTime,Entries,UniqueIPs
1469986950,722,722
1469988324,719,719
1469989217,721,721
1469990388,711,711
1469991598,697,697
1469993708,676,676
1469996108,660,660
1469997009,648,648
1469997748,647,647
1469998568,648,648
1469999406,638,638
1470000608,630,630
1470001524,626,626
1470003310,613,613
1470004211,602,602
1470005129,597,597
1470006033,585,585
1470006909,588,588
1470007808,573,573
1470008732,568,568
1470009907,555,555
1470011286,556,556
1470012127,536,536
1470014107,534,534
1470015009,528,528
1470016994,509,509
1470018010,518,518
1470018809,499,499
1470019327,496,496
1470020551,488,488
1470021608,489,489
1470022927,465,465
1470024308,455,455
1470025209,456,456
1470026117,438,438
1470027801,441,441
1470028809,441,441
1470030127,444,444
1470030967,445,445
1470031817,448,448
1470033728,454,454
1470034567,456,456
1470035408,459,459
1470036487,461,461
1470037508,465,465
1470038589,466,466
1470039610,468,468
1470040476,470,470
1470041268,471,471
1470043209,475,475
1470044527,476,476
1470045366,481,481
1470047107,482,482
1470048009,486,486
1470049507,489,489
1470050650,494,494
1470051607,497,497
1470053417,498,498
1470054261,499,499
1470055209,501,501
1470056167,503,503
1470057008,504,504
1470057803,505,505
1470058807,507,507
1470059706,512,512
1470060793,511,511
1470061810,512,512
1470062708,517,517
1470063367,518,518
1470064208,520,520
1470065060,521,521
1470066008,524,524
1470067389,530,530
1470068409,531,531
1470069307,529,529
1470070991,533,533
1470073208,539,539
1470074167,543,543
1470075985,546,546
1470076808,549,549
1470079809,551,551
1470080694,555,555
1470082217,556,556
1470083241,559,559
1470084966,563,563
1470085791,566,566
1470087824,567,567
1470088694,569,569
1470089708,572,572
1470090613,574,574
1470092708,577,577
1470093608,581,581
1470094456,582,582
1470095407,585,585
1470096307,588,588
1470097209,592,592
1470098410,593,593
1470100507,598,598
1470101407,599,599
1470103507,602,602
1470104409,603,603
1470105307,605,605
1470106594,606,606
1470108418,608,608
1470109327,607,607
1470110707,607,607
1470111608,608,608
1470112517,609,609
1470113708,609,609
1470114607,607,607
1470115808,605,605
1470118809,607,607
1470119707,604,604
1470120607,604,604
1470121508,601,601
1470122321,603,603
1470123728,598,598
1470125108,597,597
1470126010,600,600
1470126908,604,604
1470128363,602,602
1470129267,601,601
1470130207,605,605
1470131109,603,603
1470132847,599,599
1470133809,597,597
1470135307,602,602
1470136508,602,602
1470137408,602,602
1470138308,601,601
1470138967,603,603
1470140887,603,603
1470141731,596,596
1470143108,596,596
1470144010,598,598
1470145327,599,599
1470146708,602,602
1470147580,605,605
1470148809,603,603
1470149768,605,605
1470150609,601,601
1470151720,604,604
1470152708,596,596
1470153517,596,596
1470154508,599,599
1470155410,600,600
1470156307,600,600
1470158282,605,605
1470159310,605,605
1470160172,605,605
1470161108,606,606
1470162609,603,603
1470163507,604,604
1470164651,603,603
1470165457,604,604
1470168012,611,611
1470168848,613,613
1470170448,611,611
1470172209,613,613
1470173300,617,617
1470174129,611,611
