DateTime,AddedIPs,RemovedIPs
1470049507,10,3
1470051606,5,0
1470052507,4,0
1470053417,3,6
1470055209,1,3
1470056166,2,0
1470057007,1,3
1470057802,2,0
1470058806,5,3
1470059706,2,0
1470060792,4,0
1470061810,1,1
1470062708,1,2
1470063366,2,0
1470065060,2,0
1470066007,1,3
1470068408,1,0
1470069307,1,0
1470070991,7,1
1470073207,0,3
1470074167,2,0
1470075016,1,1
1470076807,1,1
1470077766,1,0
1470078607,2,2
1470079808,1,1
1470080694,0,1
1470082217,2,0
1470083240,10,0
1470084966,18,1
1470085790,4,2
1470087823,3,0
1470088693,1,2
1470089708,1,2
1470090612,1,0
1470091327,2,1
1470092707,1,2
1470093607,0,1
1470094455,2,2
1470096306,2,0
1470097209,1,0
1470098409,4,6
1470100506,4,3
1470101406,5,3
1470102126,6,1
1470103507,5,3
1470104409,4,0
1470105306,1,0
1470106593,5,1
1470108417,7,3
1470109327,2,0
1470110707,2,1
1470111608,5,0
1470112516,1,5
1470113707,4,1
1470114607,1,2
1470115807,6,5
1470116716,2,0
1470118809,8,1
1470119707,2,1
1470120607,3,1
1470121508,2,2
1470122321,1,0
1470123728,4,2
1470125107,2,0
1470126010,1,0
1470126908,1,4
1470128362,3,2
1470129267,4,0
1470130207,1,2
1470131109,4,0
1470132847,2,2
1470133808,1,2
1470135307,2,0
1470136507,3,1
1470137408,3,0
1470138308,2,1
1470138966,1,0
1470140887,6,1
1470141730,1,2
1470143107,1,0
1470144009,2,0
1470145326,3,1
1470146707,3,2
1470147579,2,0
1470148808,2,1
1470149767,2,0
1470150609,1,2
1470151719,2,0
1470152707,2,1
1470153517,1,1
1470154507,3,0
1470155410,1,1
1470156307,4,0
1470158282,8,5
1470159309,0,2
1470160171,1,0
1470162608,2,3
1470163507,2,0
1470164650,2,0
1470165455,3,0
1470168004,4,2
1470168848,3,0
1470170447,0,4
1470172208,2,0
1470173299,2,0
1470174128,2,2
1470176108,2,0
1470177728,1,1
1470178776,2,0
1470179709,3,0
1470180487,3,0
1470181327,2,4
1470182707,2,5
1470183608,1,0
1470184928,4,10
1470186309,2,3
1470187207,4,0
1470188411,1,6
1470189309,1,0
1470190216,3,4
1470191288,4,0
1470192307,3,5
1470194411,4,2
1470195608,2,5
1470196508,1,0
1470197417,3,5
1470198325,1,0
1470199330,2,4
1470201007,4,9
1470201841,3,0
1470203117,3,9
1470204085,5,5
1470204888,3,1
1470205808,1,5
1470206707,6,4
1470207367,3,0
1470208207,1,4
1470209100,1,1
1470209897,2,4
1470210127,0,1
1470212410,4,5
1470213729,5,7
1470215110,3,0
1470216009,4,0
1470217210,5,5
1470217328,1,0
1470218212,3,0
1470219017,1,3
1470220210,7,3
1470221110,2,3
1470222847,2,3
