DateTime,Entries,UniqueIPs
1470059706,372,372
1470060792,376,376
1470061810,376,376
1470062708,375,375
1470063366,377,377
1470065060,379,379
1470066007,377,377
1470068408,378,378
1470069307,379,379
1470070991,385,385
1470073207,382,382
1470074167,384,384
1470075016,384,384
1470076807,384,384
1470077766,385,385
1470078607,385,385
1470079808,385,385
1470080694,384,384
1470082217,386,386
1470083240,396,396
1470084966,413,413
1470085790,415,415
1470087823,418,418
1470088693,417,417
1470089708,416,416
1470090612,417,417
1470091327,418,418
1470092707,417,417
1470093607,416,416
1470094455,416,416
1470096306,418,418
1470097209,419,419
1470098409,417,417
1470100506,418,418
1470101406,420,420
1470102126,425,425
1470103507,427,427
1470104409,431,431
1470105306,432,432
1470106593,436,436
1470108417,440,440
1470109327,442,442
1470110707,443,443
1470111608,448,448
1470112516,444,444
1470113707,447,447
1470114607,446,446
1470115807,447,447
1470116716,449,449
1470118809,456,456
1470119707,457,457
1470120607,459,459
1470121508,459,459
1470122321,460,460
1470123728,462,462
1470125107,464,464
1470126010,465,465
1470126908,462,462
1470128362,463,463
1470129267,467,467
1470130207,466,466
1470131109,470,470
1470132847,470,470
1470133808,469,469
1470135307,471,471
1470136507,473,473
1470137408,476,476
1470138308,477,477
1470138966,478,478
1470140887,483,483
1470141730,482,482
1470143107,483,483
1470144009,485,485
1470145326,487,487
1470146707,488,488
1470147579,490,490
1470148808,491,491
1470149767,493,493
1470150609,492,492
1470151719,494,494
1470152707,495,495
1470153517,495,495
1470154507,498,498
1470155410,498,498
1470156307,502,502
1470158282,505,505
1470159309,503,503
1470160171,504,504
1470162608,503,503
1470163507,505,505
1470164650,507,507
1470165455,510,510
1470168004,512,512
1470168848,515,515
1470170447,511,511
1470172208,513,513
1470173299,515,515
1470174128,515,515
1470176108,517,517
1470177728,517,517
1470178776,519,519
1470179709,522,522
1470180487,525,525
1470181327,523,523
1470182707,520,520
1470183608,521,521
1470184928,515,515
1470186309,514,514
1470187207,518,518
1470188411,513,513
1470189309,514,514
1470190216,513,513
1470191288,517,517
1470192307,515,515
1470194411,517,517
1470195608,514,514
1470196508,515,515
1470197417,513,513
1470198325,514,514
1470199330,512,512
1470201007,507,507
1470201841,510,510
1470203117,504,504
1470204085,504,504
1470204888,506,506
1470205808,502,502
1470206707,504,504
1470207367,507,507
1470208207,504,504
1470209100,504,504
1470209897,502,502
1470210127,501,501
1470212410,500,500
1470213729,498,498
