DateTime,Entries,UniqueIPs
1470273003,30592,30592
1470274082,30637,30637
1470276580,30213,30213
1470278523,30017,30017
1470279903,29945,29945
1470280803,30034,30034
1470282003,29827,29827
1470283214,29726,29726
1470284103,29810,29810
1470285003,29602,29602
1470285723,29567,29567
1470287643,29566,29566
1470288829,29510,29510
1470290564,29476,29476
1470291463,29527,29527
1470292083,29563,29563
1470292998,29431,29431
1470293907,29382,29382
1470294903,29442,29442
1470295803,29362,29362
1470297941,29386,29386
1470298773,29440,29440
1470300004,29296,29296
1470302120,29397,29397
1470302883,29495,29495
1470303902,29388,29388
1470304884,29378,29378
1470305703,29487,29487
1470306603,29443,29443
1470307503,29507,29507
1470309603,29601,29601
1470310083,29656,29656
1470311103,29460,29460
1470313203,29507,29507
1470314084,29328,29328
1470314523,29255,29255
1470316503,29190,29190
1470317351,28978,28978
1470318123,28962,28962
1470318963,29022,29022
1470319803,28845,28845
1470320846,28923,28923
1470321723,28555,28555
1470322563,28606,28606
1470323389,28477,28477
1470324431,28562,28562
1470325503,28234,28234
1470327003,28210,28210
1470329021,28220,28220
1470329922,28207,28207
1470330903,28235,28235
1470331682,28272,28272
1470332704,28151,28151
1470334803,28169,28169
1470335703,28067,28067
1470336123,27993,27993
1470337503,27818,27818
1470338402,27858,27858
1470339302,27617,27617
1470339723,27567,27567
1470341643,27670,27670
1470342604,27621,27621
1470343442,27634,27634
1470344666,27627,27627
1470346203,27644,27644
1470347702,27785,27785
1470348603,27759,27759
1470349476,27850,27850
1470350403,27499,27499
1470350523,27511,27511
1470352103,27446,27446
1470353403,27232,27232
1470355128,27037,27037
1470356103,27120,27120
1470356883,27188,27188
1470358709,27068,27068
1470359643,27249,27249
1470360603,27239,27239
1470361503,27330,27330
1470363003,27420,27420
1470364203,27453,27453
1470365103,27552,27552
1470366303,27563,27563
1470367204,27677,27677
1470368350,27585,27585
1470370443,27591,27591
1470371283,27698,27698
1470372124,27535,27535
1470372964,27634,27634
1470373803,27615,27615
1470375801,27859,27859
1470377102,27987,27987
1470378003,28131,28131
1470378903,28181,28181
1470379830,28294,28294
1470381360,28394,28394
1470382923,28499,28499
1470383764,28613,28613
1470384903,28690,28690
1470385803,28730,28730
1470386703,28854,28854
1470388746,29067,29067
1470390123,29095,29095
1470392103,29285,29285
1470393004,29268,29268
1470394648,29326,29326
1470395551,29196,29196
1470397323,29186,29186
1470398291,29172,29172
1470399303,29237,29237
1470400153,29108,29108
1470401076,29072,29072
1470402843,28970,28970
1470403683,28998,28998
1470404525,28715,28715
1470405350,28754,28754
1470406203,28607,28607
1470407404,28398,28398
1470408303,28338,28338
1470409802,28230,28230
1470411723,27944,27944
1470413103,27840,27840
1470414003,27877,27877
1470414903,27695,27695
1470415767,27690,27690
1470416703,27671,27671
1470417603,27714,27714
1470418504,27604,27604
1470419385,27488,27488
1470420303,27269,27269
1470420843,27300,27300
1470421803,27007,27007
1470422703,26933,26933
1470423630,26763,26763
1470424504,26809,26809
1470425403,26588,26588
1470426303,26592,26592
1470427503,26574,26574
1470428403,26605,26605
1470429302,26485,26485
1470430268,26486,26486
1470431372,26476,26476
1470432603,26428,26428
1470433728,26445,26445
1470434702,26418,26418
1470435243,26431,26431
1470436203,26383,26383
1470437026,26379,26379
1470438290,26336,26336
1470439770,26315,26315
1470440703,26312,26312
1470442443,26294,26294
1470443404,26235,26235
1470444123,26250,26250
1470444963,26279,26279
1470445803,26234,26234
1470446042,26246,26246
1470447003,26128,26128
1470447723,26104,26104
1470449103,26062,26062
1470450003,26085,26085
1470451203,25920,25920
1470452702,25884,25884
1470453602,25907,25907
1470454085,25921,25921
1470454922,25722,25722
1470455763,25754,25754
1470456842,25689,25689
1470457682,25724,25724
1470458703,25598,25598
1470460804,25595,25595
1470461703,25509,25509
1470462123,25513,25513
1470464043,25490,25490
1470465003,25429,25429
1470465722,25430,25430
1470467643,25437,25437
1470468604,25322,25322
1470469502,25330,25330
1470471243,25268,25268
1470472082,25316,25316
1470473103,25096,25096
1470474602,24985,24985
1470477357,24747,24747
1470479283,24674,24674
1470480123,24446,24446
1470481497,24364,24364
1470482404,24394,24394
1470483303,24238,24238
1470483723,24217,24217
1470484563,24259,24259
