DateTime,Entries,UniqueIPs
1470070991,889,889
1470072007,885,885
1470073207,885,885
1470074166,893,893
1470075016,888,888
1470075984,890,890
1470076807,891,891
1470077766,892,892
1470078607,889,889
1470079808,885,885
1470080693,887,887
1470082216,894,894
1470083240,905,905
1470084965,1073,1073
1470085790,1067,1067
1470087823,1058,1058
1470088693,1061,1061
1470089707,1056,1056
1470090611,1064,1064
1470091326,1059,1059
1470092707,1061,1061
1470093607,1061,1061
1470094455,1061,1061
1470095406,1059,1059
1470096306,1062,1062
1470097208,1065,1065
1470098409,1063,1063
1470098526,1065,1065
1470100506,1071,1071
1470101406,1068,1068
1470102126,1065,1065
1470103506,1063,1063
1470104408,1071,1071
1470105306,1068,1068
1470106593,1070,1070
1470108417,1074,1074
1470109327,1073,1073
1470110706,1073,1073
1470111607,1075,1075
1470112516,1080,1080
1470113707,1082,1082
1470114606,1084,1084
1470115806,1079,1079
1470116716,1078,1078
1470118808,1081,1081
1470119707,1079,1079
1470120606,1085,1085
1470121508,1087,1087
1470122320,1086,1086
1470123727,1086,1086
1470125106,1092,1092
1470126009,1096,1096
1470126907,1098,1098
1470128362,1098,1098
1470129266,1104,1104
1470130206,1101,1101
1470131108,1098,1098
1470132846,1102,1102
1470133808,1102,1102
1470135306,1105,1105
1470136506,1103,1103
1470137407,1098,1098
1470138307,1096,1096
1470138966,1098,1098
1470140886,1109,1109
1470141730,1101,1101
1470143107,1110,1110
1470144007,1112,1112
1470145326,1109,1109
1470146707,1112,1112
1470147579,1114,1114
1470148807,1112,1112
1470149767,1111,1111
1470150608,1103,1103
1470151718,1115,1115
1470152707,1115,1115
1470153516,1111,1111
1470154507,1114,1114
1470155409,1105,1105
1470156307,1109,1109
1470158281,1105,1105
1470159309,1105,1105
1470160171,1108,1108
1470161107,1108,1108
1470161651,1106,1106
1470162607,1107,1107
1470163506,1110,1110
1470164650,1105,1105
1470165455,1114,1114
1470168003,1089,1089
1470168847,1091,1091
1470170447,1090,1090
1470172207,1092,1092
1470173299,1100,1100
1470174128,1097,1097
1470175121,1100,1100
1470176107,1095,1095
1470177007,1093,1093
1470177728,1091,1091
1470178776,1084,1084
1470179709,1087,1087
1470180487,1085,1085
1470181327,1078,1078
1470182707,1089,1089
1470183608,1092,1092
1470184928,1088,1088
1470186308,1087,1087
1470187207,1093,1093
1470188410,1090,1090
1470189309,1101,1101
1470190216,1093,1093
1470191287,1095,1095
1470192307,1095,1095
1470194410,1101,1101
1470195607,1092,1092
1470196507,1094,1094
1470197417,1098,1098
1470198324,1099,1099
1470199330,1097,1097
1470201007,1090,1090
1470201840,1090,1090
1470203117,1081,1081
1470204085,1074,1074
1470204888,1072,1072
1470205808,1073,1073
1470206707,1075,1075
1470207367,1078,1078
1470208206,1074,1074
1470209099,1075,1075
1470209896,1068,1068
1470210127,1068,1068
1470212410,1068,1068
1470213729,1072,1072
1470215109,1068,1068
1470216008,1073,1073
1470217210,1070,1070
1470217328,1072,1072
1470218211,1073,1073
1470219016,1069,1069
1470220209,1072,1072
1470221110,1070,1070
1470222847,1083,1083
1470223809,1077,1077
1470225249,1074,1074
1470226082,1068,1068
1470227407,1074,1074
1470228307,1072,1072
1470229484,1074,1074
1470230846,1080,1080
1470231907,1076,1076
1470233707,1086,1086
1470234488,1091,1091
1470235507,1088,1088
1470237608,1134,1134
1470239106,1122,1122
1470240731,1126,1126
1470241757,1122,1122
1470242707,1128,1128
1470244809,1132,1132
1470245707,1131,1131
1470246127,1130,1130
1470247450,1131,1131
1470248407,1144,1144
1470249726,1147,1147
1470250568,1142,1142
1470252051,1141,1141
1470252909,1139,1139
1470256088,1145,1145
1470257037,1132,1132
1470258309,1134,1134
1470259851,1134,1134
1470260707,1140,1140
1470261736,1137,1137
1470262532,1143,1143
1470263409,1145,1145
1470264126,1143,1143
1470264966,1151,1151
1470265808,1152,1152
1470267007,1140,1140
1470267906,1138,1138
1470268946,1136,1136
1470270008,1138,1138
1470270868,1128,1128
1470272107,1132,1132
1470273009,1135,1135
1470274087,1156,1156
1470276584,1160,1160
1470278527,1156,1156
1470279907,1158,1158
1470280807,1161,1161
1470282009,1161,1161
1470283222,1159,1159
1470284109,1165,1165
1470285007,1160,1160
1470285728,1159,1159
1470287647,1177,1177
1470288833,1171,1171
1470290568,1163,1163
1470291467,1165,1165
1470292087,1168,1168
1470293002,1158,1158
1470293911,1156,1156
1470294907,1165,1165
1470295808,1155,1155
1470297945,1151,1151
1470298778,1160,1160
1470300009,1163,1163
1470302124,1167,1167
1470302887,1170,1170
1470303906,1161,1161
1470304888,1162,1162
1470305707,1162,1162
1470306607,1160,1160
1470307508,1162,1162
1470309608,1163,1163
1470310087,1163,1163
1470311107,1155,1155
1470313210,1175,1175
1470314088,1178,1178
1470314526,1179,1179
1470316510,1189,1189
1470317356,1189,1189
1470318128,1191,1191
1470318966,1195,1195
1470319816,1204,1204
1470320850,1211,1211
1470321726,1194,1194
1470322567,1193,1193
1470323393,1193,1193
1470324435,1194,1194
1470325507,1194,1194
1470327016,1201,1201
1470329025,1197,1197
1470329926,1196,1196
1470330909,1204,1204
1470331686,1207,1207
1470332709,1201,1201
1470334809,1212,1212
1470335707,1211,1211
1470336129,1214,1214
1470337507,1215,1215
1470338410,1217,1217
1470339306,1222,1222
1470339726,1222,1222
1470341647,1235,1235
1470342609,1243,1243
1470343446,1244,1244
1470344671,1242,1242
1470346207,1255,1255
1470347707,1280,1280
1470348616,1283,1283
1470349480,1284,1284
1470350408,1285,1285
1470350528,1286,1286
1470352107,1288,1288
1470353407,1287,1287
1470355131,1285,1285
1470356109,1293,1293
1470356887,1290,1290
1470358713,1284,1284
1470359647,1285,1285
1470360607,1287,1287
1470361508,1289,1289
1470363016,1287,1287
1470364207,1286,1286
1470365108,1288,1288
1470367210,1292,1292
1470368355,1292,1292
1470370447,1293,1293
1470371287,1293,1293
1470372129,1293,1293
1470372968,1292,1292
1470373807,1296,1296
1470375806,1294,1294
1470377107,1294,1294
1470378009,1299,1299
1470378906,1297,1297
1470379835,1300,1300
1470381364,1300,1300
1470382927,1304,1304
1470383768,1314,1314
1470384910,1326,1326
1470385808,1326,1326
1470386707,1328,1328
1470388750,1333,1333
1470390129,1319,1319
1470392108,1320,1320
1470393009,1315,1315
1470394653,1314,1314
1470395555,1314,1314
1470397329,1316,1316
1470398296,1316,1316
1470399307,1319,1319
