DateTime,Entries,UniqueIPs
1470060789,1954,1954
1470061803,1956,1956
1470062704,1959,1959
1470063363,1965,1965
1470064203,1969,1969
1470065056,1976,1976
1470066004,1971,1971
1470067383,1979,1979
1470068404,1998,1998
1470069304,1993,1993
1470070988,1958,1958
1470072003,1971,1971
1470073203,1965,1965
1470074163,1972,1972
1470075013,1967,1967
1470075981,1974,1974
1470076803,1955,1955
1470077763,1967,1967
1470078604,1965,1965
1470079805,1969,1969
1470080690,1955,1955
1470082213,1983,1983
1470083237,1991,1991
1470084963,2009,2009
1470085787,2017,2017
1470087820,2013,2013
1470088690,2025,2025
1470089703,2039,2039
1470090604,2041,2041
1470091323,2060,2060
1470092703,2071,2071
1470093603,2078,2078
1470094452,2080,2080
1470095403,2083,2083
1470096303,2095,2095
1470097204,2105,2105
1470098405,2109,2109
1470098523,2110,2110
1470100503,2112,2112
1470101403,2110,2110
1470102123,2111,2111
1470103503,2119,2119
1470104405,2123,2123
1470105303,2123,2123
1470106590,2127,2127
1470108414,2135,2135
1470109324,2130,2130
1470110704,2135,2135
1470111603,2146,2146
1470112513,2148,2148
1470113703,2155,2155
1470114603,2160,2160
1470115803,2164,2164
1470116713,2172,2172
1470118803,2216,2216
1470119704,2204,2204
1470120603,2218,2218
1470121505,2226,2226
1470122317,2237,2237
1470123724,2212,2212
1470125103,2199,2199
1470126005,2213,2213
1470126904,2222,2222
1470128360,2219,2219
1470129264,2229,2229
1470130204,2243,2243
1470131104,2251,2251
1470132843,2272,2272
1470133805,2281,2281
1470135303,2298,2298
1470136503,2297,2297
1470137404,2296,2296
1470138304,2292,2292
1470138963,2295,2295
1470140883,2305,2305
1470141725,2301,2301
1470143104,2305,2305
1470144004,2313,2313
1470145323,2301,2301
1470146703,2313,2313
1470147576,2321,2321
1470148803,2316,2316
1470149764,2317,2317
1470150604,2319,2319
1470151715,2334,2334
1470152704,2322,2322
1470153514,2325,2325
1470154503,2329,2329
1470155406,2326,2326
1470156304,2334,2334
1470158278,2348,2348
1470159306,2342,2342
1470160168,2345,2345
1470161104,2332,2332
1470161644,2337,2337
1470162604,2321,2321
1470163503,2327,2327
1470164647,2325,2325
1470165452,2348,2348
1470167999,2357,2357
1470168844,2375,2375
1470170442,2382,2382
1470172204,2368,2368
1470173296,2378,2378
1470174124,2369,2369
1470175118,2376,2376
1470176104,2384,2384
1470177003,2382,2382
1470177724,2381,2381
1470178772,2380,2380
1470179704,2378,2378
1470180483,2388,2388
1470181324,2388,2388
1470182704,2423,2423
1470183604,2438,2438
1470184924,2435,2435
1470186304,2454,2454
1470187203,2465,2465
1470188406,2459,2459
1470189305,2464,2464
1470190212,2466,2466
1470191284,2476,2476
1470192303,2470,2470
1470194405,2471,2471
1470195604,2471,2471
1470196504,2475,2475
1470197412,2468,2468
1470198321,2470,2470
1470199325,2463,2463
1470201003,2443,2443
1470201837,2450,2450
1470203113,2453,2453
1470204081,2453,2453
1470204884,2458,2458
1470205803,2450,2450
1470206703,2459,2459
1470207364,2473,2473
1470208203,2470,2470
1470209096,2477,2477
1470209893,2470,2470
1470210123,2470,2470
1470212405,2508,2508
1470213725,2515,2515
1470215105,2524,2524
1470216005,2549,2549
1470217206,2554,2554
1470217324,2555,2555
1470218208,2568,2568
1470219013,2573,2573
1470220204,2572,2572
1470221106,2575,2575
1470222843,2575,2575
1470223805,2576,2576
1470225245,2607,2607
1470226079,2606,2606
1470227404,2591,2591
1470228304,2592,2592
1470229481,2603,2603
1470230842,2630,2630
1470231904,2632,2632
1470233704,2648,2648
1470234484,2664,2664
1470235504,2661,2661
1470237603,2686,2686
1470239103,2687,2687
1470240727,2706,2706
1470241753,2709,2709
1470242704,2722,2722
1470244805,2786,2786
1470245704,2788,2788
1470246124,2793,2793
1470247447,2806,2806
1470248404,2817,2817
1470249723,2838,2838
1470250563,2843,2843
1470252047,2826,2826
1470252905,2805,2805
1470256084,2833,2833
1470257033,2816,2816
1470258305,2812,2812
1470259848,2814,2814
1470260703,2799,2799
1470261733,2800,2800
1470262528,2805,2805
1470263405,2803,2803
1470264123,2811,2811
1470264963,2814,2814
1470265803,2794,2794
1470267004,2788,2788
1470267903,2784,2784
1470268943,2782,2782
1470270003,2792,2792
1470270865,2792,2792
1470272104,2801,2801
1470273004,2802,2802
1470274083,2807,2807
1470276580,2807,2807
1470278523,2806,2806
1470279903,2803,2803
1470280804,2808,2808
1470282005,2797,2797
1470283216,2798,2798
1470284105,2826,2826
1470285004,2835,2835
1470285723,2836,2836
1470287644,2859,2859
1470288830,2825,2825
1470290565,2805,2805
1470291464,2812,2812
1470292084,2816,2816
1470292999,2793,2793
1470293908,2765,2765
