DateTime,AddedIPs,RemovedIPs
1470341103,7,3
1470341703,4,51
1470342303,0,20
1470342903,3,10
1470343504,97,14
1470344103,61,8
1470344703,1,2
1470345007,98,11
1470345608,2,61
1470346202,2,4
1470346504,0,2
1470347103,3,4
1470347703,3,7
1470348005,3,42
1470348606,842,4
1470349208,61,55
1470349802,8,1
1470350402,24,4
1470351004,4,8
1470351603,7,9
1470352202,45,3
1470352504,1,8
1470353104,6,9
1470353706,21,80
1470354303,16,48
1470354904,7,2
1470355503,0,12
1470356103,2,8
1470356703,4,2
1470357302,35,1
1470357606,2,26
1470358204,97,7
1470358803,83,8
1470359403,25,17
1470360005,5,11
1470360603,7,3
1470361203,10,4
1470361803,11,2
1470362402,17,4
1470362705,6,2
1470363305,4,6
1470363902,2,0
1470364205,2,4
1470364803,2,1
1470365405,2,26
1470366003,3,44
1470366606,12,37
1470367205,4,6
1470367802,3,5
1470368405,5,3
1470369004,49,5
1470369604,134,5
1470370505,97,58
1470371103,96,2
1470371407,1,74
1470372006,3,51
1470372603,5,5
1470372906,1,84
1470373503,23,2
1470373806,11,97
1470374403,3,5
1470375004,19,5
1470375605,2,33
1470376203,4,14
1470376803,2,10
1470377403,2,5
1470378006,58,31
1470378602,22,4
1470379203,31,5
1470379803,3,17
1470380404,2,28
1470381003,1,5
1470381602,4,7
1470382203,4,6
1470382505,4,43
1470383104,5,3
1470383703,53,34
1470384303,0,3
1470384903,20,17
1470385504,42,21
1470386103,42,6
1470386703,51,7
1470387303,0,23
1470387903,22,8
1470388503,2,7
1470389103,0,7
1470389704,1,3
1470390304,16,10
1470390903,95,2
1470391503,3,12
1470392103,3,7
1470392703,2,6
1470393303,4,11
1470393903,3,16
1470394503,18,7
1470395103,4,9
1470395406,5,118
1470396002,104,103
1470396605,3,17
1470397203,2,10
1470397505,3,7
1470398103,2,2
1470398703,25,7
1470399304,4,52
1470399902,0,6
1470400503,3,9
1470401103,3,6
1470401702,1,12
1470402303,2,7
1470402607,4,25
1470403206,0,43
1470403803,3,3
1470404403,3,7
1470405003,2,11
1470405603,1,12
1470405905,3,23
1470406503,20,7
1470407103,23,2
1470407703,52,9
1470408305,83,52
1470408903,47,8
1470409505,102,65
1470410103,1,16
1470410704,54,7
1470411303,45,13
1470411903,1,6
1470412503,72,6
1470412805,46,38
1470413403,4,10
1470414003,6,5
1470414603,0,8
1470415203,4,17
1470415803,3,11
1470416405,30,88
1470417003,3,10
1470417604,3,14
1470418203,114,8
1470418803,20,11
1470419404,56,11
1470420003,4,9
1470420307,70,84
1470420903,145,9
1470421503,31,15
1470422102,114,5
1470422404,3,36
1470423003,53,13
1470423604,109,8
1470424203,12,7
1470424803,1,5
1470425403,50,4
1470426003,1,41
1470426603,50,4
1470427203,5,38
1470427806,55,10
1470428403,3,6
1470429003,56,5
1470429606,17,64
1470430204,4,75
1470430805,50,32
1470431408,3,103
1470432003,60,5
1470432604,23,4
1470433202,77,1
1470433803,4,10
1470434403,54,4
1470435031,39,807
1470435603,54,19
1470436204,1,46
1470436802,53,18
1470437403,3,5
1470438004,1,7
1470438602,52,43
1470439204,1,3
1470439803,3,10
1470440402,60,7
1470441002,3,12
1470441602,136,7
1470442203,64,2
1470442803,29,5
1470443403,50,27
1470444004,1,6
1470444605,58,93
1470445203,54,88
1470445804,29,26
1470446402,2,4
1470447003,69,3
1470447603,2,9
1470448203,98,10
1470448804,0,12
1470449404,1,7
1470450002,37,3
1470450603,109,4
1470451203,27,2
1470451803,60,2
1470452404,50,3
1470453005,1,6
1470453603,50,2
1470454203,41,5
1470454803,79,5
1470455403,52,2
1470455711,78,149
1470456302,28,2
1470456907,65,94
1470457513,12,89
1470458103,52,1
1470458705,129,4
1470459305,137,4
1470459902,72,20
1470460206,4,10
1470460803,102,3
1470461404,0,6
1470462003,0,3
1470462305,51,3
1470462903,1,4
1470463504,56,4
1470464103,46,4
1470464405,2,37
1470465004,73,17
1470465607,76,27
1470466204,21,4
1470466803,53,7
1470467403,2,2
1470468005,95,3
1470468603,71,5
1470469203,0,6
1470469806,2,55
1470470403,54,0
1470471003,48,18
1470471604,50,36
1470472204,0,32
1470472805,1,50
1470473402,85,0
1470474006,37,22
1470474603,67,4
1470475202,54,4
1470475802,4,0
1470476106,56,1
1470476703,0,6
1470477008,30,70
1470477603,49,6
1470478203,55,1
1470478803,65,4
1470479403,52,6
1470480004,1,5
1470480603,53,3
1470480905,141,13
1470481503,1,6
1470482108,52,87
1470482702,34,2
1470483004,49,6
1470483603,52,2
1470483905,50,6
1470484503,3,3
1470485103,4,23
1470485704,48,3
1470486303,2,1
1470486903,6,4
1470487503,106,2
1470488103,3,5
1470488703,0,3
1470489302,2,5
1470489903,8,2
1470490503,15,6
1470491102,8,1
1470491703,62,8
1470492303,14,3
1470492905,62,20
1470493504,4,23
1470494106,50,43
1470494703,62,72
1470495305,39,49
1470495906,77,100
1470496503,21,3
1470496805,44,52
1470497405,56,43
1470498003,103,3
1470498605,184,69
1470499204,115,44
1470499803,26,7
1470500403,46,6
1470501002,2,4
1470501603,82,5
1470502203,146,6
1470502805,57,28
1470503403,44,3
1470504003,3,5
1470504307,1,111
1470504904,83,5
1470505505,80,65
1470506103,192,6
1470506706,20,67
1470507304,20,130
1470507903,14,4
1470508209,50,130
1470508803,3,5
1470509107,12,49
1470509705,4,47
1470510304,2,59
1470510903,29,4
1470511505,183,50
1470512102,1,3
1470512703,1,3
1470513304,2,49
