DateTime,Entries,UniqueIPs
1470526508,15228,15228
1470527105,15336,15336
1470527704,15333,15333
1470528012,15210,15210
1470528607,15171,15171
1470529202,15142,15142
1470529805,15096,15096
1470530403,15102,15102
1470531003,15057,15057
1470531604,15009,15009
1470532204,14994,14994
1470532803,14990,14990
1470533107,14956,14956
1470533703,14955,14955
1470534307,14906,14906
1470534903,14854,14854
1470535503,14856,14856
1470536106,14819,14819
1470536710,14777,14777
1470537305,14707,14707
1470537906,14671,14671
1470538506,14616,14616
1470539102,14625,14625
1470540007,14576,14576
1470540911,14523,14523
1470541503,14514,14514
1470542117,14426,14426
1470542706,14401,14401
1470543306,14349,14349
1470544207,14294,14294
1470544808,14245,14245
1470545407,14129,14129
1470546008,14092,14092
1470546311,14034,14034
1470546903,14046,14046
1470547214,13948,13948
1470547803,13966,13966
1470548402,13967,13967
1470548709,13932,13932
1470549304,13950,13950
1470549908,13898,13898
1470550505,13892,13892
1470551108,13865,13865
1470551704,13851,13851
1470552016,13801,13801
1470552603,13825,13825
1470552911,13763,13763
1470553502,13783,13783
1470554108,13709,13709
1470554707,13645,13645
1470555302,13642,13642
1470555904,13645,13645
1470556511,13598,13598
1470557107,13554,13554
1470557705,13503,13503
1470558302,13503,13503
1470558903,13511,13511
1470559503,13515,13515
1470559806,13433,13433
1470560402,13444,13444
1470560705,13404,13404
1470561305,13373,13373
1470561610,13322,13322
1470562203,13318,13318
1470562505,13263,13263
1470563102,13264,13264
1470563405,13241,13241
1470564002,13202,13202
1470564608,13153,13153
1470565209,13094,13094
1470565805,13053,13053
1470566402,13055,13055
1470567005,13009,13009
1470567308,12884,12884
1470567903,12886,12886
1470568506,12853,12853
1470569104,12827,12827
1470569706,12735,12735
1470570305,12695,12695
1470570903,12694,12694
1470571503,12701,12701
1470571805,12749,12749
1470572403,12748,12748
1470573003,12753,12753
1470573603,12749,12749
1470573906,12647,12647
1470574503,12649,12649
1470575102,12652,12652
1470575702,12702,12702
1470576304,12704,12704
1470576903,12697,12697
1470577505,12712,12712
1470578103,12653,12653
1470578703,12661,12661
1470579305,12609,12609
1470579902,12658,12658
1470580503,12722,12722
1470580807,12613,12613
1470581404,12693,12693
1470581706,12685,12685
1470582305,12647,12647
1470582904,12677,12677
1470583206,12643,12643
1470583805,12617,12617
1470584407,12542,12542
1470585008,12382,12382
1470585606,12334,12334
1470586204,12420,12420
1470586506,12390,12390
1470587102,12389,12389
1470587404,12386,12386
1470588005,12372,12372
1470588307,12278,12278
1470588904,12228,12228
1470589206,12222,12222
1470589804,12246,12246
1470590403,12245,12245
1470591007,12256,12256
1470591604,12356,12356
1470592207,12254,12254
1470592803,12141,12141
1470593403,12162,12162
1470594003,12158,12158
1470594603,12145,12145
1470594906,12169,12169
1470595503,12247,12247
1470596103,12270,12270
1470596705,12266,12266
1470597303,12314,12314
1470597609,12152,12152
1470598203,12154,12154
1470598803,12180,12180
1470599105,12182,12182
1470599702,12208,12208
1470600305,12228,12228
1470600903,12221,12221
1470601503,12227,12227
1470602105,12272,12272
1470602407,12348,12348
1470603003,12358,12358
1470603604,12477,12477
1470604202,12514,12514
1470604802,12556,12556
1470605403,12547,12547
1470605706,12561,12561
1470606303,12597,12597
1470606904,12594,12594
1470607207,12511,12511
1470607803,12544,12544
1470608407,12493,12493
1470609003,12492,12492
1470609602,12541,12541
1470610203,12532,12532
1470610802,12570,12570
1470611405,12627,12627
1470612006,12630,12630
1470612604,12647,12647
1470613208,12546,12546
1470613803,12544,12544
1470614403,12635,12635
1470615003,12683,12683
1470615603,12686,12686
1470616203,12689,12689
1470616803,12685,12685
1470617405,12681,12681
1470618003,12729,12729
1470618604,12736,12736
1470619204,12733,12733
1470619803,12711,12711
1470620402,12714,12714
1470621003,12727,12727
1470621603,12727,12727
1470621905,12724,12724
1470622503,12726,12726
1470623103,12722,12722
1470623702,12714,12714
1470624304,12717,12717
1470624902,12719,12719
1470625503,12735,12735
1470626103,12784,12784
1470626703,12791,12791
1470627304,12786,12786
1470627904,12783,12783
1470628505,12804,12804
1470629103,12821,12821
1470629702,12868,12868
1470630303,12863,12863
1470630903,12885,12885
1470631803,12958,12958
1470632105,12945,12945
1470632703,12972,12972
1470633302,13022,13022
1470633903,13062,13062
1470634206,13131,13131
1470634802,13127,13127
1470635104,13213,13213
1470635703,13196,13196
1470636303,13193,13193
1470636904,13333,13333
1470637503,13445,13445
1470638103,13549,13549
1470638704,13616,13616
1470639304,13599,13599
1470639903,13649,13649
1470640504,13650,13650
1470641103,13647,13647
1470641703,13673,13673
1470642303,13739,13739
1470642605,13777,13777
1470643203,13824,13824
1470643803,13822,13822
1470644405,13880,13880
1470645004,13901,13901
1470645603,13916,13916
1470646203,14028,14028
1470646804,14033,14033
1470647403,14054,14054
1470648005,14071,14071
1470648602,14068,14068
1470649203,14165,14165
1470649803,14211,14211
1470650403,14211,14211
1470651003,14235,14235
1470651305,14230,14230
1470651903,14237,14237
1470652503,14223,14223
1470653105,14272,14272
1470653703,14321,14321
1470654304,14328,14328
1470654905,14340,14340
1470655503,14349,14349
1470656103,14391,14391
1470656705,14437,14437
1470657304,14487,14487
1470657904,14506,14506
1470658206,14484,14484
1470658803,14483,14483
1470659404,14478,14478
1470660002,14485,14485
1470660602,14536,14536
1470660905,14533,14533
1470661504,14548,14548
1470662105,14499,14499
1470662703,14526,14526
1470663304,14619,14619
1470663905,14645,14645
1470664503,14641,14641
1470665104,14645,14645
1470665703,14664,14664
1470666306,14607,14607
1470666904,14616,14616
1470667505,14606,14606
1470668104,14565,14565
