DateTime,Entries,UniqueIPs
1469690643,5620,5723
1469692570,5612,5718
1469694492,5597,5703
1469696445,5582,5686
1469698350,5578,5682
1469700263,5583,5686
1469702179,5591,5694
1469704097,5594,5696
1469706030,5600,5702
1469707960,5598,5700
1469709852,5595,5698
1469711781,5588,5690
1469713702,5585,5687
1469715642,5588,5690
1469717538,5588,5689
1469719449,5583,5684
1469721389,5580,5681
1469723308,5584,5683
1469725252,5585,5685
1469727153,5581,5680
1469729068,5580,5679
1469730989,5586,5685
1469732911,5580,5679
1469734820,5580,5678
1469737015,5581,5679
1469738926,5586,5684
1469740854,5591,5688
1469742751,5576,5672
1469744667,5581,5678
1469746607,5585,5683
1469748516,5585,5684
1469750452,5586,5687
1469752360,5589,5689
1469754265,5591,5691
1469756211,5598,5698
1469758105,5594,5694
1469760045,5599,5698
1469761957,5597,5696
1469763857,5590,5689
1469765802,5601,5700
1469767702,5607,5705
1469769615,5620,5718
1469771566,5611,5710
1469773468,5617,5716
1469775403,5626,5726
1469777311,5637,5736
1469779235,5654,5752
1469781154,5665,5763
1469783069,5683,5781
1469785000,5691,5788
1469786918,5693,5790
1469788822,5689,5786
1469790754,5683,5780
1469792654,5696,5794
1469794579,5700,5799
1469796496,5695,5794
1469798429,5690,5789
1469800392,5692,5792
1469802251,5682,5782
1469804186,5679,5781
1469806124,5673,5774
1469808081,5688,5789
1469809946,5702,5803
1469811861,5708,5809
1469813782,5714,5815
1469815699,5717,5818
1469817634,5726,5826
1469819553,5724,5824
1469821471,5735,5833
1469823390,5742,5840
1469825302,5740,5838
1469827249,5751,5849
1469829150,5750,5847
1469831048,5756,5853
1469832998,5767,5866
1469834907,5790,5890
1469836850,5794,5894
1469838754,5798,5898
1469840684,5805,5905
1469842594,5801,5901
1469844528,5805,5905
1469846419,5802,5901
1469848349,5804,5906
1469850248,5803,5906
1469852180,5801,5905
1469854099,5796,5900
1469856021,5806,5912
1469857951,5805,5911
1469859855,5818,5925
1469861788,5830,5937
1469863700,5847,5954
1469865644,5844,5955
1469867544,5854,5965
1469869458,5869,5981
1469871406,5859,5971
1469873325,5873,5987
1469875223,5883,5999
1469877141,5899,6016
1469879058,5927,6045
1469881024,5954,6072
1469882916,5961,6080
1469884819,5980,6100
1469886740,6002,6123
1469888652,5998,6115
1469890601,5995,6114
1469892507,6001,6122
1469894451,6008,6129
1469896348,6014,6135
1469898266,6013,6133
1469900198,6028,6150
1469902101,6021,6143
1469904024,6032,6154
1469905952,6046,6170
1469907860,6048,6171
1469909796,6045,6169
1469911696,6048,6171
1469913619,6048,6169
1469915553,6057,6179
1469917466,6056,6179
1469919383,6064,6189
1469921318,6060,6185
1469923263,6053,6178
1469925159,6054,6178
1469927059,6049,6174
1469928985,6049,6175
1469930906,6053,6180
1469932823,6060,6187
1469934743,6059,6186
1469936654,6054,6181
1469938607,6059,6185
1469940512,6065,6191
1469942438,6077,6204
1469944346,6092,6222
1469946253,6107,6238
1469948193,6134,6269
1469950103,6146,6281
1469952047,6154,6289
1469953975,6149,6283
1469955860,6140,6274
1469957780,6135,6269
1469959704,6149,6283
1469961615,6150,6284
1469963544,6148,6280
1469965450,6148,6280
1469967388,6148,6280
1469969303,6140,6273
1469971216,6138,6269
1469973143,6127,6259
1469975055,6121,6253
1469976981,6103,6235
1469978908,6092,6222
1469980834,6079,6209
1469982743,6072,6202
1469984655,6064,6194
1469986594,6049,6178
1469988518,6038,6166
1469990443,6032,6160
1469992351,6025,6153
1469994266,6022,6149
1469996180,6031,6157
1469998113,6032,6158
1470000023,6036,6162
1470001951,6038,6164
1470003850,6035,6162
1470005789,6035,6162
1470007703,6028,6155
1470009632,6028,6156
1470011542,6029,6156
1470013459,6035,6163
1470015385,6024,6151
1470017309,6026,6153
1470019219,6017,6143
1470021143,6011,6137
1470023052,6006,6132
1470024986,5997,6123
1470026909,5995,6121
1470028888,6009,6137
1470030754,6007,6138
1470032688,6011,6145
1470034619,6018,6152
1470036504,6025,6159
1470038682,6034,6169
1470040589,6029,6164
1470042492,6027,6162
1470044411,6033,6168
1470046347,6021,6155
1470048246,6022,6156
1470050173,6026,6161
1470052093,6029,6164
1470054042,6028,6163
1470056042,6032,6169
1470057966,6032,6167
1470059777,6027,6162
1470061746,6017,6152
1470063643,6011,6146
1470065569,6001,6136
1470067457,5999,6134
1470069383,6000,6135
1470071301,6009,6143
1470073224,6011,6145
1470075182,6013,6147
1470077063,6017,6152
1470078989,6020,6155
1470080913,6020,6155
1470082828,6009,6143
1470084750,5996,6130
1470086659,5999,6133
