DateTime,Entries,UniqueIPs
1470490360,3922,3922
1470490824,3917,3917
1470491310,3949,3949
1470491792,3952,3952
1470492257,3944,3944
1470492755,3946,3946
1470493248,3927,3927
1470493705,3929,3929
1470494194,3927,3927
1470494660,3923,3923
1470495148,3882,3882
1470495660,3876,3876
1470496124,3870,3870
1470496599,3870,3870
1470497055,3886,3886
1470497568,3888,3888
1470498048,3846,3846
1470498513,3848,3848
1470498989,3844,3844
1470499466,3834,3834
1470499953,3808,3808
1470500433,3810,3810
1470500905,3779,3779
1470501376,3771,3771
1470501877,3755,3755
1470502347,3771,3771
1470502843,3758,3758
1470503309,3761,3761
1470503778,3754,3754
1470504262,3761,3761
1470504766,3752,3752
1470505220,3756,3756
1470505708,3748,3748
1470506194,3743,3743
1470506661,3753,3753
1470507141,3755,3755
1470507630,3741,3741
1470508109,3745,3745
1470508593,3758,3758
1470509060,3752,3752
1470509558,3695,3695
1470510035,3694,3694
1470510515,3701,3701
1470511006,3704,3704
1470511467,3696,3696
1470511963,3700,3700
1470512418,3702,3702
1470512910,3697,3697
1470513399,3717,3717
1470513855,3718,3718
1470514350,3748,3748
1470514822,3738,3738
1470515308,3759,3759
1470515794,3755,3755
1470516271,3777,3777
1470516752,3781,3781
1470517242,3778,3778
1470517707,3777,3777
1470518191,3775,3775
1470518652,3779,3779
1470519150,3767,3767
1470519618,3761,3761
1470520110,3771,3771
1470520596,3775,3775
1470521058,3773,3773
1470521542,3768,3768
1470522043,3780,3780
1470522516,3791,3791
1470522996,3781,3781
1470523462,3787,3787
1470523953,3783,3783
1470524445,3777,3777
1470524903,3775,3775
1470525383,3770,3770
1470525849,3742,3742
1470526347,3736,3736
1470526809,3730,3730
1470527308,3726,3726
1470527789,3746,3746
1470528252,3757,3757
1470528745,3744,3744
1470529231,3746,3746
1470529694,3757,3757
1470530184,3751,3751
1470530655,3761,3761
1470531151,3758,3758
1470531641,3719,3719
1470532110,3709,3709
1470532574,3712,3712
1470533052,3718,3718
1470533651,3679,3679
1470534056,3703,3703
1470534735,3675,3675
1470535009,3670,3670
1470535711,3638,3638
1470535947,3625,3625
1470536649,3603,3603
1470536913,3605,3605
1470537616,3572,3572
1470537873,3576,3576
1470538601,3574,3574
1470538837,3570,3570
1470539540,3562,3562
1470540059,3568,3568
1470540499,3556,3556
1470541011,3557,3557
1470541467,3538,3538
1470541944,3532,3532
1470542443,3553,3553
1470542908,3546,3546
1470543390,3532,3532
1470543861,3531,3531
1470544386,3535,3535
1470544850,3540,3540
1470545310,3507,3507
1470545795,3510,3510
1470546272,3498,3498
1470546767,3490,3490
1470547233,3470,3470
1470547720,3476,3476
1470548186,3480,3480
1470548661,3479,3479
1470549151,3485,3485
1470549683,3486,3486
1470550109,3467,3467
1470550586,3471,3471
1470551057,3461,3461
1470551543,3454,3454
1470552014,3456,3456
1470552520,3453,3453
1470552987,3463,3463
1470553468,3463,3463
1470553952,3476,3476
1470554419,3484,3484
1470554906,3494,3494
1470555399,3489,3489
1470555859,3469,3469
1470556352,3462,3462
1470556845,3464,3464
1470557322,3458,3458
1470557787,3450,3450
1470558263,3452,3452
1470558740,3447,3447
1470559221,3448,3448
1470559946,3452,3452
1470560208,3460,3460
1470560897,3442,3442
1470561151,3438,3438
1470561851,3434,3434
1470562114,3430,3430
1470562830,3441,3441
1470563063,3444,3444
1470563786,3446,3446
1470564048,3450,3450
1470564748,3435,3435
1470565011,3432,3432
1470565700,3438,3438
1470566097,3444,3444
1470566648,3426,3426
1470567150,3426,3426
1470567646,3437,3437
1470568107,3429,3429
1470568588,3447,3447
1470569047,3445,3445
1470569538,3429,3429
1470570020,3439,3439
1470570503,3444,3444
1470570980,3438,3438
1470571462,3430,3430
1470571949,3431,3431
1470572446,3421,3421
1470572903,3413,3413
1470573381,3391,3391
1470573859,3393,3393
1470574354,3367,3367
1470574861,3373,3373
1470575314,3387,3387
1470575790,3386,3386
1470576262,3374,3374
1470576739,3370,3370
1470577247,3350,3350
1470577706,3351,3351
1470578198,3347,3347
1470578666,3335,3335
1470579152,3359,3359
1470579621,3366,3366
1470580112,3374,3374
1470580595,3376,3376
1470581062,3360,3360
1470581552,3361,3361
1470582042,3375,3375
1470582517,3375,3375
1470583009,3385,3385
1470583452,3383,3383
1470583950,3395,3395
1470584492,3399,3399
1470584902,3405,3405
1470585645,3408,3408
1470585865,3422,3422
1470586581,3421,3421
1470586825,3443,3443
1470587539,3441,3441
1470587799,3439,3439
1470588494,3433,3433
1470588765,3450,3450
1470589466,3448,3448
1470589705,3440,3440
1470590436,3448,3448
1470590650,3434,3434
1470591379,3433,3433
1470591633,3461,3461
1470592350,3451,3451
1470592589,3459,3459
1470593295,3465,3465
1470593559,3475,3475
1470594251,3475,3475
1470594505,3496,3496
1470595231,3495,3495
1470595452,3479,3479
1470596191,3484,3484
1470596435,3510,3510
1470597139,3512,3512
1470597414,3526,3526
1470598106,3528,3528
1470598383,3526,3526
1470599055,3519,3519
1470599296,3503,3503
1470600038,3506,3506
1470600267,3500,3500
1470601005,3497,3497
1470601214,3485,3485
1470601938,3484,3484
1470602205,3465,3465
1470602904,3463,3463
1470603165,3443,3443
1470603857,3445,3445
1470604120,3431,3431
1470604823,3427,3427
1470605063,3427,3427
1470605775,3422,3422
1470606051,3415,3415
1470606746,3419,3419
1470606993,3417,3417
1470607701,3422,3422
1470607955,3422,3422
1470608704,3432,3432
1470608913,3432,3432
1470609629,3426,3426
1470609862,3440,3440
1470610847,3415,3415
1470611302,3413,3413
1470611786,3401,3401
1470612257,3403,3403
1470612752,3409,3409
1470613707,3405,3405
1470613960,3411,3411
1470614670,3401,3401
1470614895,3401,3401
1470615628,3393,3393
1470615851,3395,3395
1470616580,3402,3402
1470616828,3395,3395
1470617552,3373,3373
1470617781,3362,3362
1470618506,3384,3384
1470618756,3376,3376
1470619453,3394,3394
1470619706,3407,3407
1470620432,3407,3407
1470620757,3408,3408
1470621371,3409,3409
1470621676,3410,3410
1470622351,3442,3442
1470622592,3446,3446
1470623318,3461,3461
1470623542,3462,3462
