DateTime,Entries,UniqueIPs
1470314659,16952,17062
1470315637,16934,17044
1470316595,16941,17051
1470317564,16948,17058
1470318511,16943,17053
1470319466,16951,17060
1470320437,16916,17022
1470321395,16879,16980
1470322346,16889,16990
1470323299,16906,17006
1470324292,16906,17006
1470325233,16890,16990
1470326189,16851,16950
1470327398,16873,16972
1470328349,16820,16916
1470329347,16828,16924
1470330260,16828,16924
1470331217,16817,16912
1470332181,16810,16906
1470333134,16801,16897
1470334145,16821,16917
1470335052,16836,16932
1470336031,16824,16920
1470337035,16789,16884
1470337945,16786,16880
1470338978,16793,16888
1470340106,16769,16864
1470341067,16737,16833
1470342018,16727,16823
1470343004,16721,16817
1470343947,16701,16797
1470344919,16685,16781
1470345860,16685,16781
1470346860,16705,16801
1470347790,16697,16793
1470348751,16711,16807
1470349701,16678,16775
1470350670,16683,16779
1470351677,16633,16729
1470352612,16610,16705
1470353545,16598,16693
1470354507,16584,16679
1470355455,16533,16627
1470356421,16552,16647
1470357384,16552,16647
1470358344,16565,16659
1470359401,16508,16601
1470360502,16503,16596
1470361454,16518,16612
1470362451,16501,16596
1470363385,16484,16578
1470364354,16483,16577
1470365303,16475,16569
1470366267,16453,16547
1470367244,16410,16505
1470368195,16448,16543
1470369159,16447,16542
1470370100,16418,16513
1470371052,16432,16527
1470372042,16446,16543
1470372979,16465,16562
1470373957,16470,16568
1470374911,16476,16574
1470375875,16486,16584
1470376850,16467,16565
1470377799,15103,15188
1470378760,15114,15199
1470379716,15115,15200
1470380666,15113,15198
1470381627,15134,15219
1470382589,15130,15213
1470383552,15155,15239
1470384512,15140,15223
1470385462,15118,15201
1470386428,15156,15239
1470387399,15158,15241
1470388350,15154,15237
1470389326,15206,15289
1470390261,15206,15289
1470391280,15216,15300
1470392197,15223,15307
1470393164,15243,15329
1470394131,15227,15315
1470395088,15237,15325
1470396036,15217,15305
1470396981,15241,15329
1470397956,15269,15357
1470398912,15269,15357
1470399865,15255,15343
1470400855,15275,15363
1470401787,15283,15371
1470402747,15299,15387
1470403710,15298,15386
1470404658,15286,15374
1470405645,15308,15396
1470406611,15289,15377
1470407545,15311,15399
1470408515,15303,15391
1470409527,15314,15403
1470410441,15331,15423
1470411389,15357,15449
1470412375,15334,15426
1470413305,15373,15468
1470414258,15352,15446
1470415239,15376,15472
1470416174,15408,15504
1470417146,15381,15476
1470418106,15410,15505
1470419055,15400,15495
1470420048,15391,15486
1470420990,15357,15452
1470421947,15375,15471
1470422908,15389,15485
1470423870,15408,15505
1470424821,15449,15547
1470425784,15459,15557
1470426753,15434,15532
1470427699,15453,15551
1470428650,15447,15545
1470429658,15437,15535
1470430586,15458,15557
1470431590,15498,15597
1470432512,15526,15625
1470433465,15535,15635
1470434456,15553,15653
1470435399,15520,15620
1470436362,15519,15619
1470437310,15543,15643
1470438262,15553,15653
1470439233,15577,15677
1470440185,15610,15710
1470441154,15587,15688
1470442105,15603,15704
1470443069,15589,15690
1470444025,15606,15708
1470444988,15632,15734
1470445958,15660,15762
1470446906,15692,15794
1470447871,15709,15812
1470448870,15723,15826
1470449785,15719,15822
1470450756,15756,15859
1470451702,15764,15867
1470452657,15767,15870
1470453635,15782,15885
1470454579,15787,15890
1470455549,15779,15882
1470456517,15784,15887
1470457458,15794,15897
1470458438,15791,15895
1470459396,15785,15890
1470460357,15818,15924
1470461306,15804,15910
1470462259,15803,15909
1470463264,15801,15907
1470464197,15811,15917
1470465171,15785,15891
1470466113,15795,15901
1470467054,15822,15928
1470468036,15796,15903
1470468980,15802,15909
1470469955,15788,15895
1470470914,15801,15909
1470471861,15793,15901
1470473079,15813,15921
1470474039,15791,15899
1470474975,15811,15920
1470475951,15787,15896
1470476906,15779,15888
1470477858,15767,15876
1470478834,15759,15868
1470479782,15739,15848
1470480744,15731,15840
1470481717,15736,15847
1470482650,15724,15835
1470483624,15720,15831
1470484589,15708,15819
1470485544,15734,15845
1470486507,15752,15863
1470487455,15758,15869
1470488432,15766,15877
1470489406,15767,15879
1470490360,15810,15922
1470491310,15840,15952
1470492257,15833,15945
1470493248,15831,15943
1470494194,15829,15941
1470495148,15819,15931
1470496124,15819,15931
1470497055,15839,15951
1470498048,15824,15936
1470498989,15802,15914
1470499953,15808,15920
1470500905,15791,15903
1470501877,15806,15919
1470502843,15794,15907
1470503778,15782,15895
1470504766,15797,15910
1470505708,15789,15902
1470506661,15806,15919
1470507630,15796,15909
1470508593,15796,15908
1470509558,15802,15914
1470510515,15812,15924
1470511467,15821,15933
1470512418,15801,15913
1470513399,15821,15933
1470514350,15845,15957
1470515308,15855,15967
1470516271,15882,15995
1470517242,15884,15997
1470518191,15893,16006
1470519150,15903,16016
1470520110,15921,16034
1470521058,15919,16032
1470522043,15915,16030
1470522996,15908,16023
1470523953,15913,16027
1470524903,15919,16033
1470525849,15913,16027
1470526809,15925,16039
1470527789,15911,16025
1470528745,15923,16037
1470529694,15943,16057
1470530655,15921,16035
1470531641,15931,16045
1470532574,15893,16007
1470533651,15883,15997
1470534735,15893,16007
1470535711,15875,15989
1470536649,15863,15977
1470537616,15865,15978
1470538601,15861,15974
1470539540,15881,15994
1470540499,15882,15996
1470541467,15873,15985
1470542443,15862,15971
1470543390,15848,15957
1470544386,15860,15968
1470545310,15856,15962
1470546272,15832,15938
1470547233,15800,15906
1470548186,15816,15922
1470549151,15840,15946
1470550109,15814,15918
1470551057,15809,15912
1470552014,15805,15908
1470552987,15803,15904
1470553952,15815,15916
1470554906,15833,15934
1470555859,15823,15924
1470556845,15812,15911
1470557787,15786,15885
1470558740,15794,15891
1470559946,15800,15897
1470560897,15805,15902
1470561851,15794,15890
1470562830,15792,15888
1470563786,15788,15884
1470564748,15776,15872
1470565700,15774,15870
1470566648,15766,15859
1470567646,15751,15837
1470568588,15764,15848
1470569538,15740,15822
1470570503,15759,15838
1470571462,15729,15808
1470572446,15710,15788
1470573381,15711,15788
1470574354,15690,15767
1470575314,15694,15771
1470576262,15687,15763
1470577247,15681,15757
1470578198,15683,15759
1470579152,15696,15771
1470580112,15701,15777
1470581062,15701,15777
1470582042,15705,15781
1470583009,15707,15783
1470583950,15719,15795
1470584902,15731,15807
1470585865,15742,15817
1470586825,15742,15817
1470587799,15738,15813
1470588765,15727,15802
1470589705,15719,15794
1470590650,15701,15776
1470591633,15705,15780
1470592589,15707,15782
1470593559,15711,15786
1470594505,15731,15806
1470595452,15737,15812
1470596435,15755,15830
1470597414,15767,15842
1470598383,15767,15842
1470599296,15777,15852
1470600267,15783,15858
1470601214,15779,15854
1470602205,15777,15852
