DateTime,Entries,UniqueIPs
1470153399,1511,1511
1470154345,1517,1517
1470155305,1513,1513
1470156273,1539,1539
1470157266,1551,1551
1470158193,1555,1555
1470159156,1569,1569
1470160116,1589,1589
1470161076,1581,1581
1470162033,1593,1593
1470162996,1591,1591
1470163953,1599,1599
1470164916,1607,1607
1470165852,1609,1609
1470166827,1635,1635
1470167800,1638,1638
1470168747,1637,1637
1470169700,1633,1633
1470170657,1637,1637
1470171651,1633,1633
1470172589,1625,1625
1470173544,1611,1611
1470174510,1593,1593
1470175468,1585,1585
1470176444,1577,1577
1470177380,1567,1567
1470178355,1575,1575
1470179332,1573,1573
1470180255,1575,1575
1470181246,1559,1559
1470182188,1567,1567
1470183153,1551,1551
1470184109,1547,1547
1470185160,1541,1541
1470186253,1537,1537
1470187228,1533,1533
1470188176,1541,1541
1470189139,1523,1523
1470190137,1504,1504
1470191051,1514,1514
1470192029,1504,1504
1470192992,1496,1496
1470193946,1518,1518
1470194912,1515,1515
1470195856,1531,1531
1470196859,1513,1513
1470197783,1511,1511
1470198741,1521,1521
1470199708,1541,1541
1470200651,1541,1541
1470201626,1539,1539
1470202577,1545,1545
1470203543,1545,1545
1470204512,1579,1579
1470205460,1595,1595
1470206418,1578,1578
1470207397,1578,1578
1470208344,1570,1570
1470209315,1576,1576
1470210262,1582,1582
1470211237,1552,1552
1470212163,1553,1553
1470213145,1548,1548
1470214110,1528,1528
1470215055,1508,1508
1470216023,1492,1492
1470217235,1470,1470
1470218183,1476,1476
1470219275,1447,1447
1470220346,1454,1454
1470221303,1452,1452
1470222258,1466,1466
1470223224,1476,1476
1470224176,1472,1472
1470225141,1479,1479
1470226105,1462,1462
1470227050,1490,1490
1470228026,1512,1512
1470228973,1503,1503
1470229947,1490,1490
1470230908,1490,1490
1470231851,1508,1508
1470232845,1498,1498
1470233790,1486,1486
1470234748,1506,1506
1470235716,1484,1484
1470236674,1474,1474
1470237635,1466,1466
1470238587,1432,1432
1470239547,1410,1410
1470240508,1400,1400
1470241602,1410,1410
1470242655,1414,1414
1470243640,1412,1412
1470244573,1402,1402
1470245574,1409,1409
1470246510,1408,1408
1470247457,1400,1400
1470248455,1394,1394
1470249377,1410,1410
1470250360,1400,1400
1470251304,1396,1396
1470252248,1396,1396
1470253218,1382,1382
1470254191,1370,1370
1470255133,1362,1362
1470256144,1360,1360
1470257055,1370,1370
1470258069,1358,1358
1470258983,1364,1364
1470259943,1368,1368
1470260916,1382,1382
1470261885,1404,1404
1470262844,1400,1400
1470263798,1400,1400
1470264737,1398,1398
1470265708,1394,1394
1470266656,1382,1382
1470267618,1388,1388
1470268595,1382,1382
1470269548,1382,1382
1470270543,1388,1388
1470271465,1396,1396
1470272466,1392,1392
1470273382,1398,1398
1470274336,1412,1412
1470275317,1424,1424
1470276261,1430,1430
1470277230,1446,1446
1470278195,1432,1432
1470279170,1442,1442
1470280104,1430,1430
1470281056,1458,1458
1470282016,1456,1456
1470282982,1482,1482
1470283945,1478,1478
1470284901,1474,1474
1470285848,1474,1474
1470286843,1468,1468
1470287786,1490,1490
