DateTime,Entries,UniqueIPs
1470344188,114552,138606
1470345150,114631,138697
1470346097,114660,138735
1470347062,114744,138836
1470348044,114778,138882
1470348982,114876,138997
1470349953,114930,139064
1470350900,114977,139136
1470351855,114993,139156
1470352849,114987,139152
1470353800,115109,139303
1470354750,115157,139355
1470355723,115214,139414
1470356664,115274,139485
1470357642,115339,139553
1470358586,115390,139621
1470359795,115482,139729
1470360765,115520,139780
1470361703,115538,139834
1470362670,115611,139928
1470363643,115617,139948
1470364590,115642,139977
1470365551,115682,140031
1470366505,115748,140117
1470367456,115797,140193
1470368424,115873,140327
1470369672,115938,140425
1470370611,115973,140472
1470371558,116022,140527
1470372504,116081,140593
1470373476,116134,140669
1470374434,116151,140691
1470375380,116183,140731
1470376353,116217,140787
1470377312,116266,140846
1470378253,116308,140899
1470379235,116390,140996
1470380184,116470,141093
1470381156,116581,141233
1470382115,116606,141270
1470383051,116721,141422
1470384035,116764,141480
1470385002,116808,141549
1470386008,116851,141622
1470386914,116870,141649
1470387866,116912,141762
1470388833,116991,141929
1470389788,117097,142100
1470390747,117147,142177
1470391705,117225,142309
1470392648,117318,142474
1470393622,117346,142522
1470394590,117363,142572
1470395534,117447,142739
1470396501,117472,142780
1470397453,117574,142907
1470398437,117632,142979
1470399403,117672,143029
1470400347,117755,143148
1470401322,117818,143232
1470402269,117895,143322
1470403238,117915,143354
1470404181,118029,143496
1470405162,118090,143578
1470406100,118146,143655
1470407052,118203,143718
1470408047,118271,143796
1470409035,118320,143862
1470409939,118362,143923
1470410923,118400,143980
1470411863,118457,144065
1470412838,118460,144072
1470413814,118491,144120
1470414745,118584,144243
1470415697,118622,144275
1470416659,118660,144323
1470417621,118757,144443
1470418579,118796,144492
1470419553,118881,144602
1470420508,118917,144647
1470421451,118959,144701
1470422422,119040,144819
1470423381,119098,144891
1470424346,119153,144963
1470425299,119222,145056
1470426249,119271,145110
1470427246,119322,145181
1470428182,119379,145257
1470429418,119464,145370
1470430352,119488,145411
1470431301,119529,145479
1470432250,119583,145555
1470433230,119664,145664
1470434174,119721,145738
1470435144,119780,145810
1470436132,119866,145911
1470437049,119879,145929
1470438043,119898,145956
1470438978,119924,145989
