DateTime,AddedIPs,RemovedIPs
1470092921,1280,1536
1470094699,256,1280
1470097051,1536,1536
1470098297,768,1536
1470100100,2048,2304
1470101900,1536,2048
1470104305,1280,1024
1470104593,0,1792
1470105496,1024,0
1470107318,768,1792
1470109098,256,2048
1470111504,1280,1536
1470111795,0,1536
1470112697,1280,0
1470114519,2048,1024
1470116300,1024,1792
1470118686,1536,2048
1470119051,0,1792
1470119901,1024,0
1470122384,1536,2048
1470122596,0,2304
1470123520,512,0
1470125294,512,512
1470127101,2048,1280
1470128904,1280,2048
1470130700,1536,1280
1470133183,2048,1024
1470133397,0,1792
1470134329,1792,0
1470136104,1536,1280
1470137966,1280,1280
1470140270,2304,512
1470140595,0,1024
1470141497,2304,0
1470142395,0,1792
1470143316,1536,0
1470144429,0,1536
1470145093,1280,0
1470147464,1536,512
1470148707,1792,1536
1470151027,1280,1536
1470152296,1024,1792
1470153193,0,1024
1470154132,1536,0
1470155921,1536,1280
1470157700,2048,1024
1470159521,1024,1536
1470161826,1536,512
1470162192,0,1536
1470163100,1280,0
1470164908,1024,1280
1470166004,0,1280
1470166712,1536,0
1470169048,1792,768
1470169392,256,0
1470170297,2048,2304
1470172099,1024,768
1470173904,768,1280
1470175740,1024,1536
1470177510,0,1792
1470179336,1792,768
1470180425,0,1792
1470181108,1536,0
1470181994,256,0
1470183583,1280,512
1470183809,0,1280
1470184717,2560,0
1470186501,1536,768
1470187393,0,2048
1470188292,2304,0
1470190719,512,1024
1470191901,1536,1024
1470193697,1536,512
1470195491,768,1024
1470197365,1536,768
1470199099,1280,1024
1470201555,1792,1280
1470201802,0,1280
1470202705,1280,0
1470205159,1536,1536
1470206313,1024,1280
1470207196,256,0
1470208101,2816,512
1470209437,1280,1280
1470211699,1024,768
1470213498,1536,1024
1470216000,768,1792
1470216197,0,1536
1470217101,2048,0
1470218900,1280,1536
1470219866,0,2048
1470220711,1536,0
1470223113,1280,1792
1470223402,0,1792
1470224298,1536,0
1470226118,1536,1792
1470227008,768,0
1470227927,1792,1024
1470230218,1280,1792
1470231500,256,2304
1470233843,1024,2560
1470235101,1280,1792
1470236910,1792,1536
1470237849,0,1536
1470238698,2048,0
1470240505,1024,1280
1470242317,768,1792
1470244630,1536,1280
1470245029,0,1536
1470245907,2304,0
1470248256,768,1280
1470249495,512,1536
1470251855,1536,1280
1470253102,512,1280
1470254942,1024,1792
1470255959,0,256
1470256826,1280,1536
1470259060,1280,1280
1470259413,0,1024
1470260327,256,0
1470262796,768,1024
1470262997,0,256
1470263898,1280,0
1470266267,1280,512
1470267512,1280,1536
1470269359,512,1536
1470271101,1536,1536
1470272000,0,1792
1470272894,768,0
1470274213,1536,1792
1470275594,0,1024
1470277065,1280,0
1470278311,1792,1280
1470280783,2048,1536
1470281001,0,1280
1470281903,2304,0
1470284396,1792,1024
1470284601,0,1280
1470285499,1792,0
1470287933,1280,768
1470289102,2304,2048
1470291556,1280,1792
1470292700,2048,1536
1470293598,0,256
1470294497,2304,1536
1470296306,2304,2816
1470297195,0,1024
1470298121,1536,0
1470299003,0,768
1470299899,1792,0
1470301700,1024,1792
1470303498,768,1280
1470304391,0,1792
1470305972,1536,0
1470307100,1792,1536
1470309479,1280,1280
1470310707,1536,1024
1470312510,1280,1792
1470313405,0,768
1470314299,1536,1536
1470316653,1536,2816
1470317907,2048,1280
1470319711,1280,768
1470321515,2048,768
1470323297,1536,1792
1470325107,768,1280
1470325998,256,0
1470326902,1792,1536
1470327801,0,1024
1470328704,2304,0
1470331048,1792,768
1470332294,1536,512
1470334100,512,2560
1470335042,0,768
1470335895,1024,0
1470338271,1024,512
1470339508,1792,1536
1470341854,768,1024
1470343107,1024,1024
1470345440,1792,1536
1470346734,1280,768
1470348537,1792,0
1470350301,512,768
1470352674,1792,1024
1470353900,1024,1536
1470355700,1280,1280
1470356959,0,1024
1470357516,2048,0
1470359336,1536,768
1470361115,1536,1280
1470363579,1792,1280
1470363800,0,1024
1470364700,1280,0
1470367149,1536,1280
1470368302,768,1792
1470370771,1280,2560
1470370992,0,2304
1470371909,1024,0
1470372797,0,1536
1470374370,1280,0
1470375505,1280,1280
1470377801,1280,2048
1470379117,1792,1280
1470381586,1280,2048
1470381798,0,2304
1470382700,1792,0
1470385036,1792,1280
1470386302,1024,1536
1470388100,1792,1280
1470389002,0,1024
1470389897,1536,0
1470392345,1280,1280
1470393498,1536,2048
1470395326,1792,1792
1470397130,1536,1536
1470398956,1280,2048
1470400710,1024,1024
1470403022,2048,1792
1470404297,1280,1536
1470406108,1280,1792
1470407900,1024,1536
1470410227,1024,1536
1470410598,0,1536
1470411501,1536,0
1470413870,1792,1280
1470415099,1024,1024
1470417430,1792,2048
1470418710,768,1792
1470420517,512,1024
1470422340,1024,768
1470423271,0,1024
1470424642,1024,0
1470425928,256,1024
1470428266,256,1536
1470429503,768,1792
1470431895,1280,512
1470432199,0,1536
1470433109,1024,0
1470434899,768,768
1470435799,0,2048
1470436700,1536,0
1470438504,1280,0
1470439497,0,1792
1470440307,1536,0
1470441201,0,1024
1470442104,1536,0
1470443902,256,1280
1470446371,1024,2048
1470446608,0,2304
1470447501,1280,0
1470449912,256,1280
1470451101,1024,2304
1470453466,1792,1536
1470454702,2304,2048
1470456534,1792,1280
1470458309,1536,1024
1470460709,1536,1024
1470461904,1024,1792
1470464331,1792,1024
1470464602,0,1280
1470465602,1536,0
1470467295,512,1792
1470469104,1024,1024
1470471423,1536,2048
1470472704,1792,2048
1470474501,1792,1280
1470476297,1024,2560
1470478766,2304,1536
1470479900,1024,1280
1470481707,768,512
1470483511,1792,1280
1470485843,768,1280
1470486195,0,1280
1470487105,768,0
1470489424,1024,1536
1470490742,768,1536
1470492502,1280,2048
1470493528,0,768
1470494306,1792,0
1470496695,2304,1280
1470497001,0,1792
1470497911,1024,0
1470500310,1792,1280
1470500718,0,1024
1470501514,1280,0
1470503850,1792,1280
1470504197,0,1280
1470505101,1792,0
1470506947,1280,768
1470508835,1024,1024
1470510590,768,768
1470511401,0,256
1470512308,2048,0
1470514641,2560,512
1470515912,1792,512
1470518282,1792,768
1470519634,1280,1024
1470520581,0,768
1470521535,512,0
1470522341,0,512
1470522713,1792,0
1470523993,0,1024
1470525508,768,0
1470526866,1792,2304
1470528680,1792,768
1470529311,256,0
1470529774,0,2048
1470530416,1536,0
1470531400,0,768
1470532757,2048,0
1470533913,1792,768
1470534907,256,0
1470536251,512,1024
1470537618,2304,768
1470538587,0,1280
1470539466,2048,0
1470541289,2304,2816
1470543561,1536,1536
1470543794,0,1792
1470544880,1792,0
1470545591,0,1280
1470547115,1536,0
1470548487,768,2048
1470550617,1024,1536
1470552013,768,1280
1470554354,2048,1024
1470554617,0,768
1470555588,1536,0
1470557802,768,512
1470559289,512,1024
1470561080,1280,1792
1470562125,0,1536
1470562698,2048,0
1470564501,768,1280
1470566420,768,1536
1470568376,1280,768
1470569127,0,768
1470570100,1024,0
1470571727,2048,1792
1470573509,2560,1024
1470575823,2304,1024
1470577096,512,1024
1470578897,1536,1024
1470580714,1536,1792
1470583184,1280,1280
1470584295,1280,1792
1470586624,512,1024
1470587997,1536,1792
1470589831,1024,2048
1470590773,0,1536
1470591608,2048,0
1470593415,1024,1792
1470595285,1024,1792
1470596554,1280,1280
1470598866,1024,768
1470599819,0,1536
1470600510,1280,0
1470601800,0,1792
1470602509,1024,0
1470604651,1792,2304
1470606078,1792,1792
1470607698,2048,1024
1470609870,768,768
1470610616,0,1280
1470611416,1536,0
1470613281,1280,768
1470614993,1792,1024
1470616265,1536,2816
1470619174,1792,1280
1470620318,768,2560
1470621548,0,256
1470622096,1280,1280
1470624084,1792,512
1470625859,2048,2048
1470627772,1280,768
1470628584,0,1536
1470629941,2304,0
1470631111,1536,1536
1470633092,1536,2048
1470634712,1280,1536
1470635803,0,768
1470637025,2048,0
1470638423,512,1024
1470639374,0,1024
1470640211,1280,0
1470641108,0,2560
1470641912,2048,0
1470644271,2048,768
1470645671,512,512
1470646590,0,768
1470647298,1792,0
1470649271,768,1280
1470651460,1280,1280
1470652909,1280,1280
1470653597,0,1024
1470654514,1280,0
1470656436,1024,768
1470658535,2048,1280
1470659919,1280,2304
1470660878,0,2304
1470662349,1792,0
1470662602,0,1792
1470663509,768,0
1470665305,2560,1792
1470666720,1280,1536
1470669552,2048,1792
1470670711,1536,1280
1470671599,0,1024
1470672506,1792,0
1470674305,1280,256
1470676104,1536,1280
1470677905,1024,768
1470678792,0,2048
1470680351,1792,0
1470681520,1024,1536
1470682396,0,1024
1470683301,1024,0
1470684806,768,768
1470687550,512,1280
1470688707,1280,1536
1470689622,0,1280
1470690539,1536,0
1470691463,0,2048
1470692303,1536,0
1470693220,0,1280
1470694102,1024,0
1470695905,1024,1024
1470697712,1280,768
1470698735,0,1792
1470699506,1536,0
1470700418,256,0
1470701305,1280,1280
1470702214,0,1792
1470703110,2816,0
1470703999,256,0
1470704900,1792,1792
1470706794,1792,1792
1470707610,256,0
1470708508,2048,1536
1470710315,2304,1280
1470712095,1280,1792
1470713900,1536,1792
1470716315,2048,1792
1470717507,2048,1280
1470719308,1792,768
1470721108,1792,1536
1470723446,512,1280
1470724700,512,1792
1470726553,1024,1280
1470728314,768,1280
1470730597,1792,2560
1470732023,1024,1792
1470733755,768,768
1470735508,1792,2304
1470736436,0,1024
1470737951,256,0
1470738197,0,1024
1470739212,256,0
1470740897,1024,1536
1470742738,768,1280
1470743655,0,1280
1470745030,768,0
1470746359,1792,2560
1470747198,0,1024
1470748630,768,0
1470749908,512,1792
1470751695,1280,1536
1470752635,0,2304
1470753506,1536,0
1470755812,1792,1536
1470757118,1536,1280
1470758972,1280,1280
1470760722,2560,1536
1470762498,1536,1536
1470764298,1280,1280
1470765255,0,768
1470766651,1536,0
1470767896,2560,1536
1470769700,768,1280
1470770812,0,1536
1470771502,1536,0
1470773836,1536,768
1470775100,2048,512
1470776000,256,768
1470776899,1280,0
1470778707,1024,1536
1470780500,1536,1280
1470781400,256,0
1470782302,1536,1280
1470783200,256,0
1470784101,1280,1024
1470785908,2560,1024
1470786803,0,1280
1470788400,1536,0
1470788600,0,1536
1470789497,1792,0
1470790406,0,256
1470791306,2048,2560
1470793106,1024,1280
1470793996,0,256
