DateTime,Entries,UniqueIPs
1469947109,440,113920
1469949592,445,115200
1469949806,436,112896
1469950720,443,114688
1469952497,446,115456
1469953711,435,112640
1469954300,444,114944
1469956100,441,114176
1469957896,438,113408
1469960398,437,113152
1469961493,432,111872
1469963881,431,111616
1469965101,425,110080
1469966040,420,108800
1469966908,426,110336
1469968698,419,108544
1469971059,417,108032
1469972298,412,107008
1469973192,411,106752
1469974730,414,107264
1469975028,408,105728
1469975906,417,108032
1469977696,417,108032
1469978765,410,105984
1469979506,413,106752
1469981874,412,106240
1469983126,409,105472
1469985466,413,106496
1469986695,406,104704
1469989033,414,106752
1469989396,405,104448
1469990295,411,105984
1469992096,406,104704
1469993000,401,103424
1469993897,406,104704
1469994799,404,104192
1469996275,409,105472
1469997503,405,104704
1469999992,412,106496
1470000201,404,104448
1470001103,409,105728
1470003451,408,105728
1470004697,407,105472
1470005595,401,103936
1470006507,406,105216
1470008300,408,105728
1470010120,403,104448
1470011182,396,102656
1470011906,404,104704
1470013708,404,104704
1470015507,404,104960
1470016394,402,104448
1470017851,407,105728
1470019112,408,105984
1470020896,410,106496
1470022700,408,105984
1470023604,400,103936
1470024520,408,105984
1470025398,401,104192
1470026304,404,104960
1470027197,397,103168
1470028777,404,104960
1470028999,394,102400
1470029899,398,103424
1470032238,399,103680
1470032602,392,101888
1470033504,398,103424
1470035301,400,103936
1470037100,388,100864
1470038001,383,99584
1470038904,390,101376
1470040696,386,100352
1470042503,383,99584
1470044317,379,98560
1470046617,380,98816
1470047897,384,99840
1470050384,383,99584
1470050593,375,97536
1470051598,378,98304
1470053349,376,97792
1470055119,377,98048
1470057435,376,97792
1470058705,369,96000
1470061017,375,97536
1470062295,370,96000
1470064648,370,95744
1470065899,367,94976
1470067700,367,94976
1470068611,357,92416
1470069503,361,93440
1470071896,359,92928
1470072188,349,90368
1470073109,352,91136
1470073998,350,90624
1470074905,356,92160
1470076809,347,89856
1470078503,348,90112
1470080310,344,89088
1470082682,345,89344
1470084008,342,88576
1470085744,342,88320
1470086859,334,86272
1470087495,340,87808
1470089970,340,87808
1470090203,332,85760
1470091101,337,87296
1470092921,336,87040
1470094699,332,86016
1470097051,332,86016
1470098297,329,85248
1470100100,328,84992
1470101900,326,84480
1470104305,327,84736
1470104593,320,82944
1470105496,324,83968
1470107318,320,82944
1470109098,313,81152
1470111504,312,80896
1470111795,306,79360
1470112697,311,80640
1470114519,315,81664
1470116300,312,80896
1470118686,310,80384
1470119051,303,78592
1470119901,307,79616
1470122384,305,79104
1470122596,297,76800
1470123520,299,77312
1470125294,299,77312
1470127101,302,78080
1470128904,299,77312
1470130700,299,77568
1470133183,303,78592
1470133397,296,76800
1470134329,303,78592
1470136104,304,78848
1470137966,304,78848
1470140270,311,80640
1470140595,307,79616
1470141497,315,81920
1470142395,308,80128
1470143316,314,81664
1470144429,308,80128
1470145093,313,81408
1470147464,317,82432
1470148707,317,82688
1470151027,316,82432
1470152296,313,81664
1470153193,309,80640
1470154132,315,82176
1470155921,316,82432
1470157700,319,83456
1470159521,317,82944
1470161826,321,83968
1470162192,315,82432
1470163100,320,83712
1470164908,319,83456
1470166004,314,82176
1470166712,320,83712
1470169048,323,84736
1470169392,324,84992
1470170297,323,84736
1470172099,324,84992
1470173904,322,84480
1470175740,320,83968
1470177510,313,82176
1470179336,317,83200
1470180425,310,81408
1470181108,316,82944
1470181994,317,83200
1470183583,320,83968
1470183809,315,82688
1470184717,325,85248
1470186501,328,86016
1470187393,320,83968
1470188292,329,86272
1470190719,327,85760
1470191901,329,86272
1470193697,333,87296
1470195491,332,87040
1470197365,335,87808
1470199099,336,88064
1470201555,338,88576
1470201802,333,87296
1470202705,338,88576
1470205159,338,88576
1470206313,337,88320
1470207196,338,88576
1470208101,347,90880
1470209437,347,90880
1470211699,348,91136
1470213498,350,91648
1470216000,346,90624
1470216197,340,89088
1470217101,348,91136
1470218900,347,90880
1470219866,339,88832
1470220711,345,90368
1470223113,342,89856
1470223402,335,88064
