DateTime,AddedIPs,RemovedIPs
1469781501,4096,4096
1469783305,3840,3840
1469785106,3328,3328
1469786898,3328,3328
1469788704,3840,3840
1469790503,3840,3840
1469792310,3584,3584
1469794780,3584,3584
1469795912,3840,3840
1469798356,3584,3584
1469799499,3584,3584
1469801292,3840,3840
1469803106,4096,4096
1469804898,3840,3840
1469806696,4096,4096
1469809168,4096,4096
1469810304,4096,4096
1469812753,2560,2560
1469813002,256,256
1469813931,3584,3584
1469816353,3328,3328
1469816600,256,256
1469817523,3584,3584
1469819295,3328,3328
1469820701,2816,2816
1469823514,3584,3584
1469824701,2816,2816
1469826499,3072,3072
1469828306,2816,2816
1469830782,2816,2816
1469831901,2560,2560
1469833700,3072,3072
1469835502,2816,2816
1469837304,3328,3328
1469838199,256,256
1469839102,4352,4352
1469840908,3840,3840
1469842710,2816,2816
1469845036,3584,3584
1469846303,4352,4352
1469848767,3584,3584
1469849897,2560,2560
1469852395,3072,3072
1469853503,3840,3840
1469855917,3584,3584
1469857096,3584,3584
1469858902,3072,3072
1469860703,4096,4096
1469862493,4352,4352
1469864296,3328,3328
1469866611,3328,3328
1469867900,3328,3328
1469869696,3584,3584
1469871502,3328,3328
1469873941,3840,3840
1469875103,3840,3840
1469877592,3328,3328
1469878738,3328,3328
1469880495,3328,3328
1469882307,3840,3840
1469884740,3584,3584
1469885898,3328,3328
1469886798,256,256
1469888290,3584,3584
1469889568,3328,3328
1469891884,3072,3072
1469893116,3840,3840
1469894939,3328,3328
1469896696,3328,3328
1469899070,2816,2816
1469900297,4352,4352
1469902630,4096,4096
1469903900,4864,4864
1469905691,3840,3840
1469907497,2816,2816
1469909298,3072,3072
1469911095,2560,2560
1469912897,2560,2560
1469914754,3584,3584
1469917153,3328,3328
1469918300,2560,2560
1469920146,3328,3328
1469921901,3840,3840
1469923720,4096,4096
1469925496,3328,3328
1469927943,4096,4096
1469929096,3072,3072
1469929992,512,512
1469931480,2560,2560
1469932697,3840,3840
1469934497,3840,3840
1469936293,4096,4096
1469938120,3840,3840
1469939908,3328,3328
1469941703,3840,3840
1469942593,256,256
1469943499,3840,3840
1469945829,3072,3072
1469947109,2816,2816
1469949592,3584,3584
1469950720,4352,4352
1469952497,3584,3584
1469954300,3584,3584
1469956100,3840,3840
1469957896,2816,2816
1469960398,2304,2304
1469961493,2304,2304
1469963881,2816,2816
1469965101,3072,3072
1469966908,2816,2816
1469968698,2816,2816
1469971059,3072,3072
1469972298,3072,3072
1469974730,3584,3584
1469975906,3840,3840
1469977696,3584,3584
1469979506,4096,4096
1469981874,3840,3840
1469983126,3072,3072
1469985466,3328,3328
1469986695,3328,3328
1469989033,3840,3840
1469990295,3840,3840
1469992096,2816,2816
1469993897,2816,2816
1469996275,2816,2816
1469997503,2560,2560
1469999992,3328,3328
1470001103,3328,3328
1470003451,2560,2560
1470004697,3072,3072
1470006507,2816,2816
1470008300,3072,3072
1470010120,3328,3328
1470011906,3584,3584
1470013708,3840,3840
1470015507,2816,2816
1470017851,2816,2816
1470019112,4352,4352
1470020896,4352,4352
1470022700,3584,3584
1470024520,3072,3072
1470026304,2560,2560
1470028777,3328,3328
1470029899,3328,3328
1470032238,2816,2816
1470032602,256,256
1470033504,3328,3328
1470035301,2560,2560
1470037100,3072,3072
1470038904,3072,3072
1470040696,2816,2816
1470042503,3328,3328
1470044317,2560,2560
1470046617,2304,2304
1470047897,2560,2560
1470050384,2048,2048
1470051598,2816,2816
1470053349,2816,2816
1470055119,2560,2560
1470057435,2304,2304
1470058705,2304,2304
1470061017,3072,3072
1470062295,2560,2560
1470064648,2048,2048
1470065899,2560,2560
1470067700,2816,2816
1470069503,2560,2560
1470071896,2560,2560
1470073109,3072,3072
1470074905,2816,2816
1470076809,3328,3328
1470078503,3328,3328
1470080310,2560,2560
1470082682,3072,3072
1470084008,3072,3072
1470085744,2048,2048
1470087495,2304,2304
1470089970,2304,2304
1470091101,2304,2304
1470092921,2048,2048
1470094699,2560,2560
1470097051,2816,2816
1470098297,2048,2048
1470100100,2816,2816
