DateTime,Entries,UniqueIPs
1470379321,32351,84609
1470379943,32349,84607
1470380521,32358,84616
1470381122,32357,84615
1470381722,32361,84619
1470382381,32366,84624
1470383042,32397,84650
1470383521,32393,84646
1470384008,32322,84575
1470384122,32323,84577
1470384142,32321,84575
1470384722,32318,84572
1470385322,32319,84573
1470385922,32328,84583
1470386522,32343,84600
1470386884,32394,84651
1470387122,32394,84652
1470387844,32357,84615
1470388322,32358,84616
1470388921,32365,84623
1470389522,32363,84621
1470390121,32364,84623
1470390723,32399,84658
1470391322,32407,84666
1470391401,32405,84664
1470391921,32393,84653
1470392522,32403,84664
1470393121,32403,84663
1470393181,32407,84667
1470393722,32423,84684
1470394322,32413,84674
1470394579,32426,84687
1470394922,32433,84678
1470394999,32432,84677
1470395522,32358,84603
1470396122,32352,84598
1470396721,32347,84591
1470396781,32350,84594
1470397322,32351,84595
1470398404,32408,84654
1470398598,32467,84714
1470399121,32466,84713
1470399722,32465,84712
1470400322,32501,84747
1470400922,32511,84759
1470401521,32511,84757
1470402199,32524,84764
1470403204,32457,84697
1470403321,32459,84699
1470403922,32457,84698
1470404162,32519,84760
1470404521,32521,84763
1470405122,32523,84765
1470405722,32521,84762
1470405736,32520,84761
1470406322,32529,84770
1470407043,32527,84769
1470407522,32484,84726
1470407581,32479,84721
1470408002,32419,84661
1470408121,32421,84663
1470408722,32422,84663
1470409395,32424,84664
1470409922,32434,84674
1470410521,32455,84696
1470411121,32458,84699
1470411843,32512,84753
1470412321,32511,84752
1470412921,32512,84748
1470412995,32507,84743
1470413522,32475,84709
1470414122,32482,84716
1470414723,32436,84669
1470414781,32438,84671
1470415323,32444,84677
1470415684,32506,84739
1470415921,32502,84734
1470416643,32455,84687
1470417721,32425,84660
1470418322,32425,84660
1470418381,32423,84658
1470418922,32423,84656
1470419523,32479,84712
1470420215,32485,84718
1470421321,32502,84735
1470422521,32510,84745
1470423122,32511,84746
1470423372,32542,84778
1470423858,32549,84785
1470424323,32457,84693
1470424922,32459,84695
1470425522,32460,84696
1470425581,32470,84706
1470426122,32472,84709
1470426722,32459,84694
1470427204,32504,84739
1470427322,32492,84728
1470427376,32487,84723
1470427921,32498,84735
1470428522,32499,84736
1470429121,32510,84749
1470429181,32513,84752
1470429722,32521,84762
1470430321,32528,84768
1470431044,32566,84806
1470431522,32564,84803
1470432004,32477,84715
1470432121,32489,84728
1470432963,32535,84774
1470433322,32529,84756
1470433922,32531,84758
1470434522,32534,84762
1470434618,32528,84756
1470435721,32531,84760
1470436322,32539,84768
1470436381,32543,84772
1470436802,32575,84804
1470436937,32579,84808
1470437773,32423,84652
1470438225,32425,84657
1470438722,32419,84651
1470439322,32422,84655
1470439921,32424,84658
1470439981,32423,84657
1470440642,32497,84730
1470441121,32506,84739
1470441722,32507,84740
1470441818,32507,84740
1470442321,32507,84740
1470442921,32506,84739
1470443522,32510,84744
1470443582,32531,84766
1470444122,32477,84705
1470444483,32505,84733
1470444721,32506,84735
1470445444,32399,84626
1470445923,32399,84625
1470446522,32406,84634
1470447122,32406,84634
1470447722,32409,84636
1470448322,32466,84694
1470449016,32469,84697
1470449283,32399,84627
1470449521,32399,84627
1470450122,32403,84630
1470450722,32382,84605
1470450781,32359,84582
1470451322,32360,84583
1470451922,32364,84588
1470452172,32432,84656
1470452522,32438,84662
1470452562,32437,84661
1470453137,32440,84665
1470453722,32442,84667
1470454322,32441,84666
1470454922,32440,84665
1470456004,32518,84743
1470456122,32524,84749
1470456222,32518,84743
1470456963,32374,84601
1470457322,32375,84602
1470457922,32371,84597
1470458521,32376,84605
1470459121,32394,84625
1470459843,32439,84670
1470460321,32448,84679
1470460922,32449,84680
1470461522,32454,84685
1470461764,32495,84726
1470462121,32499,84730
1470462723,32401,84633
1470463321,32407,84641
1470463354,32408,84641
1470463922,32406,84639
1470464522,32372,84606
1470465122,32378,84610
1470465602,32427,84659
1470465721,32409,84640
1470466922,32416,84647
1470467023,32414,84645
1470467521,32413,84645
1470468122,32404,84634
1470469443,32441,84671
1470469921,32438,84667
1470470406,32371,84600
1470470562,32368,84598
1470471122,32365,84594
1470471722,32367,84596
1470472322,32372,84601
1470473284,32436,84665
1470473522,32437,84669
1470474244,32383,84615
1470475322,32390,84623
1470475921,32387,84620
1470475981,32388,84621
1470476521,32385,84618
1470477123,32440,84672
1470477758,32410,84643
1470478322,32412,84645
1470478921,32417,84650
1470479522,32407,84638
1470480003,32353,84583
1470480121,32355,84585
1470480722,32354,84584
1470480971,32409,84639
1470481321,32405,84636
1470481421,32404,84635
1470481922,32401,84632
1470482521,32404,84637
1470483121,32417,84651
1470483721,32411,84645
1470484804,32452,84686
1470484921,32456,84690
1470485019,32455,84690
1470485522,32448,84684
1470485763,32381,84617
1470486121,32384,84620
1470486722,32443,84680
1470487322,32448,84685
1470487921,32441,84669
1470488521,32423,84652
1470488618,32421,84650
1470489122,32427,84657
1470489721,32431,84661
1470490322,32427,84657
1470490562,32471,84701
1470490922,32471,84701
1470492122,32470,84699
1470492156,32469,84698
1470492722,32472,84701
1470493444,32378,84605
1470494403,32420,84647
1470494521,32418,84648
1470495122,32407,84636
1470495722,32408,84637
1470495816,32407,84636
1470497050,32397,84626
1470497282,32342,84571
1470497522,32355,84587
1470498244,32398,84630
1470498722,32380,84610
1470499321,32366,84596
1470499922,32367,84597
1470500521,32371,84601
