DateTime,Entries,UniqueIPs
1469881202,16922,666350725
1469881458,16924,666350727
1469882705,16923,666350726
1469883368,16924,666350727
1469884740,16924,666350727
1469886305,16923,666350727
1469887503,16923,666350727
1469888403,16923,666350726
1469890086,16923,666350726
1469892006,16923,666350726
1469893506,16923,666350726
1469894703,16924,666416262
1469895373,16920,666416258
1469896802,16920,666416258
1469898002,16924,666397826
1469899070,16925,666397827
1469900706,16925,666397827
1469902630,16926,666397827
1469904488,16926,666397827
1469906408,16923,666397826
1469907906,16923,666397570
1469909806,16926,666397828
1469911202,16926,666397828
1469913422,16927,666397829
1469915106,16927,666397829
1469917202,16928,666397830
1469918889,16928,666397830
1469920505,16929,666397831
1469920811,16919,666397821
1469922306,16917,666397819
1469923203,16920,666397822
1469924197,16949,666397853
1469925906,16949,666397853
1469928002,16951,666397855
1469929505,16951,666397855
1469930703,16951,666397855
1469931603,16955,666397859
1469933106,16955,666397859
1469934485,16953,666397857
1469934916,16924,666397828
1469936706,16924,666397827
1469938721,16927,666397830
1469940307,16926,666397829
1469942403,16927,666397830
1469942593,16923,666397826
1469944086,16922,666397826
1469946007,16922,666397824
1469947509,16922,666397824
1469949592,16920,666397823
1469951106,16921,666397824
1469953093,16924,666397827
1469954300,16925,666397827
1469956805,16922,666397825
1469957286,16921,666397824
1469958305,16921,666397824
1469960163,16923,666397826
1469960398,16922,666397826
1469961906,16922,666397826
1469963881,16924,666397828
1469965506,16924,666397828
1469967602,16924,666397828
1469969286,16924,666397828
1469971208,16923,666397827
1469972706,16918,666397823
1469973302,16919,666397824
1469974803,16927,666397830
1469976304,16926,666397830
1469978403,16926,666397829
1469979506,16925,666397828
1469981765,16926,666398084
1469981874,16930,666398088
1469983686,16929,666398087
1469984403,16926,666393991
1469985606,16928,666393993
1469987106,16927,666393737
1469989058,16929,666393994
1469990103,16930,666393995
1469990711,16930,666393995
1469992607,16932,666393997
1469993897,16932,666393997
1469996287,16926,666393991
1469998091,16924,666393990
1470000006,16923,666393989
1470001507,16924,666393989
1470003603,16929,666393994
1470005104,16929,666393994
1470007203,16925,666393990
1470008705,16925,666393990
1470009903,16926,666393991
1470010617,16950,666394016
1470012003,16950,666394016
1470014407,16949,666394017
1470015906,16949,666394017
1470018003,16947,666394015
1470019506,16946,666394014
1470021362,16923,666393990
1470023109,16923,666393990
1470024604,16923,666393990
1470025203,16919,666393985
1470026886,16919,666393985
1470028810,16918,666393985
1470029102,16921,666393988
1470030307,16922,666393988
1470032402,16922,666393988
1470032647,16921,666393987
1470032705,16921,666393987
1470033603,16922,666393988
1470033906,16923,666393989
1470035798,16923,666393990
1470037510,16922,666393989
1470039002,16920,666393989
1470039425,16923,666393993
1470041286,16925,666393993
1470042910,16926,666393994
1470043209,16929,666393997
1470044710,16928,666393996
1470046617,16925,666393993
1470048307,16925,666393993
1470050384,16923,666393991
1470051906,16921,666393735
1470054003,16921,666393731
1470055687,16921,666393731
1470057606,16922,666393988
1470059106,16921,666393732
1470061039,16922,666393734
1470062295,16923,666393990
1470064648,16924,666393991
1470066602,16923,666393991
1470068106,16924,666393736
1470068154,16923,666393735
1470069907,16921,666393734
1470070802,16920,666385030
1470071896,16916,666384771
1470073506,16915,666385026
1470075130,16917,666385028
1470075793,16918,666385029
1470077106,16919,666385284
1470079015,16913,666385277
1470080888,16911,666385276
1470082807,16914,666385278
1470084306,16914,666385278
1470086200,16918,666385026
1470087495,16919,666385282
1470090002,16921,666385284
1470091506,16920,666385284
1470093797,16922,666385285
1470095285,16922,666385285
1470097209,16939,666385049
1470098403,16940,666385305
1470100802,16944,666385310
1470102306,16944,666385310
1470104305,16944,666385310
1470104464,16942,666385308
1470105905,16942,666385308
1470108191,16931,666385295
1470109505,16930,666385294
1470111504,16933,666385297
1470113106,16934,666385298
1470115204,16934,666385297
1470116707,16934,666385297
1470118802,16931,666385296
1470120306,16932,666385296
1470122384,16937,666385302
1470124085,16938,666385302
1470125402,16938,666385302
1470126005,16940,666385305
1470127507,16940,666385305
1470129602,16939,666385304
1470131107,16939,666385304
1470133202,16939,666385303
1470134706,16939,666385303
1470135604,16940,666386327
1470136803,16940,666386328
1470138488,16941,666386328
1470140416,16936,666386324
1470141906,16937,666386325
1470143863,16934,666386321
1470145093,16933,666386320
1470147603,16936,666386322
1470149106,16933,666386065
1470151027,16932,666386318
1470152708,16931,666386062
1470154672,16930,666386062
1470156306,16932,666386318
1470156603,16933,666386574
1470157203,16933,666362510
1470158297,16932,666362509
1470159906,16932,666362509
1470161826,16931,666362508
1470163506,16932,666362509
1470163802,16942,666362520
1470165803,16941,666362520
1470165902,16942,666362521
1470166712,16943,666362521
1470169206,16941,666362519
1470169503,16943,666362521
1470170706,16944,666362267
1470172791,16942,666362520
1470174305,16941,666362264
1470176597,16936,666362514
1470177906,16936,666362514
1470180003,16936,666362514
1470180302,16935,666362512
1470181203,16935,666362512
1470182645,16937,666362514
1470183583,16953,666362531
1470185402,16953,666362531
1470186906,16952,666362531
1470187202,16961,666362540
1470188705,16962,666362540
1470190802,16961,666362539
1470191102,16966,666362544
1470192485,16967,666362545
1470194410,16966,666362545
1470194597,16942,666362518
1470195905,16943,666362518
1470198245,16943,666362264
1470199507,16944,666362265
1470201555,16945,666362521
1470202087,16943,666362519
1470203107,16943,666362519
1470205202,16942,666362263
1470205502,16935,666362255
1470206890,16934,666362254
1470207902,16934,666362254
1470208805,16938,666362513
1470209703,16937,666362257
1470212402,16936,666362256
1470213906,16936,666362256
1470216003,16934,666362509
1470217101,16934,666362509
1470217802,16932,666362507
1470219613,16932,666362507
1470219799,16931,666362506
1470220711,16931,666362506
1470223113,16933,666362508
1470224706,16933,666362508
1470226802,16934,666362509
1470227008,16934,666362509
1470228306,16934,666362509
1470230237,16935,666362511
1470232087,16934,666362255
1470234020,16937,666362513
1470235506,16936,666362512
