DateTime,Entries,UniqueIPs
1468830951,1766,1766
1468834550,1874,1874
1468838151,2060,2060
1468841751,2253,2253
1468845351,2469,2469
1468848951,2624,2624
1468852551,2843,2843
1468856151,3065,3065
1468859751,3242,3242
1468863351,3347,3347
1468866951,3436,3436
1468870551,3500,3500
1468874151,3555,3555
1468877751,3617,3617
1468881353,3688,3688
1468884952,3772,3772
1468888552,3836,3836
1468892152,3911,3911
1468895752,3970,3970
1468899352,3999,3999
1468902951,4040,4040
1468906551,4093,4093
1468910152,4163,4163
1468913752,4230,4230
1468917352,4317,4317
1468920952,4476,4476
1468924551,4567,4567
1468928152,4669,4669
1468931752,4801,4801
1468935352,4955,4955
1468938952,5134,5134
1468942552,5383,5383
1468946152,5626,5626
1468949752,5787,5787
1468953352,5958,5958
1468956953,6156,6156
1468960553,6348,6348
1468964153,6471,6471
1468967753,6552,6552
1468971353,6552,6552
1468974953,6587,6587
1468978553,6597,6597
1468982153,6600,6600
1468985754,6645,6645
1468989354,6665,6665
1468992954,6681,6681
1468996555,6708,6708
1469000155,6746,6746
1469003755,6742,6742
1469007356,6677,6677
1469010957,6579,6579
1469014556,6443,6443
1469018156,6306,6306
1469021756,6237,6237
1469025358,6092,6092
1469028957,5972,5972
1469032557,5919,5919
1469036158,5890,5890
1469039758,5930,5930
1469043357,5960,5960
1469046958,5992,5992
1469050559,6001,6001
1469054157,6007,6007
1469057758,5982,5982
1469061359,5966,5966
1469064959,5940,5940
1469068560,5943,5943
1469072160,5973,5973
1469075760,5989,5989
1469079360,5982,5982
1469082960,5984,5984
1469086560,5992,5992
1469090160,6042,6042
1469093760,6005,6005
1469097359,6027,6027
1469100959,6110,6110
1469104559,6154,6154
1469108159,6228,6228
1469111759,6307,6307
1469115359,6286,6286
1469118959,6194,6194
1469122559,6157,6157
1469126158,6051,6051
1469129759,5898,5898
1469133359,5724,5724
1469136959,5607,5607
1469140559,5545,5545
1469144159,5541,5541
1469147759,5525,5525
1469151359,5526,5526
1469154959,5522,5522
1469158559,5505,5505
1469162159,5512,5512
1469165760,5482,5482
1469169359,5448,5448
1469172959,5434,5434
1469176559,5401,5401
1469180159,5397,5397
1469183760,5456,5456
1469187359,5533,5533
1469190960,5539,5539
1469194561,5491,5491
1469198160,5456,5456
1469201761,5378,5378
1469205361,5300,5300
1469208961,5280,5280
1469212561,5277,5277
1469216161,5219,5219
1469219761,5185,5185
1469223361,5160,5160
1469226961,5129,5129
1469230561,5091,5091
1469234162,5078,5078
1469237762,5074,5074
1469241362,5066,5066
1469244962,5014,5014
1469248562,4995,4995
1469252162,4968,4968
1469255762,4928,4928
1469259362,4876,4876
1469262962,4814,4814
1469266562,4710,4710
1469270162,4595,4595
1469273762,4416,4416
1469277362,4231,4231
1469280962,4018,4018
1469284562,3809,3809
1469288162,3625,3625
1469291762,3505,3505
1469295362,3383,3383
1469298962,3324,3324
1469302562,3302,3302
1469306161,3287,3287
1469309761,3250,3250
1469313362,3210,3210
1469316961,3187,3187
1469320561,3165,3165
1469324161,3151,3151
1469327761,3124,3124
1469331360,3099,3099
1469334961,3053,3053
1469338560,3043,3043
1469342160,3032,3032
1469345760,2996,2996
1469349360,2966,2966
1469352960,2932,2932
1469356560,2832,2832
1469360160,2669,2669
1469363760,2551,2551
1469367359,2521,2521
1469370959,2501,2501
1469374559,2496,2496
1469378159,2462,2462
1469381759,2434,2434
1469385359,2357,2357
1469388959,2334,2334
1469392559,2314,2314
1469396158,2281,2281
1469399758,2250,2250
1469403358,2268,2268
1469406959,2261,2261
1469410559,2234,2234
1469414159,2215,2215
1469417759,2230,2230
1469421359,2184,2184
1469424959,2154,2154
1469428560,2133,2133
1469432160,2140,2140
1469435760,2147,2147
1469439360,2152,2152
1469442960,2162,2162
1469446560,2169,2169
1469450160,2193,2193
1469453761,2220,2220
1469457361,2252,2252
1469460961,2282,2282
