DateTime,Entries,UniqueIPs
1470153609,39126,39126
1470154509,39098,39098
1470155409,39063,39063
1470156309,39013,39013
1470157204,38916,38916
1470158109,38775,38775
1470159008,38708,38708
1470159907,38648,38648
1470160808,38590,38590
1470161709,38532,38532
1470162608,38477,38477
1470163509,38406,38406
1470164409,38338,38338
1470165308,38273,38273
1470166210,38217,38217
1470167108,38135,38135
1470168008,38110,38110
1470168909,38122,38122
1470169808,38079,38079
1470170708,38004,38004
1470171608,37920,37920
1470172508,37842,37842
1470173405,37827,37827
1470174309,37911,37911
1470175209,38008,38008
1470176104,37938,37938
1470177009,37955,37955
1470177909,37885,37885
1470178807,37943,37943
1470179708,37963,37963
1470180609,37971,37971
1470181506,38023,38023
1470182408,37974,37974
1470183308,37993,37993
1470184209,38016,38016
1470185104,38016,38016
1470186008,38166,38166
1470186906,38281,38281
1470187807,38315,38315
1470188704,38489,38489
1470189608,38620,38620
1470190504,38787,38787
1470191407,38816,38816
1470192307,38889,38889
1470193206,38881,38881
1470194107,38844,38844
1470195004,38940,38940
1470195904,38946,38946
1470196804,39005,39005
1470197708,39067,39067
1470198608,38246,38246
1470199508,37218,37218
1470200408,36402,36402
1470201308,35826,35826
1470202208,35527,35527
1470203109,35197,35197
1470204008,34761,34761
1470204908,34131,34131
1470205807,33022,33022
1470206709,32013,32013
1470207607,31349,31349
1470208509,29031,29031
1470209409,27639,27639
1470210309,25408,25408
1470211208,23632,23632
1470212109,21697,21697
1470213008,20015,20015
1470213909,19185,19185
1470214809,19146,19146
1470215709,19506,19506
1470216609,19694,19694
1470217508,20540,20540
1470218405,21789,21789
1470219309,22311,22311
1470220210,27369,27369
1470221109,30571,30571
1470222008,31261,31261
1470222905,31379,31379
1470223808,32356,32356
1470224709,38871,38871
1470225610,39137,39137
1470226510,39209,39209
1470227410,39169,39169
1470228306,39149,39149
1470229210,39504,39504
1470230109,39483,39483
1470231012,39467,39467
1470231911,39390,39390
1470232809,39043,39043
1470233710,39031,39031
1470234613,39099,39099
1470235512,39375,39375
1470236413,39652,39652
1470237307,39705,39705
1470238211,39654,39654
1470239112,39620,39620
1470240012,39574,39574
1470240912,39553,39553
1470241811,39500,39500
1470242713,39446,39446
1470243612,39436,39436
1470244512,39385,39385
1470245411,39326,39326
1470246311,39253,39253
1470247212,39170,39170
1470248110,39096,39096
1470249011,39044,39044
1470249911,38972,38972
1470250809,38932,38932
1470251710,38885,38885
1470252608,38820,38820
1470253510,38780,38780
1470254410,38752,38752
1470255311,38727,38727
1470256208,38641,38641
1470257109,38583,38583
1470258010,38502,38502
1470258910,38338,38338
1470259809,38261,38261
1470260709,38175,38175
1470261609,38075,38075
1470262510,37929,37929
1470263409,37813,37813
1470264309,37749,37749
1470265209,37674,37674
1470266108,37616,37616
1470267009,37559,37559
1470267904,37495,37495
1470268808,37435,37435
1470269704,37317,37317
1470270607,37255,37255
1470271509,37231,37231
1470272404,37176,37176
1470273308,37094,37094
1470274209,37144,37144
1470275104,37153,37153
1470276005,37155,37155
1470276906,37141,37141
1470277805,37138,37138
1470278706,37126,37126
1470279606,37117,37117
1470280505,37117,37117
1470281403,37161,37161
1470282306,37148,37148
1470283204,37146,37146
1470284103,37149,37149
1470285003,37197,37197
1470285906,37453,37453
1470286803,37559,37559
1470287703,37804,37804
1470288603,37998,37998
1470289504,38179,38179
1470290403,38199,38199
1470291303,38316,38316
1470292203,38338,38338
1470293102,38377,38377
1470294003,38440,38440
1470294903,38459,38459
1470295803,38484,38484
1470296703,38508,38508
1470297603,38479,38479
1470298503,38459,38459
1470299402,38463,38463
1470300304,38439,38439
1470301205,38823,38823
1470302107,39355,39355
1470303006,39728,39728
1470303904,39666,39666
1470304806,39600,39600
1470305706,39574,39574
1470306606,39536,39536
1470307509,39529,39529
1470308406,39540,39540
1470309308,39574,39574
1470310208,39589,39589
1470311107,39584,39584
1470312010,39561,39561
1470312907,39602,39602
1470313809,39579,39579
1470314709,39585,39585
1470315609,39555,39555
1470316509,39492,39492
1470317411,39418,39418
1470318309,39383,39383
1470319206,39202,39202
1470320110,39136,39136
1470321010,39128,39128
