DateTime,Entries,UniqueIPs
1467129677,9279,9605
1467136284,9310,9635
1467142875,9319,9644
1467150079,9315,9639
1467157872,9398,9721
1467164475,9414,9737
1467172278,9378,9704
1467179474,9381,9707
1467186674,9386,9711
1467193283,9382,9705
1467199279,9361,9684
1467206484,9369,9692
1467213681,9365,9686
1467220878,9352,9672
1467227478,9362,9681
1467234086,9362,9680
1467239479,9393,9715
1467245482,9396,9718
1467250877,9383,9704
1467256878,9380,9700
1467263478,9367,9686
1467271283,9349,9668
1467277882,9346,9665
1467285679,9349,9668
1467291679,9344,9663
1467297677,9329,9648
1467303084,9340,9659
1467311484,9307,9625
1467318078,9300,9618
1467324676,9298,9616
1467331882,9326,9644
1467337281,9313,9631
1467345085,9307,9625
1467351684,9306,9624
1467359483,9275,9592
1467366191,9277,9594
1467381080,9272,9590
1467387709,9268,9586
1467396110,9287,9606
1467402722,9296,9615
1467409337,9284,9604
1467414698,9275,9594
1467422548,9397,9720
1467430961,9401,9725
1467442297,9384,9708
1467450731,9393,9718
1467458529,9385,9709
1467465722,9365,9688
1467472902,9380,9704
1467480730,9373,9697
1467486704,9375,9699
1467494526,9370,9694
1467501736,9367,9692
1467511320,9375,9699
1467517934,9368,9688
1467524531,9341,9661
1467532910,9345,9665
1467539538,9351,9671
1467546708,9331,9644
1467553939,9322,9637
1467561092,9303,9616
1467568920,9378,9692
1467576117,9393,9710
1467585747,9520,9844
1467594113,9522,9847
1467601909,9505,9830
1467609101,9506,9831
1467615708,9508,9834
1467622933,9490,9816
1467630106,9498,9824
1467637312,9489,9816
1467645113,9490,9820
1467653519,9481,9811
1467661315,9486,9818
1467668527,9489,9822
1467675733,9436,9770
1467685977,9442,9776
1467693117,9436,9766
1467702127,9392,9719
1467715340,9416,9743
1467723707,9466,9793
1467731539,9438,9765
1467738696,9475,9802
1467750114,9458,9785
1467757930,9435,9761
1467763943,9444,9770
1467772315,9438,9767
1467778339,9439,9768
1467785544,9423,9752
1467793340,9388,9711
1467800541,9391,9715
1467808348,9482,9798
1467816137,9466,9779
1467823373,9470,9783
1467832308,9503,9816
1467838923,9507,9820
1467845555,9488,9804
1467853315,9484,9799
1467862340,9480,9795
1467868947,9484,9799
1467876118,9474,9790
1467883944,9454,9768
1467892928,9450,9764
1467900127,9487,9803
1467908543,9494,9807
1467917570,9532,9845
1467925932,9531,9844
1467934300,9524,9839
1467940932,9538,9853
1467948101,9530,9846
1467955319,9540,9856
1467962521,9557,9873
1467969713,9540,9856
1467977507,9552,9867
1467989525,9576,9893
1467998514,9602,9920
1468006951,9592,9910
1468014733,9605,9923
1468021922,9606,9924
1468031539,9599,9917
1468039301,9590,9909
1468045932,9591,9910
1468054908,9587,9906
1468062690,9586,9905
1468074721,9578,9897
1468082540,9587,9906
1468092720,9654,9972
1468099885,9652,9971
1468105928,9651,9970
1468114302,9648,9967
1468122116,9656,9977
1468131120,9649,9969
1468139513,9643,9963
1468147309,9641,9962
1468153899,9770,10093
1468161723,9754,10077
1468170728,9747,10070
1468179767,9744,10067
1468189300,9753,10079
1468196511,9761,10087
1468204334,9751,10075
1468211550,9760,10085
1468218107,9742,10065
1468226559,9753,10076
1468236724,9750,10073
1468246944,9738,10059
1468255959,9816,10137
1468263135,9816,10136
1468272144,9814,10134
1468281730,9812,10132
1468290146,9821,10141
1468299736,9809,10129
1468308709,9814,10134
1468317515,9815,10137
1468325900,9807,10129
1468335725,9807,10129
1468345935,9871,10193
1468358540,9862,10184
1468367551,9860,10182
1468378330,9861,10183
1468387349,9863,10185
1468396941,9857,10179
1468407728,9824,10146
1468416145,9828,10150
1468426370,9871,10194
1468433533,9949,10273
1468442528,9943,10267
1468452129,9935,10258
1468460533,9923,10245
1468469537,9922,10244
1468479734,9946,10268
1468490520,9909,10230
1468497716,9913,10234
1468505546,9896,10217
1468512747,9884,10204
1468522920,9953,10274
1468531333,9946,10266
1468539724,9952,10272
1468546951,9953,10273
1468556536,9955,10275
1468566708,9943,10263
1468575738,9953,10273
1468582948,9955,10276
1468591322,9948,10269
1468599124,9917,10238
1468606314,10026,10349
1468614760,10022,10345
1468623721,10018,10341
1468636374,10011,10334
1468645951,9995,10318
1468656712,9979,10301
1468665751,9990,10311
1468679503,9982,10302
1468688515,10037,10358
1468695717,10038,10359
1468704124,10040,10361
1468711320,10046,10367
1468718533,10043,10362
1468725742,10033,10352
1468733512,10000,10318
1468740132,10001,10321
1468747314,9987,10307
1468755725,9978,10298
1468764732,9988,10308
1468771913,9985,10306
1468780901,10031,10353
1468788109,10039,10362
1468794736,10032,10355
1468800705,10026,10349
1468807934,10042,10367
1468815133,10044,10372
1468820522,10034,10362
1468828335,10025,10353
1468836120,10016,10346
1468843321,10024,10354
1468850504,10018,10347
1468857721,10014,10343
1468864936,10051,10382
1468872109,10065,10397
1468878130,10054,10387
1468885315,10052,10385
1468891940,10052,10383
1468897927,10065,10396
1468903351,10061,10392
1468910498,10054,10385
1468918905,10028,10366
1468924297,10036,10374
1468930299,10035,10372
1468939937,10035,10372
1468947111,10031,10368
1468954325,10069,10408
1468960911,10086,10424
1468968106,10083,10421
1468975916,10079,10415
1468984338,10079,10415
1468990305,10086,10422
1468997539,10062,10398
1469004700,10066,10403
1469012507,10025,10362
1469019116,10031,10368
1469026902,10017,10354
1469034115,10011,10348
1469040720,10056,10393
1469047906,10062,10399
1469054504,10051,10387
1469062919,10042,10377
1469069533,10031,10365
1469076725,10072,10406
1469083927,10085,10418
1469091136,10048,10362
1469097709,10037,10349
1469106739,10026,10338
1469114516,10004,10312
1469121707,10017,10326
1469128938,10001,10309
1469136488,9980,10287
1469143078,9984,10291
1469149901,9970,10277
1469157123,9981,10287
1469164313,10005,10319
1469172120,10014,10328
1469178697,10000,10318
1469185925,9995,10313
1469193701,10039,10359
1469200925,10045,10366
1469208124,10031,10353
1469214704,10002,10322
1469221932,10024,10348
1469229117,10008,10334
1469235715,9996,10323
1469241702,9997,10324
1469246506,9995,10326
1469252526,9998,10329
