DateTime,Entries,UniqueIPs
1470276251,1383,1383
1470276725,1383,1383
1470277214,1383,1383
1470277694,1384,1384
1470278166,1383,1383
1470278648,1384,1384
1470279847,1383,1383
1470280331,1384,1384
1470281296,1383,1383
1470281767,1384,1384
1470282246,1383,1383
1470282729,1384,1384
1470283262,1383,1383
1470283687,1383,1383
1470284184,1383,1383
1470284648,1384,1384
1470285134,1382,1382
1470285622,1383,1383
1470286098,1383,1383
1470286565,1383,1383
1470287059,1384,1384
1470288021,1383,1383
1470288487,1383,1383
1470289213,1384,1384
1470289689,1383,1383
1470290173,1382,1382
1470290648,1383,1383
1470292808,1382,1382
1470293293,1381,1381
1470293783,1383,1383
1470294725,1384,1384
1470295214,1383,1383
1470295688,1384,1384
1470296166,1384,1384
1470296652,1384,1384
1470297138,1385,1385
1470298092,1384,1384
1470298566,1385,1385
1470299055,1384,1384
1470301458,1383,1383
1470302178,1384,1384
1470302646,1383,1383
1470303138,1383,1383
1470303606,1383,1383
1470304096,1383,1383
1470304567,1384,1384
1470305052,1384,1384
1470307455,1383,1383
1470307926,1384,1384
1470308654,1383,1383
1470309369,1382,1382
1470309852,1383,1383
1470310334,1383,1383
1470310821,1384,1384
1470311297,1383,1383
1470311774,1389,1389
1470314169,1388,1388
1470314646,1387,1387
1470315132,1387,1387
1470315618,1388,1388
1470316095,1388,1388
1470316577,1388,1388
1470317049,1389,1389
1470317538,1389,1389
1470318023,1393,1393
1470318491,1392,1392
1470319457,1393,1393
1470321373,1392,1392
1470321848,1393,1393
1470322326,1392,1392
1470323057,1392,1392
1470323772,1392,1392
1470324255,1392,1392
1470324734,1394,1394
1470327873,1393,1393
1470328327,1393,1393
1470329296,1394,1394
1470329771,1393,1393
1470330251,1393,1393
1470330971,1393,1393
1470331455,1394,1394
1470331931,1393,1393
1470332897,1392,1392
1470333378,1393,1393
1470335539,1392,1392
1470336007,1391,1391
1470336487,1391,1391
1470336982,1392,1392
1470338433,1392,1392
1470338949,1391,1391
1470339380,1393,1393
1470342246,1393,1393
1470342973,1392,1392
1470343446,1393,1393
1470343935,1392,1392
1470344419,1392,1392
1470344887,1393,1393
1470345377,1392,1392
1470347288,1391,1391
1470347767,1392,1392
1470348730,1392,1392
1470351127,1392,1392
1470351848,1391,1391
1470352332,1392,1392
1470355214,1392,1392
1470355694,1392,1392
1470356169,1392,1392
1470356652,1392,1392
1470357144,1392,1392
1470357625,1393,1393
1470358569,1392,1392
1470359057,1393,1393
1470361692,1393,1393
1470362176,1392,1392
1470362658,1393,1393
1470363126,1392,1392
1470363627,1392,1392
1470364094,1393,1393
1470364566,1392,1392
1470365050,1392,1392
1470365533,1393,1393
1470368179,1392,1392
1470368646,1393,1393
1470369137,1392,1392
1470369847,1393,1393
1470370579,1392,1392
1470371047,1393,1393
1470371545,1392,1392
1470372010,1393,1393
1470374418,1393,1393
1470374894,1392,1392
1470375369,1392,1392
1470375860,1393,1393
1470376326,1393,1393
1470376823,1392,1392
1470377297,1392,1392
1470377779,1393,1393
1470380649,1391,1391
1470381136,1392,1392
1470381609,1391,1391
1470382095,1393,1393
1470382574,1393,1393
1470383046,1392,1392
1470383529,1393,1393
1470384023,1396,1396
1470386408,1395,1395
1470386893,1396,1396
1470387371,1395,1395
1470387851,1395,1395
1470388335,1395,1395
1470388824,1395,1395
1470389299,1396,1396
1470389769,1395,1395
1470390255,1395,1395
1470390730,1396,1396
1470391936,1395,1395
1470392431,1396,1396
1470393366,1395,1395
1470393846,1393,1393
1470394336,1393,1393
1470394820,1395,1395
1470395288,1394,1394
1470395768,1395,1395
1470396256,1395,1395
1470397207,1394,1394
1470397697,1395,1395
1470400331,1396,1396
1470400821,1395,1395
1470401301,1395,1395
1470401768,1395,1395
1470402251,1395,1395
1470402729,1395,1395
1470403224,1396,1396
1470403688,1407,1407
1470404651,1406,1406
1470405136,1407,1407
1470406089,1406,1406
1470406579,1405,1405
1470407047,1404,1404
1470407528,1404,1404
1470408028,1404,1404
1470408492,1403,1403
1470408987,1405,1405
1470409464,1406,1406
1470409927,1405,1405
1470410426,1406,1406
1470410895,1405,1405
1470411368,1405,1405
1470411851,1405,1405
1470412327,1406,1406
1470413057,1405,1405
1470413532,1406,1406
1470414023,1404,1404
1470414495,1405,1405
1470415453,1404,1404
1470415937,1404,1404
1470416421,1405,1405
1470416891,1404,1404
1470417366,1404,1404
1470417848,1405,1405
1470418334,1404,1404
1470418826,1405,1405
1470420249,1404,1404
1470420727,1406,1406
1470421218,1405,1405
1470421688,1405,1405
1470422175,1405,1405
1470422657,1405,1405
1470423134,1405,1405
1470423621,1406,1406
1470425055,1405,1405
1470425531,1404,1404
1470426006,1405,1405
1470427451,1404,1404
1470427926,1404,1404
1470428419,1404,1404
1470428898,1404,1404
1470429617,1405,1405
1470430096,1405,1405
1470430567,1404,1404
1470431049,1405,1405
1470432008,1404,1404
1470432495,1405,1405
1470433455,1404,1404
1470433934,1404,1404
1470434431,1405,1405
1470436339,1404,1404
1470436807,1405,1405
1470439687,1404,1404
1470440170,1404,1404
1470440655,1405,1405
1470441131,1404,1404
1470441848,1405,1405
1470442826,1404,1404
1470443295,1405,1405
1470443767,1404,1404
1470444255,1405,1405
1470444726,1404,1404
1470445461,1405,1405
1470445931,1404,1404
1470446408,1405,1405
1470446894,1404,1404
1470447366,1403,1403
1470447858,1404,1404
1470448327,1404,1404
1470449049,1404,1404
1470449527,1404,1404
1470450018,1405,1405
1470450486,1404,1404
1470450986,1404,1404
1470451447,1405,1405
1470453368,1404,1404
1470453846,1404,1404
1470454326,1405,1405
1470454807,1405,1405
1470455287,1406,1406
1470455766,1405,1405
1470456261,1406,1406
1470458907,1405,1405
1470459371,1406,1406
1470460812,1405,1405
1470461290,1406,1406
1470461771,1405,1405
1470462246,1405,1405
1470462737,1406,1406
1470463448,1405,1405
1470463926,1406,1406
1470464415,1405,1405
1470464895,1405,1405
1470465385,1406,1406
1470466335,1405,1405
1470466819,1406,1406
1470467287,1405,1405
1470467771,1406,1406
1470469207,1405,1405
1470469697,1406,1406
1470472093,1405,1405
1470472566,1406,1406
1470473779,1406,1406
1470474252,1406,1406
1470474727,1406,1406
1470475212,1406,1406
1470475693,1407,1407
1470476177,1406,1406
1470476647,1407,1407
1470477620,1406,1406
1470478087,1407,1407
1470479541,1406,1406
1470480009,1407,1407
1470480493,1406,1406
1470480984,1406,1406
1470481454,1406,1406
1470481927,1406,1406
1470482415,1407,1407
1470482888,1407,1407
1470483858,1407,1407
1470484334,1408,1408
1470485288,1407,1407
1470485785,1408,1408
1470486727,1407,1407
1470487209,1406,1406
1470487689,1407,1407
1470488178,1406,1406
1470488650,1407,1407
1470489377,1406,1406
1470490338,1405,1405
1470492247,1404,1404
1470492728,1404,1404
1470493229,1405,1405
1470493686,1404,1404
1470494166,1405,1405
1470494646,1404,1404
1470495136,1405,1405
1470495616,1404,1404
1470496095,1405,1405
1470496578,1406,1406
1470499457,1405,1405
1470499928,1406,1406
1470500407,1405,1405
1470500895,1405,1405
1470501366,1405,1405
1470501858,1406,1406
1470502327,1405,1405
1470502813,1405,1405
1470503287,1406,1406
1470503766,1405,1405
1470504255,1405,1405
1470504734,1406,1406
1470506166,1405,1405
1470506651,1406,1406
1470507129,1404,1404
1470507614,1405,1405
1470510020,1405,1405
1470513366,1404,1404
1470513848,1404,1404
1470514336,1406,1406
1470514809,1405,1405
1470515287,1405,1405
1470515766,1405,1405
1470516248,1406,1406
1470517213,1405,1405
1470517687,1406,1406
1470519127,1405,1405
1470519607,1406,1406
1470521047,1406,1406
1470521526,1405,1405
1470522028,1406,1406
1470522495,1405,1405
1470522974,1406,1406
1470523448,1406,1406
1470523928,1405,1405
1470524653,1406,1406
1470527528,1406,1406
1470528491,1405,1405
1470528980,1405,1405
1470529450,1405,1405
1470529929,1405,1405
1470530410,1406,1406
1470531847,1405,1405
1470532332,1406,1406
1470534030,1405,1405
1470534488,1406,1406
1470534976,1405,1405
1470535449,1405,1405
1470535931,1406,1406
1470536430,1406,1406
1470537860,1405,1405
1470538327,1405,1405
1470539049,1406,1406
1470539526,1405,1405
1470540029,1406,1406
1470540487,1405,1405
1470540970,1403,1403
1470541448,1405,1405
1470542648,1404,1404
1470543125,1404,1404
1470543607,1405,1405
1470545291,1404,1404
1470545784,1405,1405
1470546262,1404,1404
1470546736,1405,1405
1470547223,1404,1404
1470547702,1404,1404
1470548167,1404,1404
1470548651,1405,1405
1470549128,1404,1404
1470549848,1405,1405
1470550329,1405,1405
1470552736,1404,1404
1470553458,1405,1405
1470553933,1406,1406
1470554886,1405,1405
1470555370,1406,1406
1470555854,1404,1404
1470556340,1405,1405
1470556826,1404,1404
1470557290,1406,1406
1470557767,1405,1405
1470558252,1405,1405
1470558727,1404,1404
1470559210,1405,1405
1470560649,1404,1404
1470561128,1405,1405
1470562569,1404,1404
1470563057,1405,1405
1470564018,1404,1404
1470564487,1405,1405
1470564983,1405,1405
1470565448,1404,1404
1470565939,1405,1405
1470566429,1406,1406
1470568827,1405,1405
1470569770,1407,1407
1470570253,1406,1406
1470570744,1406,1406
1470571447,1406,1406
1470571926,1405,1405
1470572416,1406,1406
1470572886,1407,1407
1470573366,1406,1406
1470573854,1407,1407
1470574326,1406,1406
1470576257,1405,1405
1470576726,1406,1406
1470577223,1407,1407
1470578177,1406,1406
1470578649,1406,1406
1470579137,1407,1407
1470579614,1406,1406
1470580086,1407,1407
1470580566,1406,1406
1470581055,1406,1406
1470581526,1407,1407
1470582497,1406,1406
1470582982,1407,1407
1470584888,1405,1405
1470585366,1405,1405
1470585850,1406,1406
1470586335,1405,1405
1470586811,1406,1406
1470587287,1405,1405
1470587778,1404,1404
1470588246,1405,1405
1470588738,1404,1404
1470589450,1405,1405
1470589943,1405,1405
1470590422,1405,1405
1470594486,1403,1403
1470594966,1404,1404
1470595446,1404,1404
1470596422,1404,1404
1470596887,1404,1404
1470597381,1404,1404
1470598826,1405,1405
1470603138,1406,1406
1470604097,1405,1405
1470604569,1405,1405
1470605057,1405,1405
1470605529,1406,1406
1470606025,1407,1407
1470606500,1406,1406
1470606967,1407,1407
1470607448,1406,1406
1470607933,1407,1407
1470608421,1406,1406
1470608896,1408,1408
1470609369,1407,1407
1470609855,1408,1408
1470610328,1407,1407
1470610817,1405,1405
1470611288,1406,1406
1470611767,1404,1404
1470612252,1404,1404
1470612726,1405,1405
1470613226,1405,1405
1470613692,1405,1405
1470614657,1404,1404
1470615133,1403,1403
1470615609,1402,1402
1470616090,1402,1402
1470616568,1402,1402
1470617048,1402,1402
1470617527,1402,1402
1470618265,1403,1403
1470618734,1405,1405
1470619208,1405,1405
1470619689,1405,1405
1470620166,1405,1405
1470620655,1406,1406
1470621129,1405,1405
1470621850,1405,1405
1470624245,1404,1404
1470624729,1405,1405
1470625702,1404,1404
1470626168,1404,1404
1470626648,1405,1405
1470627127,1404,1404
1470627609,1405,1405
1470628096,1404,1404
1470628568,1405,1405
