DateTime,Entries,UniqueIPs
1470290522,4315,4474
1470291121,4310,4469
1470291722,4311,4470
1470292322,4319,4479
1470292922,4322,4482
1470293521,4329,4491
1470294126,4336,4499
1470294721,4348,4511
1470295322,4349,4512
1470295922,4350,4515
1470296521,4357,4523
1470297122,4356,4523
1470297721,4361,4528
1470298322,4367,4535
1470298921,4355,4521
1470299522,4361,4527
1470300122,4361,4527
1470301322,4362,4529
1470301936,4368,4536
1470302522,4370,4541
1470303722,4376,4547
1470304322,4379,4549
1470304921,4385,4556
1470306122,4378,4549
1470307322,4381,4552
1470307921,4411,4582
1470308521,4418,4589
1470309121,4431,4602
1470309722,4444,4616
1470310321,4447,4619
1470310921,4453,4626
1470312121,4457,4631
1470312722,4466,4642
1470313322,4472,4648
1470313922,4475,4653
1470314521,4477,4654
1470315722,4483,4660
1470316322,4487,4664
1470316922,4497,4676
1470317526,4497,4676
1470318122,4502,4681
1470319321,4508,4687
1470320521,4512,4691
1470321722,4518,4697
1470322321,4515,4695
1470322922,4522,4702
1470323521,4523,4703
1470324122,4531,4714
1470325922,4510,4691
1470326521,4512,4693
1470327121,4516,4698
1470327721,4527,4709
1470328322,4531,4713
1470328921,4533,4715
1470330122,4515,4694
1470330721,4517,4696
1470331321,4531,4711
1470331921,4548,4731
1470332522,4556,4740
1470333721,4562,4746
1470334321,4564,4748
1470334922,4573,4761
1470335521,4581,4768
1470336121,4611,4800
1470336722,4613,4803
1470337321,4611,4800
1470338522,4607,4796
1470339122,4629,4819
1470339721,4632,4823
1470340322,4620,4813
1470340921,4622,4816
1470341522,4626,4821
1470342122,4629,4824
1470342721,4633,4828
1470343321,4634,4829
1470343922,4639,4835
1470344522,4642,4839
1470345722,4641,4839
1470346322,4644,4842
1470346922,4648,4846
1470347521,4652,4850
1470348121,4651,4849
1470349321,4655,4853
1470350522,4661,4859
1470351122,4662,4861
1470351722,4665,4865
1470352322,4662,4862
1470352922,4668,4868
1470353522,4668,4870
1470354122,4668,4872
1470354721,4664,4868
1470355322,4671,4876
1470355922,4680,4886
1470356522,4670,4874
1470357123,4673,4876
1470357722,4676,4880
1470358921,4665,4866
1470359522,4662,4864
1470360123,4663,4865
1470360722,4669,4873
1470361321,4677,4881
1470361921,4680,4884
1470362521,4673,4875
1470363722,4675,4877
1470364922,4664,4866
1470366121,4673,4876
1470366722,4681,4885
