DateTime,AddedIPs,RemovedIPs
1470506522,80,80
1470507121,80,80
1470507722,80,80
1470508921,80,80
1470510145,80,80
1470510725,80,80
1470511340,80,80
1470511921,80,80
1470512535,80,80
1470513126,80,80
1470513731,79,79
1470514921,80,80
1470515521,77,77
1470516121,77,77
1470516722,80,80
1470517322,80,80
1470517922,79,79
1470518521,46,46
1470519121,80,80
1470519722,80,80
1470520322,80,80
1470520921,80,80
1470521522,80,80
1470522121,80,80
1470523322,71,71
1470523922,78,78
1470524521,80,80
1470525122,74,74
1470525721,76,76
1470526322,80,80
1470526922,80,80
1470528122,80,80
1470528721,80,80
1470529321,79,79
1470529922,80,80
1470530523,80,80
1470531121,80,80
1470531721,80,80
1470532322,80,80
1470532922,80,80
1470533522,79,79
1470534122,79,79
1470534721,12,12
1470535322,80,80
1470535921,77,77
1470536521,80,80
1470537121,80,80
1470537722,80,80
1470538922,66,66
1470539521,79,79
1470540121,80,80
1470540721,75,75
1470541322,76,76
1470541921,79,79
1470542521,80,80
1470543721,76,76
1470544323,80,80
1470544922,80,80
1470545521,80,80
1470546121,80,80
1470546722,63,63
1470547321,77,77
1470548521,80,80
1470549721,74,74
1470550322,80,80
1470550922,38,38
1470551522,80,80
1470552122,80,80
1470552722,80,80
1470553321,80,80
1470553921,80,80
1470554521,80,80
1470555121,79,79
1470555721,80,80
1470556321,78,78
1470556921,80,80
1470558122,80,80
1470558722,80,80
1470559322,80,80
1470559921,79,79
1470560522,65,65
1470561122,80,80
1470561722,62,62
1470562922,80,80
1470563522,79,79
1470564121,78,78
1470564721,76,76
1470565322,80,80
1470565922,80,80
1470566522,80,80
1470567121,80,80
1470567722,78,78
1470568922,80,80
1470569522,80,80
1470570121,80,80
1470570721,68,68
1470571321,74,74
1470571922,78,78
1470572522,80,80
1470573122,80,80
1470573722,80,80
1470574322,80,80
1470574921,80,80
1470575522,80,80
1470576121,50,50
1470576722,80,80
1470577322,80,80
1470577921,77,77
1470578522,75,75
1470579121,80,80
1470579721,79,79
1470580322,80,80
1470580921,80,80
1470581522,80,80
1470582122,80,80
1470583322,80,80
1470583922,73,73
1470584521,80,80
1470585122,78,78
1470585721,80,80
1470586322,79,79
1470586922,80,80
1470587521,80,80
1470588123,80,80
1470588721,80,80
1470589321,80,80
1470589922,75,75
1470590521,22,22
1470591122,80,80
1470591721,80,80
1470592322,80,80
1470592922,80,80
1470594122,78,78
1470594721,80,80
1470595322,80,80
1470596521,80,80
1470597122,80,80
1470597722,79,79
1470598321,80,80
1470598922,80,80
1470599521,42,42
1470600121,80,80
1470600721,80,80
1470601322,80,80
1470602522,80,80
1470603122,80,80
1470603722,80,80
1470604921,73,73
1470606121,71,71
1470606722,80,80
1470607322,80,80
1470608522,80,80
1470609722,79,79
1470610922,69,69
1470611522,80,80
1470612122,80,80
1470612721,80,80
1470613322,80,80
1470613922,80,80
1470614522,80,80
1470615122,57,57
1470615721,70,70
1470616322,79,79
1470616923,80,80
1470617521,80,80
1470618122,80,80
1470618722,80,80
1470619321,80,80
1470619921,80,80
1470620523,76,76
1470621121,75,75
1470621721,80,80
1470622322,80,80
1470622922,77,77
1470623521,80,80
1470624122,78,78
1470624722,79,79
1470625322,79,79
1470625921,80,80
1470626522,80,80
1470627121,80,80
1470627723,80,80
1470628922,80,80
1470629522,75,75
1470630122,79,79
1470630721,80,80
1470631321,79,79
1470631922,80,80
1470632522,80,80
1470633721,79,79
1470634321,80,80
1470634922,79,79
1470635521,80,80
1470636122,80,80
1470636722,79,79
1470637321,79,79
1470637922,80,80
1470638521,80,80
1470639721,70,70
1470640322,80,80
1470640922,80,80
1470642121,80,80
1470642721,79,79
1470643322,79,79
1470643922,80,80
1470644522,80,80
1470645722,30,30
1470646321,80,80
1470646922,80,80
1470647522,78,78
1470648122,80,80
1470648722,79,79
1470649322,75,75
1470649922,80,80
1470650521,80,80
1470651123,80,80
1470651721,80,80
1470652322,80,80
1470652922,80,80
1470653522,80,80
1470654121,80,80
1470654722,80,80
1470655322,80,80
1470655922,79,79
1470656522,80,80
1470657122,80,80
1470657722,80,80
1470658322,80,80
1470658921,80,80
1470659521,79,79
1470660122,79,79
1470660721,80,80
1470661322,80,80
1470662522,80,80
1470663121,80,80
1470663722,80,80
1470664921,80,80
1470665522,80,80
1470666121,80,80
1470666722,72,72
1470667322,80,80
1470667922,80,80
1470668521,62,62
1470669123,80,80
1470669721,80,80
1470670322,74,74
1470670922,80,80
1470671521,80,80
1470672121,80,80
1470672722,79,79
1470673322,80,80
1470673921,80,80
1470674521,80,80
1470675122,79,79
1470675727,80,80
1470676322,80,80
1470676922,78,78
1470677521,80,80
1470678121,77,77
1470678721,79,79
1470679322,80,80
1470679922,80,80
1470680522,79,79
1470681121,77,77
1470681723,80,80
1470682321,80,80
1470682921,80,80
1470683522,80,80
1470684121,80,80
1470684726,80,80
1470685321,80,80
1470686522,80,80
1470687722,77,77
1470688322,80,80
1470688922,78,78
1470689522,80,80
1470690121,80,80
1470690721,80,80
1470691321,80,80
1470691921,80,80
1470692521,79,79
1470693122,78,78
1470693722,79,79
1470694322,80,80
1470694922,80,80
1470695522,80,80
1470696121,73,73
1470697321,80,80
1470697922,80,80
1470698522,80,80
1470699121,80,80
1470699722,80,80
1470700322,80,80
1470700923,74,74
1470701522,80,80
1470702121,80,80
1470702721,80,80
1470703323,76,76
1470704523,80,80
1470705721,30,30
1470706321,80,80
1470706922,76,76
1470707521,78,78
1470708122,80,80
1470709322,80,80
1470709922,79,79
1470710522,80,80
1470711121,80,80
1470711722,80,80
1470712922,80,80
1470714122,80,80
1470714721,53,53
1470715322,80,80
1470715921,80,80
1470716522,80,80
1470717122,79,79
1470717722,76,76
1470718321,80,80
1470718922,75,75
1470719521,80,80
1470720122,79,79
1470721322,52,52
1470721922,77,77
1470722522,43,43
1470723122,80,80
1470723722,80,80
1470724922,80,80
1470725522,80,80
1470726122,80,80
1470726721,80,80
1470727321,52,52
1470727922,80,80
1470728522,80,80
1470729121,80,80
1470729721,80,80
1470730321,80,80
1470730921,80,80
1470731522,80,80
1470732121,80,80
