DateTime,AddedIPs,RemovedIPs
1469688121,0,3
1469689321,0,5
1469689922,0,5
1469690521,0,2
1469691721,0,1
1469692922,1,0
1469694121,1,0
1469695322,0,2
1469695921,0,3
1469697122,0,2
1469698322,0,2
1469700121,1,0
1469702522,0,1
1469703721,0,1
1469707321,0,4
1469712721,0,1
1469713922,0,2
1469715123,3,0
1469715721,1,0
1469720521,0,1
1469722921,1,0
1469728921,0,3
1469729522,3,0
1469731321,0,1
1469732521,0,1
1469733122,4,0
1469735522,0,3
1469736722,1,0
1469739122,0,2
1469739722,0,1
1469742121,0,4
1469743922,0,2
1469744522,1,0
1469747522,1,0
1469748122,0,1
1469750522,1,2
1469751721,2,0
1469752922,1,0
1469755322,0,1
1469758921,0,1
1469760121,1,1
1469763722,1,0
1469767922,0,6
1469769122,0,1
1469769721,1,0
1469770921,0,2
1469772722,0,1
1469773322,0,2
1469778722,1,0
1469784722,0,1
1469785921,2,0
1469788921,1,0
1469790721,1,0
1469791921,0,1
1469792522,1,0
1469798522,1,0
1469804521,0,3
1469811122,1,0
1469814122,1,0
1469817121,1,0
1469817721,1,0
1469818922,1,0
1469820121,0,1
1469821922,1,0
1469824321,1,0
1469827321,2,0
1469829722,0,3
1469831522,0,6
1469832121,0,1
1469833321,0,1
1469833922,1,4
1469834521,0,2
1469836322,1,15
1469836921,1,0
1469840522,0,1
1469845922,1,0
1469851322,1,1
1469852522,0,6
1469853122,1,0
1469855522,4,0
1469856121,2,0
1469856721,1,0
1469857322,0,1
1469863921,0,2
1469864521,0,3
1469865721,0,1
1469867521,1,0
1469868121,1,0
1469871721,0,1
1469875322,1,1
1469876521,1,1
1469877122,0,2
1469878921,0,1
1469886122,5,0
1469886721,1,0
1469888521,1,0
1469890921,0,1
1469891522,0,2
1469893321,1,3
1469893921,0,2
1469894521,0,1
1469895722,0,1
1469899322,1,0
1469903521,1,0
1469904721,1,0
1469905322,0,2
1469913722,2,0
1469914321,2,0
1469915521,1,3
1469916121,0,1
1469923922,0,1
1469924522,1,0
1469925721,3,2
1469926921,1,0
1469928722,0,3
1469933521,0,3
1469935322,1,0
1469936522,0,1
1469938921,1,0
1469939522,0,3
1469941321,0,4
1469943722,0,1
1469944921,1,0
1469947922,0,1
1469952122,1,0
1469953921,0,6
1469957521,1,0
1469962321,2,0
1469964721,0,1
1469972522,1,0
1469973122,1,0
1469979722,0,1
1469982721,1,0
1469985722,1,0
1469986921,1,0
1469991722,0,1
1469994122,1,0
1470000722,0,1
1470001321,0,1
1470002521,1,0
1470003121,1,0
1470003722,1,0
1470004321,1,0
1470004922,1,0
1470007921,0,1
1470009722,0,16
1470011522,1,0
1470012122,1,0
1470012721,2,0
1470020521,0,1
1470021722,2,0
1470025321,1,0
1470030722,0,2
1470031922,1,0
1470035521,0,1
1470040321,1,0
1470040922,1,0
1470041522,1,0
1470046921,0,5
1470049322,2,1
1470051121,1,0
1470054145,0,5
1470054721,0,1
1470055921,0,2
1470056522,1,0
1470060122,0,2
1470061322,2,0
1470061921,1,2
1470063723,0,2
1470069126,0,3
1470070322,0,1
1470072121,1,0
1470073322,0,1
1470073921,0,4
1470075122,1,0
1470078122,0,1
1470080521,0,1
1470082922,0,8
1470084722,0,1
1470085322,0,2
1470088321,1,0
1470089522,0,2
1470090722,1,0
1470091921,4,0
1470093722,0,1
1470097322,0,1
1470098521,0,1
1470099729,0,1
1470100322,1,0
1470101521,0,2
1470102121,0,1
1470103321,0,1
1470108722,0,3
1470109322,0,1
1470112921,2,0
1470114121,0,1
1470114721,1,0
1470120121,0,3
1470121921,1,0
1470123122,3,0
1470123721,1,1
1470124922,1,0
1470126121,1,0
1470127322,0,1
1470132122,0,4
1470139321,0,3
1470141721,0,2
1470142922,3,0
1470145321,0,3
1470146521,4,0
1470148929,0,1
1470154321,1,0
1470158526,0,1
1470159721,0,1
1470160921,0,1
1470162122,0,2
1470165721,0,1
1470167521,1,0
1470171722,0,1
1470172321,5,0
1470172922,0,1
1470174722,1,0
1470176521,0,3
1470182522,0,14
1470183721,0,1
1470189121,0,1
1470190321,1,0
1470190921,1,0
1470194521,2,0
1470195121,2,1
1470196921,0,3
1470199322,0,1
1470200522,1,0
1470202921,0,1
1470203521,2,0
1470204121,0,1
1470204722,1,0
1470205322,0,1
1470206521,1,0
1470207721,0,1
1470210121,0,1
1470212521,0,1
1470219721,0,1
1470220921,0,1
1470222722,0,1
1470228131,3,0
1470230522,6,0
1470231121,0,1
1470231721,0,3
1470233521,1,0
1470235321,2,0
