DateTime,Entries,UniqueIPs
1470142922,79,79
1470144121,78,78
1470145321,79,79
1470146521,83,83
1470147721,85,85
1470149522,86,86
1470150121,85,85
1470150721,86,86
1470151921,86,86
1470152521,86,86
1470154321,87,87
1470156122,86,86
1470156722,85,85
1470158526,80,80
1470159121,81,81
1470160921,82,82
1470163321,84,84
1470163921,85,85
1470166921,84,84
1470167521,86,86
1470168721,82,82
1470172321,89,89
1470174122,90,90
1470174722,92,92
1470177722,91,91
1470178321,92,92
1470181321,89,89
1470182522,53,53
1470183721,55,55
1470185522,55,55
1470186121,54,54
1470186722,55,55
1470187921,54,54
1470188522,55,55
1470189722,54,54
1470190321,56,56
1470190921,57,57
1470191521,56,56
1470192122,54,54
1470192722,55,55
1470193321,58,58
1470194521,61,61
1470195121,63,63
1470196921,64,64
1470198722,63,63
1470199322,64,64
1470200522,65,65
1470202921,64,64
1470203521,66,66
1470204722,65,65
1470205322,66,66
1470206521,69,69
1470207721,65,65
1470208921,69,69
1470210121,70,70
1470211921,66,66
1470227521,67,67
1470228131,69,69
1470230522,77,77
1470231721,78,78
1470233521,79,79
1470234121,76,76
1470235321,78,78
1470236522,80,80
1470237122,85,85
1470238322,81,81
1470238923,79,79
1470239522,78,78
1470240122,82,82
1470240722,84,84
1470241322,85,85
1470241921,84,84
1470242522,88,88
1470243721,88,88
1470244322,100,100
1470244921,100,100
1470245521,100,100
1470246121,100,100
1470246721,100,100
1470247321,100,100
1470248521,100,100
1470249722,100,100
1470250322,100,100
1470250921,100,100
1470253322,100,100
1470253921,100,100
1470268921,95,95
1470273122,100,100
1470273721,100,100
1470274922,100,100
1470276121,100,100
1470277922,100,100
1470278522,100,100
1470279136,100,100
1470279722,100,100
1470280321,100,100
1470280922,100,100
1470281522,100,100
1470282122,100,100
1470282722,100,100
1470283322,100,100
1470283921,100,100
1470284522,100,100
1470285122,100,100
1470285722,100,100
1470286922,100,100
1470287522,100,100
1470288122,100,100
1470288721,100,100
1470289323,100,100
1470289922,100,100
1470290522,100,100
1470291121,100,100
1470291722,100,100
1470292322,100,100
1470292922,100,100
1470293521,100,100
1470294126,100,100
1470294721,100,100
1470295322,100,100
1470296521,100,100
1470297122,100,100
1470297721,100,100
1470298322,100,100
1470299522,100,100
1470300122,100,100
1470301322,100,100
1470301936,100,100
1470303122,100,100
1470303722,100,100
1470304321,100,100
1470304921,100,100
1470306122,100,100
1470306721,100,100
1470307322,100,100
1470307921,100,100
1470308521,100,100
1470309121,100,100
