DateTime,AddedIPs,RemovedIPs
1468850402,229,124
1468854001,341,148
1468857602,176,307
1468861201,134,222
1468864801,295,143
1468868401,203,129
1468872001,140,119
1468875601,150,172
1468879201,140,121
1468882802,165,124
1468886404,117,121
1468890002,100,84
1468893602,111,139
1468897201,132,128
1468900802,110,120
1468904401,127,106
1468908001,142,120
1468911601,115,176
1468915202,132,197
1468918802,190,136
1468922402,189,146
1468926001,194,171
1468929601,188,152
1468933202,179,190
1468936802,248,214
1468940402,135,341
1468944001,184,183
1468947601,165,168
1468951201,158,276
1468954802,178,228
1468958402,141,138
1468962001,125,165
1468965602,133,147
1468969201,113,158
1468972804,106,162
1468976401,146,97
1468980002,113,116
1468983602,123,128
1468987202,142,113
1468990802,150,114
1468994402,149,126
1468998002,118,105
1469001601,130,105
1469005201,170,188
1469008802,200,168
1469012401,164,161
1469016002,176,167
1469019601,156,192
1469023201,133,228
1469026801,130,161
1469030401,224,180
1469034001,138,200
1469037602,101,152
1469041202,117,210
1469044801,123,143
1469048402,118,121
1469052001,120,122
1469055601,177,123
1469059202,113,131
1469062801,121,126
1469066402,121,120
1469070001,109,120
1469073602,99,129
1469077202,122,141
1469080801,138,124
1469084401,145,132
1469088002,294,136
1469091602,132,158
1469095202,158,169
1469098801,157,186
1469102401,122,180
1469106002,263,155
1469109602,194,137
1469113201,232,134
1469116801,134,257
1469120401,160,141
1469124001,140,109
1469127601,106,125
1469131202,107,129
1469134802,123,113
1469138401,107,132
1469142002,427,119
1469145602,498,177
1469149202,447,100
1469152802,459,131
1469156402,423,121
1469160002,431,100
1469163602,414,119
1469167202,434,138
1469170802,432,138
1469174402,413,263
1469178002,405,141
1469181602,207,151
1469185202,164,170
1469188802,183,144
1469192402,187,239
1469196002,147,183
1469199602,166,265
1469203202,148,161
1469206802,118,171
1469210401,118,147
1469214002,120,122
1469217602,151,104
1469221201,139,109
1469224802,267,116
1469228402,374,199
1469232003,342,380
1469235602,128,262
1469239202,100,333
1469242802,115,334
1469246402,106,383
1469250001,102,375
1469253602,113,422
1469257202,250,451
1469260801,169,447
1469264401,115,472
1469268002,142,246
1469271602,146,153
1469275201,132,166
1469278802,146,178
1469282402,179,151
1469286002,133,185
1469289601,186,158
1469293202,178,111
1469296802,114,136
1469300401,119,126
1469304002,101,159
1469307602,88,147
1469311202,122,274
1469314801,90,527
1469318402,129,650
1469322001,125,212
1469325602,100,100
1469329201,146,104
1469332802,77,106
1469336401,95,105
1469340002,98,115
1469343601,131,243
1469347201,115,149
1469350802,122,119
1469354402,115,147
1469358002,115,149
1469361602,118,119
1469365201,103,164
1469368801,201,164
1469372401,233,165
1469376002,166,130
1469379601,128,247
1469383202,143,120
1469386801,107,113
1469390401,116,120
1469394002,89,102
1469397602,106,115
1469401201,116,106
1469404803,110,128
1469408401,118,102
1469412001,128,108
1469415602,126,151
1469419201,129,79
1469422802,163,95
1469426402,142,88
1469430001,164,122
1469433601,209,96
1469437201,246,140
1469440802,158,112
1469444401,143,114
1469448002,167,109
1469451601,176,116
1469455201,190,207
1469458801,211,232
1469462402,250,144
1469466002,178,145
1469469601,108,122
1469473202,140,110
1469476802,171,101
1469480401,148,85
1469484001,151,103
1469487601,136,108
1469491202,122,121
1469494802,116,83
1469498401,104,130
1469502001,133,114
1469505602,102,119
1469509202,128,137
1469512801,150,143
1469516402,256,125
1469520002,159,180
1469523602,164,243
1469527201,166,162
1469530801,170,135
1469534401,170,148
1469538002,138,190
1469541602,147,165
1469545202,188,197
1469548802,135,255
1469552402,138,186
1469556001,137,122
1469559602,127,138
1469563202,134,169
1469566802,128,174
1469570402,122,155
1469574002,368,135
1469577602,102,146
1469581202,128,95
1469584801,117,117
1469588402,143,113
1469592002,119,122
1469595602,127,122
1469599202,135,129
1469602802,176,217
1469606402,133,203
1469610002,138,157
1469613601,168,170
1469617202,143,157
1469620802,208,171
1469624402,160,149
1469628002,140,124
1469631602,120,232
1469635201,148,139
1469638802,140,149
1469642402,143,134
1469646002,148,124
1469649602,130,127
1469653201,131,119
1469656802,129,125
1469660402,125,374
1469664002,150,135
1469667602,140,88
1469671202,118,123
1469674802,189,132
1469678402,123,93
1469682002,122,131
1469685601,107,129
1469689202,185,154
1469692802,135,95
1469696401,197,134
1469700001,145,153
1469703602,143,150
1469707202,159,139
1469710801,148,200
1469714401,139,143
1469718002,328,140
1469721602,109,158
1469725201,122,138
1469728802,117,136
1469732401,224,156
1469736002,113,130
1469739602,114,170
1469743201,132,122
1469746802,173,125
1469750402,179,193
1469754002,108,122
1469757601,108,131
1469761202,118,184
1469764801,122,146
1469768401,117,115
1469772002,126,103
1469775602,175,170
1469779202,156,136
1469782801,131,191
1469786401,155,137
1469790002,158,155
1469793601,151,149
1469797202,110,160
1469800802,176,146
1469804401,258,307
1469808001,131,159
1469811602,112,127
1469815201,133,127
1469818802,125,233
1469822401,98,129
1469826002,141,126
1469829602,102,126
1469833201,106,204
1469836801,115,202
1469840402,106,97
1469844001,96,101
