DateTime,AddedIPs,RemovedIPs
1470037200,17,103
1470037800,203,0
1470039600,8,7
1470040800,153,92
1470041400,69,0
1470044400,98,102
1470045000,95,0
1470046800,2,8
1470048000,103,102
1470048600,87,0
1470051600,103,92
1470052200,92,0
1470054000,5,6
1470055200,114,104
1470056400,119,0
1470058800,100,88
1470059400,117,0
1470061200,3,7
1470062400,92,85
1470063000,140,0
1470066000,100,77
1470066600,140,0
1470068400,6,4
1470069600,99,87
1470070200,68,0
1470073200,96,69
1470073800,36,0
1470075000,1,0
1470075600,13,7
1470076800,75,95
1470077400,66,0
1470080400,67,77
1470081000,233,0
1470082800,11,2
1470084000,131,73
1470084600,582,0
1470087600,90,68
1470088200,461,0
1470090000,3,10
1470091200,58,58
1470091800,434,0
1470094801,59,60
1470095401,463,0
1470097201,5,4
1470098401,72,93
1470099002,504,0
1470102001,60,58
1470102601,452,0
1470104401,4,4
1470105601,82,61
1470106201,480,1
1470107401,1,0
1470109201,57,68
1470109801,463,0
1470111601,5,8
1470112801,0,49
1470113401,549,0
1470116401,8,66
1470117001,749,0
1470118801,6,2
1470120001,77,80
1470120600,503,0
1470123600,30,61
1470124200,230,0
1470126000,3,7
1470127200,1,65
1470127800,229,0
1470129600,0,1
1470130800,3,77
1470131400,206,0
1470133200,11,7
1470134400,30,66
1470135000,198,0
1470138000,30,81
1470138600,177,0
1470140400,10,2
1470141600,37,64
1470142200,233,0
1470145200,52,70
1470145800,267,0
1470147600,8,3
1470148800,17,77
1470149400,250,0
1470152400,32,71
1470153000,255,0
1470154800,7,3
1470156000,9,85
1470156600,204,0
1470159600,27,58
1470160200,151,0
1470162000,9,8
1470163200,16,59
1470163800,131,0
1470166800,2,52
1470167400,131,0
1470169200,6,2
1470170400,18,46
1470171000,129,0
1470174000,5,63
1470174600,110,0
1470176400,4,5
1470177600,12,46
1470178200,136,0
1470181200,11,64
1470181800,113,0
1470183600,8,10
1470185400,113,41
1470188400,26,35
1470189000,131,0
1470190800,5,5
1470192000,21,64
1470192600,113,0
1470195600,22,117
1470196200,194,0
1470198000,4,6
1470199200,26,142
1470199801,189,0
1470202800,60,146
1470203400,164,0
1470205200,7,4
1470206400,50,203
1470207000,187,0
1470210000,19,206
1470210600,195,0
1470212400,4,5
1470213600,48,174
1470214200,123,0
1470217200,38,168
1470217800,178,0
1470219600,2,8
1470220800,23,182
1470221400,78,0
1470224400,44,201
1470225000,87,0
1470226800,9,2
1470228000,39,199
1470228600,85,0
1470231601,45,208
1470232200,77,0
1470234000,2,5
1470235200,30,218
1470235800,104,0
1470238800,55,164
1470239400,161,0
1470241200,9,12
1470242400,64,114
1470243000,84,0
1470246000,59,121
1470246600,96,0
1470248400,4,10
1470249600,46,281
1470250200,55,0
1470253200,22,701
1470253800,67,0
1470255600,5,3
1470256800,23,551
1470257400,61,0
1470260400,37,468
1470261000,61,0
1470262800,5,5
1470264000,39,500
1470264600,58,0
1470267600,37,557
1470268200,76,0
1470270000,6,5
1470271200,21,479
1470271800,84,0
1470274800,30,546
1470275400,74,0
1470277200,6,9
1470278400,62,492
1470279000,39,0
1470282000,51,519
1470282600,45,0
