DateTime,Entries,UniqueIPs
1469857200,13941,13941
1469857800,14203,14203
1469859600,14205,14205
1469860800,14063,14063
1469861400,14185,14185
1469864400,14042,14042
1469865000,14132,14132
1469866800,14131,14131
1469868000,14002,14002
1469868600,14079,14079
1469870400,14080,14080
1469871600,13858,13858
1469872200,13952,13952
1469874000,13951,13951
1469875200,13764,13764
1469875800,13828,13828
1469879400,13701,13701
1469881200,13706,13706
1469882400,13507,13507
1469883000,13586,13586
1469886000,13355,13355
1469886600,13458,13458
1469888400,13458,13458
1469889601,13205,13205
1469890200,13286,13286
1469893200,13090,13090
1469893800,13158,13158
1469895600,13152,13152
1469896800,13028,13028
1469897400,13064,13064
1469900400,12927,12927
1469901000,12976,12976
1469902800,12971,12971
1469904000,12852,12852
1469904600,12891,12891
1469907600,12770,12770
1469908200,12813,12813
1469910000,12810,12810
1469911200,12711,12711
1469911800,12738,12738
1469914800,12665,12665
1469915400,12704,12704
1469917200,12705,12705
1469918400,12621,12621
1469919000,12655,12655
1469922000,12558,12558
1469922600,12591,12591
1469924400,12592,12592
1469925600,12471,12471
1469926200,12500,12500
1469929200,12404,12404
1469929800,12440,12440
1469931600,12440,12440
1469932800,12332,12332
1469933400,12360,12360
1469936400,12215,12215
1469937000,12246,12246
1469938800,12240,12240
1469940000,12050,12050
1469940600,12098,12098
1469943600,11934,11934
1469944200,11962,11962
1469946000,11964,11964
1469947200,11852,11852
1469947800,11865,11865
1469950800,11713,11713
1469952000,11781,11781
1469953200,11781,11781
1469954400,11677,11677
1469955000,11704,11704
1469958000,11577,11577
1469958600,11592,11592
1469960400,11592,11592
1469961600,11436,11436
1469962200,11445,11445
1469965200,11272,11272
1469965800,11283,11283
1469967600,11282,11282
1469968800,10917,10917
1469969400,10937,10937
1469972400,10440,10440
1469974800,10443,10443
1469976000,9959,9959
1469976600,9981,9981
1469979600,9498,9498
1469980200,9506,9506
1469982000,9507,9507
1469983200,9084,9084
1469986800,8707,8707
1469989200,8703,8703
1469990400,8349,8349
1469994002,8030,8030
1469994600,8043,8043
1469996400,8045,8045
1469997600,7818,7818
1470001200,7588,7588
1470003600,7589,7589
1470004800,7351,7351
1470008401,7155,7155
1470009000,7162,7162
1470010800,7165,7165
1470012000,6993,6993
1470015600,6783,6783
1470018000,6787,6787
1470019200,6598,6598
1470022800,6437,6437
1470025200,6439,6439
1470026400,6290,6290
1470030000,6327,6327
1470032400,6332,6332
1470033600,6369,6369
1470034200,6399,6399
1470037200,6313,6313
1470037800,6516,6516
1470039600,6517,6517
1470040800,6578,6578
1470041400,6647,6647
1470044400,6643,6643
1470045000,6738,6738
1470046800,6732,6732
1470048000,6733,6733
1470048600,6820,6820
1470051600,6831,6831
1470052200,6923,6923
1470054000,6922,6922
1470055200,6932,6932
1470056400,7051,7051
1470058800,7063,7063
1470059400,7180,7180
1470061200,7176,7176
1470062400,7183,7183
1470063000,7323,7323
1470066000,7346,7346
1470066600,7486,7486
1470068400,7488,7488
1470069600,7500,7500
1470070200,7568,7568
1470073200,7595,7595
1470073800,7631,7631
1470075000,7632,7632
1470075600,7638,7638
1470076800,7618,7618
1470077400,7684,7684
1470080400,7674,7674
1470081000,7907,7907
1470082800,7916,7916
1470084000,7974,7974
1470084600,8556,8556
1470087600,8578,8578
1470088200,9039,9039
1470090000,9032,9032
1470091200,9032,9032
1470091800,9466,9466
1470094801,9465,9465
1470095401,9928,9928
1470097201,9929,9929
1470098401,9908,9908
1470099002,10412,10412
1470102001,10414,10414
1470102601,10866,10866
1470104401,10866,10866
1470105601,10887,10887
1470106201,11366,11366
1470107401,11367,11367
1470109201,11356,11356
1470109801,11819,11819
1470111601,11816,11816
1470112801,11767,11767
1470113401,12316,12316
1470116401,12258,12258
1470117001,13007,13007
1470118801,13011,13011
1470120001,13008,13008
1470120600,13511,13511
1470123600,13480,13480
1470124200,13710,13710
1470126000,13706,13706
1470127200,13642,13642
1470127800,13871,13871
1470129600,13870,13870
1470130800,13796,13796
1470131400,14002,14002
1470133200,14006,14006
1470134400,13970,13970
1470135000,14168,14168
1470138000,14117,14117
1470138600,14294,14294
1470140400,14302,14302
1470141600,14275,14275
1470142200,14508,14508
1470145200,14490,14490
1470145800,14757,14757
1470147600,14762,14762
1470148800,14702,14702
1470149400,14952,14952
1470152400,14913,14913
1470153000,15168,15168
1470154800,15172,15172
1470156000,15096,15096
1470156600,15300,15300
1470159600,15269,15269
1470160200,15420,15420
1470162000,15421,15421
1470163200,15378,15378
1470163800,15509,15509
1470166800,15459,15459
1470167400,15590,15590
1470169200,15594,15594
1470170400,15566,15566
1470171000,15695,15695
1470174000,15637,15637
1470174600,15747,15747
1470176400,15746,15746
1470177600,15712,15712
1470178200,15848,15848
1470181200,15795,15795
1470181800,15908,15908
1470183600,15906,15906
1470185400,15978,15978
1470188400,15969,15969
1470189000,16100,16100
1470190800,16100,16100
1470192000,16057,16057
1470192600,16170,16170
1470195600,16075,16075
1470196200,16269,16269
1470198000,16267,16267
1470199200,16151,16151
1470199801,16340,16340
1470202800,16254,16254
1470203400,16418,16418
1470205200,16421,16421
1470206400,16268,16268
1470207000,16455,16455
1470210000,16268,16268
1470210600,16463,16463
1470212400,16462,16462
1470213600,16336,16336
1470214200,16459,16459
1470217200,16329,16329
1470217800,16507,16507
1470219600,16501,16501
1470220800,16342,16342
1470221400,16420,16420
1470224400,16263,16263
1470225000,16350,16350
1470226800,16357,16357
1470228000,16197,16197
1470228600,16282,16282
1470231601,16119,16119
1470232200,16196,16196
1470234000,16193,16193
1470235200,16005,16005
1470235800,16109,16109
1470238800,16000,16000
1470239400,16161,16161
1470241200,16158,16158
1470242400,16108,16108
1470243000,16192,16192
1470246000,16130,16130
1470246600,16226,16226
1470248400,16220,16220
1470249600,15985,15985
1470250200,16040,16040
1470253200,15361,15361
1470253800,15428,15428
1470255600,15430,15430
1470256800,14902,14902
1470257400,14963,14963
1470260400,14532,14532
1470261000,14593,14593
1470262800,14593,14593
1470264000,14132,14132
1470264600,14190,14190
1470267600,13670,13670
1470268200,13746,13746
1470270000,13747,13747
1470271200,13289,13289
1470271800,13373,13373
1470274800,12857,12857
1470275400,12931,12931
1470277200,12928,12928
1470278400,12498,12498
1470279000,12537,12537
1470282000,12069,12069
1470282600,12114,12114
1470284400,12112,12112
1470285600,11415,11415
1470286200,11498,11498
1470289200,10997,10997
1470289800,11055,11055
1470291600,11057,11057
1470292800,10879,10879
1470293400,10923,10923
1470296400,10736,10736
1470297000,10837,10837
1470298800,10832,10832
1470300000,10699,10699
1470300600,10751,10751
1470303600,10578,10578
1470304200,10659,10659
1470306000,10660,10660
1470307200,10526,10526
1470307800,10588,10588
1470310800,10415,10415
1470311400,10470,10470
1470313200,10470,10470
1470314400,10240,10240
1470315000,10285,10285
1470318000,10085,10085
1470318600,10144,10144
1470320400,10142,10142
1470321600,9885,9885
1470322200,9933,9933
1470325200,9774,9774
1470325800,9799,9799
1470327600,9795,9795
1470328800,9646,9646
1470329400,9680,9680
1470332400,9597,9597
1470333000,9611,9611
