DateTime,Entries,UniqueIPs
1468968261,1059,1059
1468973019,1059,1059
1468976746,1057,1057
1468980218,1066,1066
1468983817,1063,1063
1468986927,1063,1063
1468987415,1062,1062
1468990954,1063,1063
1468994559,1062,1062
1468998151,1062,1062
1469001819,1062,1062
1469004312,1063,1063
1469009009,1065,1065
1469012609,1067,1067
1469016208,1069,1069
1469019807,1069,1069
1469022368,1070,1070
1469027004,1070,1070
1469030543,1069,1069
1469033165,1066,1066
1469037802,1069,1069
1469041401,1070,1070
1469044999,1069,1069
1469048600,1070,1070
1469051709,1072,1072
1469055797,1071,1071
1469059395,1071,1071
1469061897,1071,1071
1469066594,1071,1071
1469070193,1071,1071
1469073731,1071,1071
1469077390,1069,1069
1469079952,1069,1069
1469080993,1068,1068
1469084589,1066,1066
1469088188,1063,1063
1469090750,1065,1065
1469095386,1067,1067
1469098985,1068,1068
1469102585,1071,1071
1469106183,1071,1071
1469108805,1071,1071
1469113381,1071,1071
1469116979,1072,1072
1469120151,1073,1073
1469120578,1071,1071
1469124177,1072,1072
1469127776,1074,1074
1469130948,1075,1075
1469134981,1074,1074
1469138573,1074,1074
1469141745,1073,1073
1469145772,1067,1067
1469149371,1065,1065
1469152176,1062,1062
1469156568,1060,1060
1469160229,1060,1060
1469163339,1061,1061
1469167366,1062,1062
1469170964,1059,1059
1469173588,1059,1059
1469181822,1053,1053
1469184933,1053,1053
1469188959,1054,1054
1469192558,1056,1056
1469195121,1057,1057
1469199756,1058,1058
1469203417,1053,1053
1469206955,1053,1053
1469210554,1054,1054
1469214153,1052,1052
1469217752,1050,1050
1469221411,1044,1044
1469224034,1044,1044
1469228548,1044,1044
1469232209,1041,1041
1469235381,1041,1041
1469239407,1041,1041
1469242987,1035,1035
1469245568,1033,1033
1469250210,1032,1032
1469253741,1034,1034
1469256364,1033,1033
1469261000,1029,1029
1469264600,1030,1030
1469267162,1028,1028
1469271797,1026,1026
1469275336,1025,1025
1469277958,1022,1022
1469279004,1020,1020
1469282594,1021,1021
1469286193,1019,1019
1469288756,1020,1020
1469293391,1016,1016
1469296685,1015,1015
1469296995,1014,1014
1469300589,1016,1016
1469304188,1021,1021
1469311387,1022,1022
1469314985,1019,1019
1469318585,1019,1019
1469322191,1020,1020
1469325722,1022,1022
1469329387,1020,1020
1469332981,1020,1020
1469336580,1022,1022
1469340179,1023,1023
1469343777,1023,1023
1469347376,1019,1019
1469351037,1018,1018
1469354635,1016,1016
1469358187,1018,1018
1469361406,1017,1017
1469365432,1017,1017
1469369031,1016,1016
1469372205,1016,1016
1469376170,1016,1016
1469379770,1020,1020
1469382699,1024,1024
1469386967,1026,1026
1469390566,1025,1025
1469393799,1026,1026
1469401363,1030,1030
1469404230,1030,1030
1469408623,1026,1026
1469412160,1026,1026
1469415393,1027,1027
1469419419,1025,1025
1469422957,1026,1026
1469426251,1026,1026
1469430216,1029,1029
1469433815,1030,1030
1469436500,1031,1031
1469440952,1034,1034
1469444612,1032,1032
1469447601,1034,1034
1469451817,1040,1040
1469455409,1035,1035
1469458643,1038,1038
1469462546,1036,1036
1469466146,1037,1037
1469469074,1037,1037
1469469805,1036,1036
1469473405,1035,1035
1469476942,1037,1037
1469479688,1034,1034
1469484203,1033,1033
1469487800,1034,1034
1469491033,1034,1034
1469494998,1031,1031
1469498597,1030,1030
1469501830,1030,1030
1469505795,1027,1027
1469509333,1031,1031
1469512078,1032,1032
1469512993,1031,1031
1469516592,1034,1034
1469520191,1037,1037
1469523424,1040,1040
1469523791,1037,1037
1469527396,1037,1037
1469530989,1040,1040
1469533916,1038,1038
1469534588,1034,1034
1469538187,1036,1036
1469541786,1033,1033
1469545079,1036,1036
1469548983,1038,1038
1469552582,1039,1039
1469556181,1042,1042
1469559780,1040,1040
1469563379,1038,1038
1469566124,1040,1040
1469566978,1039,1039
1469570578,1039,1039
1469574177,1041,1041
1469576861,1042,1042
1469581435,1041,1041
1469584974,1044,1044
1469587657,1044,1044
1469592171,1043,1043
1469595771,1044,1044
1469598454,1043,1043
1469602968,1046,1046
1469605379,1047,1047
1469606598,1058,1058
1469610197,1058,1058
1469613736,1060,1060
1469617395,1062,1062
1469620994,1058,1058
1469624166,1059,1059
1469624593,1057,1057
1469628194,1057,1057
1469631791,1058,1058
1469634902,1060,1060
