DateTime,AddedIPs,RemovedIPs
1468344781,0,5
1468348381,7,0
1468351981,0,7
1468359181,11,7
1468366382,0,2
1468369981,3,0
1468377181,0,6
1468380781,9,0
1468387981,4,5
1468391581,0,3
1468398781,6,0
1468405981,0,5
1468409581,3,0
1468413181,0,13
1468420381,0,2
1468427581,19,0
1468434781,4,14
1468445582,4,7
1468452781,3,0
1468456381,0,5
1468463581,2,9
1468470782,3,6
1468481581,6,0
1468485182,0,2
1468492381,5,3
1468499581,3,0
1468503181,0,2
1468506781,5,0
1468510381,0,14
1468513982,2,0
1468521182,0,2
1468524781,11,0
1468528381,0,5
1468531981,6,0
1468535581,0,7
1468542781,3,0
1468546382,0,4
1468549982,3,0
1468557182,5,3
1468567981,2,6
1468578781,6,5
1468585981,5,0
1468589581,0,2
1468593181,4,0
1468600382,2,3
1468607582,3,0
1468611181,0,9
1468614781,5,0
1468618381,0,3
1468625581,7,0
1468629182,0,3
1468636382,6,3
1468643581,0,4
1468647181,1,0
1468654382,0,7
1468657981,3,0
1468665182,0,6
1468668782,3,0
1468672381,0,4
1468679581,13,4
1468683182,0,1
1468690381,9,0
1468693981,0,4
1468697582,2,0
1468701181,0,3
1468704781,1,0
1468708381,0,8
1468711982,4,0
1468719181,6,8
1468726381,4,0
1468733581,4,2
1468740782,5,3
1468747983,1,0
1468755181,0,3
1468758781,3,0
1468762381,0,13
1468765982,6,0
1468773182,9,9
1468783981,6,6
1468787581,0,1
1468791181,1,0
1468794781,1,0
1468798381,0,4
1468801981,2,6
1468809181,5,0
1468816381,2,0
1468819982,0,6
1468823581,8,2
1468830781,3,2
1468837981,7,0
1468845181,2,11
1468848781,0,3
1468852381,4,0
1468859581,4,3
1468866782,15,0
1468870381,0,2
1468873981,2,2
1468881181,5,3
1468888381,3,2
1468891981,3,0
1468895581,0,6
1468899182,1,2
1468906381,2,0
1468909981,0,6
1468913581,2,7
1468920781,8,6
1468924381,3,0
1468927981,0,4
1468931581,7,0
1468938781,0,3
1468942381,6,0
1468945981,0,5
1468949581,2,9
1468956781,5,0
1468960382,0,4
1468963981,7,0
1468967581,0,1
1468971181,4,0
1468974781,0,7
1468978381,2,0
1468981981,0,5
1468985581,5,0
1468989181,0,2
1468992782,2,0
1468996381,0,4
1468999981,9,0
1469003581,0,11
1469007181,4,0
1469010781,0,6
1469014381,7,0
1469017981,0,5
1469021581,4,0
1469028781,10,5
1469032381,0,3
1469035981,3,0
1469043181,2,0
1469046781,0,11
1469050381,4,0
1469057581,4,5
1469064782,11,2
1469071981,5,3
1469075581,0,5
1469079181,3,0
1469086381,2,8
1469089981,0,4
1469093581,5,0
1469100781,3,12
1469107982,11,3
1469115181,2,5
1469122381,7,3
1469129581,4,6
1469136781,4,8
1469140381,0,6
1469143981,4,0
1469147582,0,3
1469151181,2,0
1469158381,10,2
1469165581,6,2
1469169181,0,3
1469172781,5,0
1469176381,0,6
1469179983,4,0
1469183581,0,1
1469187181,4,0
1469190782,0,12
1469194381,6,0
1469197981,0,4
1469201581,2,0
1469205181,0,5
1469208782,7,0
1469212381,0,2
1469215981,1,0
1469223181,5,8
1469226781,0,1
1469230381,6,0
1469233981,0,5
1469237581,4,0
1469241181,0,12
1469244781,2,0
1469248381,2,0
1469251981,0,8
1469255581,4,0
1469259181,9,6
1469266381,5,3
1469269981,4,0
1469273581,5,3
1469280781,0,4
1469284381,0,3
1469287981,2,0
1469295181,7,6
1469302381,8,0
1469309582,5,4
1469316781,3,6
1469320382,1,0
1469323981,0,4
1469327581,4,0
1469331182,0,3
1469334781,3,0
1469338381,0,5
1469341981,5,4
1469349182,2,2
1469356382,2,6
1469359981,0,5
1469363581,5,0
1469370781,3,4
1469377981,4,0
1469381582,0,3
1469385181,2,6
1469392381,7,6
1469399581,2,0
1469403181,0,4
1469406781,3,1
1469410381,0,4
1469413981,4,0
1469417581,1,0
1469421181,0,1
1469424782,2,3
1469428381,3,0
1469431981,0,6
1469435581,2,0
1469442781,2,3
1469446381,2,0
1469449981,0,1
1469453581,1,0
1469457181,0,4
1469460782,2,0
1469464381,0,4
1469467981,5,4
1469475181,6,2
1469482381,4,0
1469485981,3,5
1469489581,6,0
1469493181,0,3
1469496781,1,0
1469500381,0,9
1469503981,7,0
1469511181,0,2
1469514781,3,0
1469521981,1,3
1469525581,1,0
1469529181,0,10
1469532781,5,0
1469536381,0,2
1469539981,4,0
1469543581,5,2
1469550781,2,4
1469557981,4,0
1469561581,0,4
1469565181,2,0
1469568781,0,5
1469572381,4,12
1469575982,4,0
1469583182,5,1
1469586781,6,0
1469590381,0,8
1469593981,2,0
1469597582,0,3
1469601181,5,0
1469604781,3,4
1469611981,6,3
1469615581,0,1
1469619181,1,0
1469622781,0,5
1469626381,5,1
1469629981,4,0
1469633581,0,2
1469637181,5,0
1469640781,0,3
1469644381,7,0
1469647981,0,4
1469651581,2,0
1469655181,0,4
1469658781,3,0
1469662381,3,5
1469669581,1,3
1469673181,0,5
